##NAMES=Clausthalite
##RRUFFID=R070169
##IDEAL CHEMISTRY=Pb^2+^Se^2-^
##LOCALITY=Colquechaca, Chayanta Province, Potosí Department, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver gray with a hint of blue, foliated massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070169
574.4439, 2001.581
574.9260, 1993.731
575.4081, 1995.088
575.8903, 2011.658
576.3724, 2026.841
576.8545, 2043.345
577.3366, 2056.323
577.8187, 2054.858
578.3008, 2034.121
578.7830, 2022.410
579.2651, 2030.302
579.7472, 2050.377
580.2293, 2059.870
580.7114, 2059.005
581.1935, 2054.853
581.6757, 2050.670
582.1578, 2046.689
582.6399, 2041.816
583.1220, 2035.670
583.6041, 2034.542
584.0862, 2051.381
584.5684, 2072.867
585.0505, 2082.585
585.5326, 2063.529
586.0147, 2048.961
586.4968, 2057.001
586.9789, 2077.327
587.4611, 2086.175
587.9432, 2066.045
588.4253, 2050.128
588.9074, 2047.372
589.3895, 2057.591
589.8716, 2066.648
590.3538, 2075.594
590.8359, 2081.138
591.3180, 2079.393
591.8001, 2070.349
592.2822, 2065.500
592.7643, 2066.611
593.2465, 2068.145
593.7286, 2058.959
594.2107, 2043.450
594.6928, 2037.435
595.1749, 2050.217
595.6570, 2069.434
596.1392, 2086.683
596.6213, 2100.873
597.1034, 2108.145
597.5854, 2102.025
598.0676, 2092.438
598.5497, 2082.906
599.0318, 2072.970
599.5139, 2070.280
599.9960, 2085.073
600.4781, 2101.048
600.9603, 2106.721
601.4424, 2093.494
601.9245, 2089.947
602.4066, 2101.390
602.8887, 2118.138
603.3708, 2123.659
603.8530, 2117.130
604.3351, 2110.267
604.8172, 2107.128
605.2993, 2105.538
605.7814, 2098.478
606.2635, 2087.082
606.7457, 2079.675
607.2278, 2083.504
607.7099, 2093.369
608.1920, 2105.264
608.6741, 2119.301
609.1563, 2128.547
609.6384, 2126.266
610.1205, 2119.101
610.6026, 2112.717
611.0847, 2104.358
611.5668, 2102.196
612.0490, 2112.537
612.5311, 2128.003
613.0132, 2136.274
613.4953, 2133.694
613.9774, 2131.829
614.4595, 2134.542
614.9417, 2140.060
615.4238, 2139.158
615.9059, 2131.428
616.3880, 2121.282
616.8701, 2106.133
617.3522, 2090.747
617.8344, 2092.014
618.3165, 2111.074
618.7986, 2133.399
619.2807, 2150.470
619.7628, 2161.747
620.2449, 2165.476
620.7271, 2156.350
621.2092, 2149.180
621.6913, 2151.031
622.1734, 2159.011
622.6555, 2168.263
623.1376, 2187.590
623.6198, 2196.662
624.1019, 2186.148
624.5840, 2160.530
625.0661, 2147.501
625.5482, 2149.292
626.0303, 2158.526
626.5125, 2176.689
626.9946, 2202.719
627.4767, 2209.617
627.9588, 2195.409
628.4409, 2177.044
628.9230, 2169.982
629.4052, 2171.197
629.8873, 2173.833
630.3694, 2176.625
630.8515, 2180.355
631.3336, 2189.059
631.8157, 2198.456
632.2979, 2201.688
632.7800, 2190.231
633.2621, 2178.544
633.7442, 2169.075
634.2263, 2162.831
634.7084, 2165.060
635.1906, 2183.159
635.6727, 2199.938
636.1548, 2209.532
636.6369, 2211.788
637.1190, 2211.452
637.6011, 2207.873
638.0833, 2204.090
638.5654, 2204.538
639.0475, 2207.600
639.5296, 2202.296
640.0117, 2185.028
640.4938, 2170.799
640.9760, 2181.985
641.4581, 2206.230
641.9402, 2221.571
642.4223, 2214.309
642.9044, 2203.775
643.3865, 2198.704
643.8687, 2197.969
644.3508, 2198.567
644.8329, 2198.306
645.3150, 2201.036
645.7971, 2208.991
646.2792, 2221.970
646.7614, 2231.915
647.2435, 2238.472
647.7256, 2242.918
648.2077, 2247.164
648.6898, 2251.155
649.1719, 2245.935
649.6541, 2229.706
650.1362, 2213.815
650.6183, 2211.816
651.1004, 2219.002
651.5825, 2224.893
652.0646, 2226.900
652.5468, 2227.411
653.0289, 2228.390
653.5110, 2229.091
653.9931, 2228.277
654.4752, 2221.772
654.9573, 2217.692
655.4395, 2218.573
655.9216, 2224.110
656.4037, 2232.897
656.8858, 2252.060
657.3679, 2262.436
657.8500, 2251.655
658.3322, 2221.057
658.8143, 2211.276
659.2964, 2224.274
659.7785, 2246.378
660.2606, 2275.627
660.7427, 2305.304
661.2249, 2310.383
661.7070, 2285.392
662.1891, 2258.534
662.6712, 2257.177
663.1533, 2268.419
663.6354, 2274.771
664.1175, 2266.898
664.5996, 2259.365
665.0817, 2259.467
665.5638, 2262.936
666.0460, 2260.637
666.5281, 2241.005
667.0102, 2232.564
667.4923, 2246.044
667.9744, 2275.434
668.4565, 2289.980
668.9387, 2287.933
669.4208, 2281.347
669.9029, 2274.327
670.3850, 2267.725
670.8671, 2265.707
671.3492, 2268.238
671.8314, 2270.722
672.3135, 2268.728
672.7956, 2265.085
673.2777, 2262.629
673.7598, 2261.543
674.2419, 2263.008
674.7241, 2272.583
675.2062, 2282.532
675.6883, 2284.991
676.1704, 2270.999
676.6525, 2260.439
677.1346, 2253.102
677.6168, 2250.107
678.0989, 2255.096
678.5810, 2269.857
679.0631, 2282.800
679.5452, 2291.324
680.0273, 2295.573
680.5095, 2294.414
680.9916, 2288.506
681.4737, 2282.188
681.9558, 2277.440
682.4379, 2273.813
682.9200, 2269.818
683.4022, 2265.716
683.8843, 2265.321
684.3664, 2275.164
684.8485, 2285.451
685.3306, 2289.652
685.8127, 2283.878
686.2949, 2282.233
686.7770, 2288.046
687.2591, 2294.318
687.7412, 2293.564
688.2233, 2284.159
688.7054, 2282.008
689.1876, 2290.998
689.6697, 2300.801
690.1518, 2290.935
690.6339, 2268.279
691.1160, 2257.675
691.5981, 2272.645
692.0803, 2294.003
692.5624, 2309.302
693.0445, 2317.606
693.5266, 2316.811
694.0087, 2291.821
694.4908, 2271.947
694.9730, 2271.222
695.4551, 2287.735
695.9372, 2299.688
696.4193, 2305.035
696.9014, 2309.322
697.3835, 2315.329
697.8657, 2322.910
698.3478, 2325.926
698.8299, 2323.798
699.3120, 2321.876
699.7941, 2328.408
700.2762, 2337.648
700.7584, 2333.511
701.2405, 2312.437
701.7226, 2296.177
702.2047, 2308.026
702.6868, 2329.908
703.1689, 2342.229
703.6511, 2334.053
704.1332, 2327.771
704.6153, 2328.362
705.0974, 2332.562
705.5795, 2336.838
706.0616, 2342.118
706.5438, 2344.948
707.0259, 2344.239
707.5080, 2341.405
707.9901, 2338.650
708.4722, 2336.121
708.9543, 2336.162
709.4365, 2341.510
709.9186, 2348.554
710.4007, 2353.445
710.8828, 2355.837
711.3649, 2354.417
711.8470, 2345.549
712.3292, 2335.196
712.8113, 2324.786
713.2934, 2314.372
713.7755, 2310.943
714.2576, 2320.083
714.7397, 2330.324
715.2219, 2335.977
715.7040, 2336.191
716.1861, 2339.020
716.6682, 2344.856
717.1503, 2351.856
717.6324, 2360.889
718.1146, 2369.883
718.5967, 2370.907
719.0788, 2361.820
719.5609, 2351.313
720.0430, 2341.934
