##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
2.095750e+002, 1.569153e+003
2.100571e+002, 1.571910e+003
2.105392e+002, 1.570285e+003
2.110214e+002, 1.571410e+003
2.115035e+002, 1.576679e+003
2.119856e+002, 1.584858e+003
2.124677e+002, 1.591955e+003
2.129498e+002, 1.597979e+003
2.134319e+002, 1.603051e+003
2.139140e+002, 1.606921e+003
2.143962e+002, 1.608887e+003
2.148783e+002, 1.612320e+003
2.153604e+002, 1.617642e+003
2.158425e+002, 1.624634e+003
2.163246e+002, 1.632450e+003
2.168067e+002, 1.641863e+003
2.172889e+002, 1.650733e+003
2.177710e+002, 1.657600e+003
2.182531e+002, 1.661635e+003
2.187352e+002, 1.666203e+003
2.192173e+002, 1.672135e+003
2.196994e+002, 1.678845e+003
2.201816e+002, 1.683095e+003
2.206637e+002, 1.683647e+003
2.211458e+002, 1.683912e+003
2.216279e+002, 1.686116e+003
2.221100e+002, 1.691102e+003
2.225921e+002, 1.695764e+003
2.230743e+002, 1.699711e+003
2.235564e+002, 1.703147e+003
2.240385e+002, 1.707267e+003
2.245206e+002, 1.712252e+003
2.250027e+002, 1.717552e+003
2.254848e+002, 1.722805e+003
2.259670e+002, 1.727781e+003
2.264491e+002, 1.733258e+003
2.269312e+002, 1.739331e+003
2.274133e+002, 1.745974e+003
2.278954e+002, 1.753498e+003
2.283775e+002, 1.762379e+003
2.288597e+002, 1.771258e+003
2.293418e+002, 1.779225e+003
2.298239e+002, 1.786074e+003
2.303060e+002, 1.792515e+003
2.307881e+002, 1.799066e+003
2.312702e+002, 1.805267e+003
2.317524e+002, 1.808665e+003
2.322345e+002, 1.808572e+003
2.327166e+002, 1.806538e+003
2.331987e+002, 1.803653e+003
2.336808e+002, 1.801068e+003
2.341629e+002, 1.794992e+003
2.346451e+002, 1.784656e+003
2.351272e+002, 1.770561e+003
2.356093e+002, 1.754915e+003
2.360914e+002, 1.738649e+003
2.365735e+002, 1.719599e+003
2.370556e+002, 1.696132e+003
2.375378e+002, 1.665832e+003
2.380199e+002, 1.636592e+003
2.385020e+002, 1.609846e+003
2.389841e+002, 1.584428e+003
2.394662e+002, 1.556312e+003
2.399483e+002, 1.523433e+003
2.404305e+002, 1.490734e+003
2.409126e+002, 1.460489e+003
2.413947e+002, 1.433155e+003
2.418768e+002, 1.407279e+003
2.423589e+002, 1.382613e+003
2.428410e+002, 1.359456e+003
2.433232e+002, 1.338488e+003
2.438053e+002, 1.320575e+003
2.442874e+002, 1.303767e+003
2.447695e+002, 1.287243e+003
2.452516e+002, 1.270573e+003
2.457337e+002, 1.254776e+003
2.462159e+002, 1.239688e+003
2.466980e+002, 1.225414e+003
2.471801e+002, 1.212516e+003
2.476622e+002, 1.200465e+003
2.481443e+002, 1.190339e+003
2.486264e+002, 1.183050e+003
2.491086e+002, 1.180023e+003
2.495907e+002, 1.176169e+003
2.500728e+002, 1.170600e+003
2.505549e+002, 1.164394e+003
2.510370e+002, 1.160492e+003
2.515191e+002, 1.159673e+003
2.520013e+002, 1.159963e+003
2.524834e+002, 1.160592e+003
2.529655e+002, 1.161648e+003
2.534476e+002, 1.162799e+003
2.539297e+002, 1.163797e+003
2.544118e+002, 1.165017e+003
2.548940e+002, 1.167367e+003
2.553761e+002, 1.171156e+003
2.558582e+002, 1.175529e+003
2.563403e+002, 1.179918e+003
2.568224e+002, 1.183744e+003
2.573046e+002, 1.189507e+003
2.577867e+002, 1.197848e+003
2.582688e+002, 1.207615e+003
2.587509e+002, 1.216442e+003
