##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
4.225043e+002, 3.228395e+000
4.229864e+002, 3.235130e+000
4.234685e+002, 3.277386e+000
4.239506e+002, 3.345183e+000
4.244327e+002, 3.462585e+000
4.249149e+002, 3.518178e+000
4.253970e+002, 3.474520e+000
4.258791e+002, 3.386943e+000
4.263612e+002, 3.308424e+000
4.268433e+002, 3.247407e+000
4.273254e+002, 3.179039e+000
4.278076e+002, 3.070580e+000
4.282897e+002, 2.941280e+000
4.287718e+002, 2.960115e+000
4.292539e+002, 3.211097e+000
4.297360e+002, 3.439034e+000
4.302181e+002, 3.457572e+000
4.307003e+002, 3.221185e+000
4.311824e+002, 3.084717e+000
4.316645e+002, 3.082831e+000
4.321466e+002, 3.151341e+000
4.326287e+002, 3.187988e+000
4.331108e+002, 3.191978e+000
4.335930e+002, 3.192194e+000
4.340751e+002, 3.201126e+000
4.345572e+002, 3.214538e+000
4.350393e+002, 3.214149e+000
4.355214e+002, 3.199518e+000
4.360035e+002, 3.189087e+000
4.364857e+002, 3.199081e+000
4.369678e+002, 3.225886e+000
4.374499e+002, 3.267029e+000
4.379320e+002, 3.336385e+000
4.384141e+002, 3.390610e+000
4.388962e+002, 3.356581e+000
4.393784e+002, 3.263608e+000
4.398605e+002, 3.197755e+000
4.403426e+002, 3.243266e+000
4.408247e+002, 3.311485e+000
4.413068e+002, 3.320433e+000
4.417889e+002, 3.258102e+000
4.422711e+002, 3.200818e+000
4.427532e+002, 3.197640e+000
4.432353e+002, 3.214979e+000
4.437174e+002, 3.217956e+000
4.441995e+002, 3.178025e+000
4.446816e+002, 3.142235e+000
4.451638e+002, 3.140856e+000
4.456459e+002, 3.160321e+000
4.461280e+002, 3.138422e+000
4.466101e+002, 2.988446e+000
4.470922e+002, 2.859522e+000
4.475743e+002, 2.821328e+000
4.480565e+002, 2.911967e+000
4.485386e+002, 3.000431e+000
4.490207e+002, 3.106244e+000
4.495028e+002, 3.197050e+000
4.499849e+002, 3.222858e+000
4.504670e+002, 3.149219e+000
4.509492e+002, 3.090077e+000
4.514313e+002, 3.079732e+000
4.519134e+002, 3.107638e+000
4.523955e+002, 3.081429e+000
4.528776e+002, 2.977796e+000
4.533597e+002, 2.902152e+000
4.538419e+002, 2.959877e+000
4.543240e+002, 3.145648e+000
4.548061e+002, 3.247442e+000
4.552882e+002, 3.231020e+000
4.557703e+002, 3.167524e+000
4.562524e+002, 3.166421e+000
4.567346e+002, 3.218704e+000
4.572167e+002, 3.264653e+000
4.576988e+002, 3.291063e+000
4.581809e+002, 3.290479e+000
4.586630e+002, 3.226786e+000
4.591451e+002, 3.105580e+000
4.596273e+002, 3.008036e+000
4.601094e+002, 3.025531e+000
4.605915e+002, 3.094053e+000
4.610736e+002, 3.129833e+000
4.615557e+002, 3.106289e+000
4.620378e+002, 3.065929e+000
4.625200e+002, 3.020279e+000
4.630021e+002, 2.978436e+000
4.634842e+002, 2.959136e+000
