##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
545.2488, 1742.483
545.7309, 1744.943
546.2130, 1746.405
546.6951, 1747.018
547.1772, 1747.431
547.6594, 1747.291
548.1415, 1747.509
548.6236, 1748.649
549.1057, 1750.964
549.5878, 1753.476
550.0699, 1756.584
550.5521, 1759.602
551.0342, 1761.843
551.5163, 1762.469
551.9984, 1764.381
552.4805, 1768.813
552.9626, 1774.024
553.4448, 1775.165
553.9269, 1771.528
554.4090, 1769.380
554.8911, 1771.994
555.3732, 1777.823
555.8553, 1781.273
556.3375, 1782.337
556.8196, 1782.705
557.3017, 1783.255
557.7838, 1784.072
558.2659, 1785.260
558.7480, 1786.803
559.2302, 1788.851
559.7123, 1791.727
560.1944, 1795.104
560.6765, 1798.555
561.1586, 1802.833
561.6407, 1806.241
562.1229, 1807.286
562.6050, 1806.945
563.0871, 1808.098
563.5692, 1813.071
564.0513, 1817.613
564.5334, 1820.496
565.0156, 1821.648
565.4977, 1822.697
565.9798, 1823.231
566.4619, 1824.422
566.9440, 1827.547
567.4261, 1832.797
567.9083, 1836.847
568.3904, 1839.310
568.8725, 1840.995
569.3546, 1842.145
569.8367, 1843.208
570.3188, 1846.562
570.8010, 1854.237
571.2831, 1862.815
571.7652, 1867.629
572.2473, 1869.581
572.7294, 1871.478
573.2115, 1874.486
573.6937, 1878.242
574.1758, 1882.911
574.6579, 1888.493
575.1400, 1893.477
575.6221, 1897.006
576.1042, 1900.123
576.5864, 1903.421
577.0685, 1905.951
577.5506, 1910.669
578.0327, 1919.428
578.5148, 1929.079
578.9969, 1935.228
579.4791, 1936.953
579.9612, 1938.348
580.4433, 1939.478
580.9254, 1941.318
581.4075, 1947.468
581.8896, 1957.833
582.3718, 1967.744
582.8539, 1974.052
583.3360, 1978.330
583.8181, 1984.011
584.3002, 1990.991
584.7823, 1997.505
585.2645, 2001.631
585.7466, 2004.949
586.2287, 2009.211
586.7108, 2014.968
587.1929, 2020.937
587.6750, 2026.560
588.1571, 2032.156
588.6392, 2038.155
589.1213, 2046.117
589.6035, 2052.685
590.0856, 2055.963
590.5677, 2057.794
591.0498, 2063.648
591.5319, 2075.754
592.0140, 2086.699
592.4962, 2092.891
592.9783, 2095.274
593.4604, 2102.377
593.9425, 2114.778
594.4246, 2126.591
594.9067, 2131.780
595.3889, 2132.800
595.8710, 2137.560
596.3531, 2147.048
596.8352, 2157.133
597.3173, 2164.133
597.7994, 2169.352
598.2816, 2174.580
598.7637, 2180.260
599.2458, 2186.345
599.7279, 2193.036
600.2100, 2200.086
600.6921, 2207.074
601.1743, 2214.902
601.6564, 2221.672
602.1385, 2226.448
602.6206, 2229.572
603.1027, 2233.439
603.5848, 2238.230
604.0670, 2243.382
604.5491, 2249.000
605.0312, 2255.053
605.5133, 2259.492
605.9954, 2262.060
606.4775, 2263.978
606.9597, 2266.458
607.4418, 2269.212
607.9239, 2271.327
608.4060, 2272.538
608.8881, 2273.391
609.3702, 2275.007
609.8524, 2276.539
610.3345, 2276.525
610.8166, 2272.951
611.2987, 2269.203
611.7808, 2266.811
612.2629, 2265.481
612.7451, 2264.285
613.2272, 2264.297
613.7093, 2263.147
614.1914, 2259.967
614.6735, 2254.756
615.1556, 2249.208
615.6378, 2243.216
616.1199, 2237.069
616.6020, 2231.093
617.0841, 2225.239
617.5662, 2218.433
618.0483, 2210.463
618.5305, 2202.366
619.0126, 2195.430
619.4947, 2189.250
619.9768, 2182.268
620.4589, 2173.779
620.9410, 2165.385
621.4232, 2158.906
621.9053, 2153.469
622.3874, 2147.403
622.8695, 2139.414
623.3516, 2131.400
623.8337, 2124.128
624.3159, 2117.466
624.7980, 2110.717
625.2801, 2103.556
625.7622, 2096.491
626.2443, 2089.815
626.7264, 2083.517
627.2086, 2076.258
627.6907, 2067.614
628.1728, 2058.972
628.6549, 2051.173
629.1370, 2044.194
629.6191, 2038.197
630.1013, 2033.245
630.5834, 2028.675
631.0655, 2024.036
631.5476, 2019.214
632.0297, 2014.001
632.5118, 2008.242
632.9940, 2002.357
633.4761, 1996.361
633.9582, 1990.495
634.4403, 1985.209
634.9224, 1981.653
635.4045, 1977.649
635.8867, 1971.937
636.3688, 1965.100
636.8509, 1960.063
637.3330, 1958.170
637.8151, 1955.683
638.2972, 1950.759
638.7794, 1943.645
639.2615, 1938.798
639.7436, 1936.419
640.2257, 1934.672
640.7078, 1932.306
641.1899, 1929.446
641.6721, 1926.472
642.1542, 1923.362
642.6363, 1920.443
643.1184, 1918.430
643.6005, 1916.614
644.0826, 1914.099
644.5648, 1910.452
645.0469, 1906.574
645.5290, 1902.381
646.0111, 1898.312
646.4932, 1894.967
646.9753, 1892.297
647.4575, 1890.636
647.9396, 1890.615
648.4217, 1891.512
648.9038, 1891.069
649.3859, 1888.840
649.8680, 1886.911
650.3502, 1886.186
650.8323, 1886.266
651.3144, 1885.999
651.7965, 1885.346
652.2786, 1883.796
652.7607, 1879.732
653.2429, 1875.127
653.7250, 1873.135
654.2071, 1873.954
654.6892, 1875.074
655.1713, 1875.137
655.6534, 1874.911
656.1356, 1875.206
656.6177, 1877.010
657.0998, 1877.261
657.5819, 1873.501
658.0640, 1869.291
658.5461, 1868.214
659.0283, 1871.720
659.5104, 1873.964
659.9925, 1873.849
660.4746, 1872.807
660.9567, 1873.830
661.4388, 1876.717
661.9210, 1878.374
662.4031, 1877.002
662.8852, 1874.768
663.3673, 1875.556
663.8494, 1878.377
664.3315, 1880.041
664.8137, 1877.929
665.2958, 1874.931
665.7779, 1872.736
666.2600, 1871.381
666.7421, 1870.513
667.2242, 1870.688
667.7064, 1870.852
668.1885, 1870.597
668.6706, 1869.926
669.1527, 1869.120
669.6348, 1867.943
670.1169, 1867.206
670.5991, 1867.753
671.0812, 1869.521
671.5633, 1871.034
672.0454, 1872.295
672.5275, 1872.713
673.0096, 1870.593
673.4918, 1867.315
673.9739, 1865.693
674.4560, 1866.854
674.9381, 1868.504
675.4202, 1869.530
675.9023, 1869.940
676.3845, 1869.757
676.8666, 1866.936
677.3487, 1865.926
677.8308, 1868.962
678.3129, 1874.138
678.7950, 1877.279
679.2772, 1877.843
679.7593, 1877.623
680.2414, 1876.827
680.7235, 1875.744
681.2056, 1875.385
681.6877, 1875.755
682.1699, 1876.605
682.6520, 1877.769
683.1341, 1879.335
683.6162, 1882.022
684.0983, 1885.627
684.5804, 1888.021
685.0626, 1887.144
685.5447, 1885.163
686.0268, 1883.292
686.5089, 1881.528
686.9910, 1880.872
687.4731, 1882.673
687.9553, 1884.719
688.4374, 1885.626
688.9195, 1884.858
689.4016, 1884.648
