##NAMES=Lithiotantite
##RRUFFID=R100165
##IDEAL CHEMISTRY=LiTa^5+^_3_O_8_
##LOCALITY=Murundu mine, Jenipapo district, Itinga, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Brown bladed crystals associated with reddish brown prismatic tantalite, and black cassiterite. Used in the Menezes et al (2012) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100165
619.9692, 3778.503
620.4514, 3798.087
620.9335, 3814.985
621.4156, 3834.642
621.8977, 3863.666
622.3798, 3887.470
622.8619, 3899.555
623.3441, 3905.848
623.8262, 3913.138
624.3083, 3922.981
624.7904, 3931.997
625.2725, 3937.113
625.7546, 3939.203
626.2367, 3941.003
626.7188, 3942.846
627.2009, 3942.065
627.6830, 3936.964
628.1652, 3928.627
628.6473, 3919.236
629.1294, 3909.019
629.6115, 3897.489
630.0936, 3884.169
630.5757, 3869.819
631.0579, 3854.198
631.5400, 3837.973
632.0221, 3822.753
632.5042, 3809.461
632.9863, 3796.673
633.4684, 3781.893
633.9506, 3764.920
634.4327, 3746.430
634.9148, 3724.863
635.3969, 3703.916
635.8790, 3686.319
636.3611, 3670.295
636.8433, 3652.261
637.3254, 3630.365
637.8075, 3609.695
638.2896, 3595.991
638.7717, 3585.659
639.2538, 3571.042
639.7360, 3551.263
640.2181, 3531.008
640.7002, 3513.820
641.1823, 3498.579
641.6644, 3480.489
642.1465, 3455.542
642.6287, 3433.380
643.1108, 3416.681
643.5929, 3400.666
644.0750, 3381.737
644.5571, 3360.618
645.0392, 3339.999
645.5214, 3321.411
646.0035, 3303.412
646.4856, 3287.573
646.9677, 3271.263
647.4498, 3256.577
647.9319, 3243.561
648.4141, 3232.644
648.8962, 3224.604
649.3783, 3219.049
649.8604, 3214.874
650.3425, 3212.886
650.8246, 3211.002
651.3068, 3206.451
651.7889, 3202.557
652.2710, 3203.348
652.7531, 3209.325
653.2352, 3218.932
653.7173, 3231.098
654.1995, 3245.640
654.6816, 3261.861
655.1637, 3279.114
655.6458, 3299.496
656.1279, 3322.991
656.6100, 3350.252
657.0922, 3381.528
657.5743, 3417.084
658.0564, 3457.452
658.5385, 3504.140
659.0206, 3554.124
659.5027, 3604.629
659.9849, 3656.022
660.4670, 3709.507
660.9491, 3765.158
661.4312, 3824.720
661.9133, 3890.091
