##NAMES=Schaurteite
##RRUFFID=R120054
##IDEAL CHEMISTRY=Ca_3_Ge(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Massive aggregate of parallel and radiating colorless needles intermixed with calcite, associated with tennantite and renierite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120054
3.050341e+002, 4.204449e+002
3.055162e+002, 4.215328e+002
3.059984e+002, 4.224287e+002
3.064805e+002, 4.231479e+002
3.069626e+002, 4.238507e+002
3.074447e+002, 4.246109e+002
3.079268e+002, 4.254250e+002
3.084089e+002, 4.262963e+002
3.088911e+002, 4.273109e+002
3.093732e+002, 4.282543e+002
3.098553e+002, 4.288647e+002
3.103374e+002, 4.292337e+002
3.108195e+002, 4.296826e+002
3.113016e+002, 4.302860e+002
3.117838e+002, 4.310959e+002
3.122659e+002, 4.322067e+002
3.127480e+002, 4.337346e+002
3.132301e+002, 4.353128e+002
3.137122e+002, 4.368474e+002
3.141943e+002, 4.382910e+002
3.146765e+002, 4.395101e+002
3.151586e+002, 4.402574e+002
3.156407e+002, 4.408940e+002
3.161228e+002, 4.416323e+002
3.166049e+002, 4.424903e+002
3.170870e+002, 4.434825e+002
3.175692e+002, 4.446507e+002
3.180513e+002, 4.459435e+002
3.185334e+002, 4.472827e+002
3.190155e+002, 4.485341e+002
3.194976e+002, 4.499224e+002
3.199797e+002, 4.516802e+002
3.204619e+002, 4.538767e+002
3.209440e+002, 4.557322e+002
3.214261e+002, 4.566751e+002
3.219082e+002, 4.572942e+002
3.223903e+002, 4.581414e+002
3.228724e+002, 4.596703e+002
3.233546e+002, 4.610893e+002
3.238367e+002, 4.619810e+002
3.243188e+002, 4.623779e+002
3.248009e+002, 4.633014e+002
3.252830e+002, 4.653311e+002
3.257651e+002, 4.676769e+002
3.262473e+002, 4.698261e+002
3.267294e+002, 4.717939e+002
3.272115e+002, 4.735126e+002
3.276936e+002, 4.747698e+002
3.281757e+002, 4.757025e+002
3.286578e+002, 4.770175e+002
3.291400e+002, 4.791216e+002
3.296221e+002, 4.812956e+002
3.301042e+002, 4.832711e+002
3.305863e+002, 4.851219e+002
3.310684e+002, 4.866463e+002
3.315505e+002, 4.875012e+002
3.320327e+002, 4.880764e+002
3.325148e+002, 4.892412e+002
3.329969e+002, 4.912664e+002
3.334790e+002, 4.935002e+002
3.339611e+002, 4.958299e+002
3.344432e+002, 4.983773e+002
3.349254e+002, 5.004144e+002
3.354075e+002, 5.016119e+002
3.358896e+002, 5.025264e+002
3.363717e+002, 5.039199e+002
3.368538e+002, 5.058671e+002
3.373359e+002, 5.080737e+002
3.378180e+002, 5.105102e+002
3.383001e+002, 5.131631e+002
3.387823e+002, 5.158102e+002
3.392644e+002, 5.185358e+002
3.397465e+002, 5.210608e+002
3.402286e+002, 5.230342e+002
3.407107e+002, 5.243516e+002
3.411928e+002, 5.256920e+002
3.416750e+002, 5.270826e+002
3.421571e+002, 5.286188e+002
3.426392e+002, 5.307700e+002
3.431213e+002, 5.337185e+002
3.436034e+002, 5.364403e+002
3.440855e+002, 5.378522e+002
3.445677e+002, 5.380293e+002
3.450498e+002, 5.391710e+002
3.455319e+002, 5.416498e+002
3.460140e+002, 5.450117e+002
3.464961e+002, 5.487706e+002
3.469782e+002, 5.528763e+002
3.474604e+002, 5.563976e+002
3.479425e+002, 5.581162e+002
3.484246e+002, 5.587039e+002
3.489067e+002, 5.605898e+002
3.493888e+002, 5.639899e+002
3.498709e+002, 5.682474e+002
3.503531e+002, 5.730270e+002
3.508352e+002, 5.781168e+002
3.513173e+002, 5.827127e+002
3.517994e+002, 5.860369e+002
3.522815e+002, 5.888277e+002
3.527636e+002, 5.925002e+002
3.532458e+002, 5.970480e+002
3.537279e+002, 6.015146e+002
3.542100e+002, 6.053812e+002
3.546921e+002, 6.085648e+002
3.551742e+002, 6.109640e+002
3.556563e+002, 6.129455e+002
3.561385e+002, 6.137257e+002
3.566206e+002, 6.120647e+002
3.571027e+002, 6.083114e+002
3.575848e+002, 6.042840e+002
3.580669e+002, 6.015900e+002
3.585490e+002, 5.988516e+002
3.590312e+002, 5.947068e+002
3.595133e+002, 5.885272e+002
3.599954e+002, 5.816536e+002
3.604775e+002, 5.749205e+002
3.609596e+002, 5.680297e+002
3.614417e+002, 5.604664e+002
3.619239e+002, 5.507723e+002
3.624060e+002, 5.412417e+002
3.628881e+002, 5.331169e+002
3.633702e+002, 5.266295e+002
3.638523e+002, 5.210090e+002
3.643344e+002, 5.164135e+002
3.648166e+002, 5.124099e+002
