##NAMES=Lemoynite
##RRUFFID=R080106
##IDEAL CHEMISTRY=Na_2_CaZr^4+^_2_Si_10_O_26_&#183;5-6H_2_O
##LOCALITY=Mont Saint-Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of cream-white, sub-parallel prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080106
514.6877, 615.6014
515.1699, 619.1572
515.6520, 622.7135
516.1341, 626.8333
516.6162, 631.6966
517.0983, 637.0235
517.5804, 642.7948
518.0626, 648.9791
518.5447, 655.5289
519.0268, 662.7881
519.5089, 670.0526
519.9910, 677.0851
520.4731, 683.9249
520.9553, 690.7988
521.4374, 697.3890
521.9195, 704.3759
522.4016, 712.2024
522.8837, 720.9139
523.3658, 729.9272
523.8480, 739.3154
524.3301, 748.9025
524.8122, 758.2509
525.2943, 767.3657
525.7764, 776.9390
526.2585, 787.3616
526.7407, 798.1182
527.2228, 808.3034
527.7049, 818.1019
528.1870, 828.2355
528.6691, 839.4696
529.1512, 851.2468
529.6334, 862.9746
530.1155, 874.7049
530.5976, 886.3344
531.0797, 897.9742
531.5618, 909.5537
532.0439, 920.8363
532.5261, 931.5345
533.0082, 942.4203
533.4903, 954.6029
533.9724, 967.1116
534.4545, 978.1696
534.9366, 986.3101
535.4188, 994.4114
535.9009, 1003.405
536.3830, 1013.241
536.8651, 1021.447
537.3472, 1027.932
537.8293, 1032.996
538.3115, 1036.645
538.7936, 1038.837
539.2757, 1040.416
539.7578, 1041.570
540.2399, 1041.682
540.7220, 1039.849
541.2042, 1036.192
541.6863, 1031.384
542.1684, 1025.875
542.6505, 1018.936
543.1326, 1009.201
543.6147, 997.0504
544.0969, 983.6378
544.5790, 969.1303
545.0611, 954.2651
545.5432, 939.7586
546.0253, 925.7526
546.5074, 911.4696
546.9896, 896.0103
547.4717, 880.6045
547.9538, 866.2785
548.4359, 854.6233
548.9180, 842.1010
549.4001, 827.4703
549.8823, 812.0338
550.3644, 798.0205
550.8465, 785.6150
551.3286, 774.0522
551.8107, 763.2487
552.2928, 753.1066
552.7750, 743.2044
553.2571, 733.4141
553.7392, 724.2408
554.2213, 716.0645
554.7034, 708.8535
555.1855, 702.2227
555.6677, 696.2479
556.1498, 690.1028
556.6319, 682.1874
557.1140, 673.5798
557.5961, 666.6903
558.0782, 662.8376
558.5604, 659.8197
559.0425, 656.0289
559.5246, 651.7427
560.0067, 647.5983
560.4888, 643.9455
560.9709, 640.4493
561.4531, 636.7652
561.9352, 632.8768
562.4173, 629.9529
562.8994, 629.5315
563.3815, 628.9946
563.8636, 626.9061
564.3458, 622.4608
564.8279, 618.6513
565.3100, 615.4431
565.7921, 612.8690
566.2742, 611.2751
566.7563, 610.8115
567.2385, 609.7164
567.7206, 607.3656
568.2027, 604.4969
568.6848, 602.9379
569.1669, 602.5133
569.6490, 602.0770
570.1312, 600.8452
570.6133, 599.2947
571.0954, 598.1083
571.5775, 597.2745
572.0596, 596.6201
572.5417, 596.0314
573.0239, 595.5539
573.5060, 595.2656
573.9881, 595.2610
574.4702, 595.2139
574.9523, 595.1176
575.4344, 594.8956
575.9166, 594.4514
576.3987, 593.5515
576.8808, 592.7052
577.3629, 591.6924
577.8450, 590.7969
578.3271, 591.1180
578.8093, 593.1165
579.2914, 594.9345
579.7735, 595.6847
580.2556, 595.5137
580.7377, 595.5678
581.2198, 595.8262
581.7020, 596.4665
582.1841, 597.8964
582.6662, 599.7822
583.1483, 601.3165
583.6304, 602.3143
584.1125, 603.2551
584.5947, 604.2979
585.0768, 605.6288
585.5589, 607.5280
586.0410, 610.4486
586.5231, 613.5756
587.0052, 617.1335
587.4873, 620.6885
587.9694, 623.0013
588.4515, 622.4860
588.9337, 622.1393
589.4158, 622.7976
589.8979, 624.4669
590.3800, 626.4518
590.8621, 628.7818
591.3442, 631.3718
591.8264, 634.1431
592.3085, 637.0963
592.7906, 640.2811
593.2727, 643.7653
593.7548, 647.2115
594.2369, 650.3844
594.7191, 653.2485
595.2012, 655.5952
595.6833, 657.2778
596.1654, 658.6490
596.6475, 660.1786
597.1296, 661.6949
597.6118, 662.8376
598.0939, 663.1070
598.5760, 663.2738
599.0581, 663.9827
599.5402, 665.1262
600.0223, 665.6790
600.5045, 665.5156
600.9866, 664.6286
601.4687, 663.0695
601.9508, 660.8995
602.4329, 657.7324
602.9150, 653.0652
603.3972, 648.1277
603.8793, 644.2687
604.3614, 641.6572
604.8435, 637.9100
605.3256, 632.5242
605.8077, 626.4894
606.2899, 621.4388
606.7720, 617.1686
607.2541, 612.9794
607.7362, 608.6711
608.2183, 604.2342
608.7004, 599.5569
609.1826, 594.7355
609.6647, 590.2758
610.1468, 586.5089
610.6289, 583.0485
611.1110, 579.8028
611.5931, 576.7314
612.0753, 573.5574
612.5574, 569.7130
613.0395, 566.1335
613.5216, 563.4642
614.0037, 562.4073
614.4858, 560.2629
614.9680, 556.4407
615.4501, 552.3210
615.9322, 549.7556
616.4143, 548.8518
616.8964, 547.4138
617.3785, 544.7910
617.8607, 541.9153
618.3428, 540.4994
618.8249, 540.2900
619.3070, 540.2349
619.7891, 540.0554
620.2712, 539.6495
620.7534, 538.8361
621.2355, 537.6793
621.7176, 536.4884
622.1997, 535.4500
622.6818, 534.4058
623.1639, 533.2088
623.6461, 531.8032
624.1282, 530.5979
624.6103, 529.5424
625.0924, 528.7712
625.5745, 528.3947
626.0566, 528.5186
626.5388, 528.7532
627.0209, 529.1871
627.5030, 529.5408
627.9851, 529.2580
628.4672, 528.3810
628.9493, 527.9308
629.4315, 528.3350
629.9136, 528.9192
630.3957, 528.4398
630.8778, 527.2411
631.3599, 526.3616
631.8420, 526.7678
632.3242, 527.3205
632.8063, 527.1669
633.2884, 526.3917
633.7705, 525.5067
634.2526, 524.3148
634.7347, 523.3876
635.2169, 523.1367
635.6990, 523.7555
636.1811, 523.9085
636.6632, 523.2883
637.1453, 522.5850
637.6274, 522.2644
638.1096, 522.3407
638.5917, 522.7844
639.0738, 523.7630
639.5559, 524.6013
640.0380, 524.1662
640.5201, 522.7698
641.0023, 521.8755
641.4844, 522.0886
641.9665, 522.4468
642.4486, 521.7161
642.9307, 520.3536
643.4128, 519.3636
643.8950, 519.2445
644.3771, 519.5221
644.8592, 520.1416
645.3413, 521.0262
645.8234, 521.8186
646.3055, 522.5348
646.7877, 523.0572
647.2698, 523.2525
647.7519, 523.1018
648.2340, 523.3268
648.7161, 524.1158
649.1982, 524.7510
649.6804, 524.5553
650.1625, 523.6304
650.6446, 522.9661
651.1267, 522.6207
651.6088, 522.4572
652.0909, 522.3544
652.5731, 522.3347
653.0552, 522.4291
653.5373, 522.6227
654.0194, 522.9987
654.5015, 523.6650
654.9836, 524.5443
655.4658, 525.5235
655.9479, 527.1025
656.4300, 528.1768
656.9121, 528.2375
657.3942, 527.6598
657.8763, 527.3990
658.3585, 527.3962
658.8406, 527.8361
659.3227, 528.8279
659.8048, 530.2973
660.2869, 532.0134
660.7690, 533.9869
661.2512, 535.5956
661.7333, 536.2238
662.2154, 536.2463
662.6975, 536.3472
663.1796, 536.5446
663.6617, 536.7137
664.1439, 536.5487
664.6260, 536.4507
665.1081, 536.8052
665.5902, 537.7643
666.0723, 538.8895
666.5544, 540.1510
