##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
3.394895e+002, 7.932240e+001
3.399716e+002, 7.924501e+001
3.404537e+002, 7.930465e+001
3.409359e+002, 7.942862e+001
3.414180e+002, 7.971291e+001
3.419001e+002, 8.001553e+001
3.423822e+002, 8.010374e+001
3.428643e+002, 7.991035e+001
3.433464e+002, 7.965224e+001
3.438286e+002, 7.964863e+001
3.443107e+002, 8.005350e+001
3.447928e+002, 8.026016e+001
3.452749e+002, 8.012590e+001
3.457570e+002, 7.988755e+001
3.462391e+002, 7.967042e+001
3.467213e+002, 7.951142e+001
3.472034e+002, 7.947746e+001
3.476855e+002, 7.966602e+001
3.481676e+002, 8.009685e+001
3.486497e+002, 8.028111e+001
3.491318e+002, 7.999912e+001
3.496140e+002, 7.973632e+001
3.500961e+002, 7.969752e+001
3.505782e+002, 7.984239e+001
3.510603e+002, 8.007470e+001
3.515424e+002, 8.035499e+001
3.520245e+002, 8.064231e+001
3.525067e+002, 8.075533e+001
3.529888e+002, 8.053524e+001
3.534709e+002, 8.033852e+001
3.539530e+002, 8.012697e+001
3.544351e+002, 7.999207e+001
3.549172e+002, 8.009642e+001
3.553994e+002, 8.048755e+001
3.558815e+002, 8.096768e+001
3.563636e+002, 8.118571e+001
3.568457e+002, 8.087361e+001
3.573278e+002, 8.085303e+001
3.578099e+002, 8.144131e+001
3.582920e+002, 8.205616e+001
3.587741e+002, 8.224370e+001
3.592563e+002, 8.200834e+001
3.597384e+002, 8.169111e+001
3.602205e+002, 8.162342e+001
3.607026e+002, 8.183092e+001
3.611847e+002, 8.204648e+001
3.616668e+002, 8.238506e+001
3.621490e+002, 8.261335e+001
3.626311e+002, 8.254925e+001
3.631132e+002, 8.232465e+001
3.635953e+002, 8.219376e+001
3.640774e+002, 8.231657e+001
3.645595e+002, 8.263262e+001
3.650417e+002, 8.288734e+001
3.655238e+002, 8.307028e+001
3.660059e+002, 8.319616e+001
3.664880e+002, 8.328075e+001
3.669701e+002, 8.330599e+001
3.674522e+002, 8.317496e+001
3.679344e+002, 8.287966e+001
3.684165e+002, 8.263750e+001
3.688986e+002, 8.287782e+001
3.693807e+002, 8.394523e+001
3.698628e+002, 8.454137e+001
3.703449e+002, 8.433215e+001
3.708271e+002, 8.392232e+001
3.713092e+002, 8.351134e+001
3.717913e+002, 8.317365e+001
3.722734e+002, 8.297810e+001
3.727555e+002, 8.299815e+001
3.732376e+002, 8.322964e+001
3.737198e+002, 8.356236e+001
3.742019e+002, 8.424179e+001
3.746840e+002, 8.470667e+001
3.751661e+002, 8.462460e+001
3.756482e+002, 8.425632e+001
3.761303e+002, 8.401286e+001
3.766125e+002, 8.411299e+001
3.770946e+002, 8.440079e+001
3.775767e+002, 8.451053e+001
3.780588e+002, 8.435429e+001
3.785409e+002, 8.426901e+001
3.790230e+002, 8.448014e+001
3.795052e+002, 8.471666e+001
3.799873e+002, 8.471679e+001
3.804694e+002, 8.443246e+001
3.809515e+002, 8.414323e+001
3.814336e+002, 8.416619e+001
3.819157e+002, 8.449391e+001
3.823979e+002, 8.477208e+001
3.828800e+002, 8.498897e+001
3.833621e+002, 8.509573e+001
3.838442e+002, 8.507023e+001
3.843263e+002, 8.492307e+001
3.848084e+002, 8.469189e+001
3.852906e+002, 8.421905e+001
3.857727e+002, 8.370784e+001
3.862548e+002, 8.369748e+001
3.867369e+002, 8.432120e+001
3.872190e+002, 8.496711e+001
3.877011e+002, 8.533629e+001
3.881833e+002, 8.549489e+001
3.886654e+002, 8.548616e+001
3.891475e+002, 8.522538e+001
3.896296e+002, 8.496871e+001
3.901117e+002, 8.493558e+001
3.905938e+002, 8.511111e+001
3.910760e+002, 8.541784e+001
3.915581e+002, 8.595926e+001
3.920402e+002, 8.645716e+001
3.925223e+002, 8.649682e+001
3.930044e+002, 8.605825e+001
3.934865e+002, 8.558739e+001
3.939687e+002, 8.515565e+001
3.944508e+002, 8.483250e+001
3.949329e+002, 8.477448e+001
3.954150e+002, 8.502014e+001
3.958971e+002, 8.535652e+001
3.963792e+002, 8.564060e+001
3.968614e+002, 8.585991e+001
3.973435e+002, 8.596464e+001
3.978256e+002, 8.581980e+001
3.983077e+002, 8.567599e+001
3.987898e+002, 8.570988e+001
3.992719e+002, 8.588846e+001
3.997540e+002, 8.608537e+001
4.002361e+002, 8.624252e+001
4.007183e+002, 8.636851e+001
4.012004e+002, 8.648926e+001
4.016825e+002, 8.665525e+001
4.021646e+002, 8.673155e+001
4.026467e+002, 8.659285e+001
4.031288e+002, 8.639896e+001
4.036110e+002, 8.634303e+001
4.040931e+002, 8.646616e+001
4.045752e+002, 8.667197e+001
4.050573e+002, 8.686511e+001
4.055394e+002, 8.706579e+001
4.060215e+002, 8.712497e+001
4.065037e+002, 8.688744e+001
4.069858e+002, 8.667513e+001
4.074679e+002, 8.661198e+001
4.079500e+002, 8.670470e+001
4.084321e+002, 8.697343e+001
4.089142e+002, 8.746305e+001
4.093964e+002, 8.806759e+001
4.098785e+002, 8.830202e+001
4.103606e+002, 8.775919e+001
4.108427e+002, 8.735489e+001
4.113248e+002, 8.717973e+001
4.118069e+002, 8.716383e+001
4.122891e+002, 8.728187e+001
4.127712e+002, 8.750803e+001
4.132533e+002, 8.774816e+001
4.137354e+002, 8.784184e+001
4.142175e+002, 8.770030e+001
4.146996e+002, 8.777287e+001
4.151818e+002, 8.849130e+001
4.156639e+002, 8.902279e+001
