##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
349.2900, 60.00595
349.7721, 59.99789
350.2542, 59.61841
350.7364, 58.87286
351.2185, 57.96695
351.7006, 57.22934
352.1827, 56.82846
352.6648, 56.66223
353.1469, 56.41586
353.6291, 55.69772
354.1112, 55.32523
354.5933, 55.89746
355.0754, 56.65814
355.5575, 56.55765
356.0396, 55.30597
356.5218, 53.74133
357.0039, 53.32419
357.4860, 55.04892
357.9681, 55.75452
358.4502, 54.64008
358.9323, 53.20343
359.4145, 52.55066
359.8966, 52.66391
360.3787, 52.71805
360.8608, 51.85025
361.3429, 49.95309
361.8250, 48.43616
362.3072, 47.35159
362.7893, 46.58365
363.2714, 46.22385
363.7535, 46.12732
364.2356, 46.05331
364.7177, 45.86594
365.1999, 45.58704
365.6820, 45.32339
366.1641, 45.47311
366.6462, 45.03009
367.1283, 43.31116
367.6104, 41.29880
368.0926, 40.05890
368.5747, 39.86017
369.0568, 39.95056
369.5389, 39.05634
370.0210, 36.52271
370.5031, 34.83896
370.9853, 34.82343
371.4674, 34.96225
371.9495, 34.45410
372.4316, 33.35251
372.9137, 32.22058
373.3958, 31.54117
373.8780, 31.29132
374.3601, 30.94653
374.8422, 30.63190
375.3243, 30.02646
375.8064, 28.82547
376.2885, 27.35074
376.7707, 26.05862
377.2528, 25.15723
377.7349, 24.53452
378.2170, 24.01007
378.6991, 23.69412
379.1812, 23.15155
379.6634, 22.00180
380.1455, 20.76297
380.6276, 19.84061
381.1097, 19.30551
381.5918, 18.87326
382.0739, 18.28311
382.5561, 17.54425
383.0382, 16.78461
383.5203, 16.05258
384.0024, 15.25150
384.4845, 14.13635
384.9666, 12.87738
385.4488, 11.99890
385.9309, 12.10236
386.4130, 12.66354
386.8951, 12.41602
387.3772, 11.14252
387.8593, 9.894562
388.3415, 9.246338
388.8236, 8.946899
389.3057, 8.755005
389.7878, 8.726410
390.2699, 8.562256
390.7520, 7.794556
391.2342, 6.536652
391.7163, 5.782074
392.1984, 6.115234
392.6805, 6.652893
393.1626, 6.174561
393.6447, 4.685822
394.1269, 3.350159
394.6090, 2.611816
395.0911, 2.301941
395.5732, 2.245178
396.0553, 2.448639
396.5374, 2.622223
397.0196, 2.556702
397.5017, 2.249329
397.9838, 1.795135
398.4659, 1.116577
398.9480, 0.3667300
399.4301, 0.4777830
399.9123, 1.339752
400.3944, 1.950714
400.8765, 2.158630
401.3586, 2.104492
401.8407, 2.127167
402.3228, 2.310211
402.8050, 2.380493
403.2871, 2.116302
403.7692, 1.802765
404.2513, 1.759277
404.7334, 2.044952
405.2155, 2.528961
405.6977, 3.134338
406.1798, 3.939026
406.6619, 4.204651
407.1440, 3.211060
