##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
567.2122, 76745.37
567.6943, 76715.34
568.1764, 76651.96
568.6585, 76568.12
569.1406, 76516.84
569.6227, 76522.07
570.1049, 76567.98
570.5870, 76661.93
571.0691, 76790.17
571.5512, 76887.54
572.0333, 76889.61
572.5154, 76866.13
572.9976, 76869.34
573.4797, 76916.83
573.9618, 76948.84
574.4439, 76912.66
574.9260, 76872.72
575.4081, 76900.86
575.8903, 77079.38
576.3724, 77197.31
576.8545, 77214.85
577.3366, 77162.56
577.8187, 77129.80
578.3008, 77116.21
578.7830, 77123.57
579.2651, 77154.93
579.7472, 77208.64
580.2293, 77279.16
580.7114, 77367.44
581.1935, 77454.69
581.6757, 77523.57
582.1578, 77578.02
582.6399, 77627.01
583.1220, 77672.72
583.6041, 77710.14
584.0862, 77719.64
584.5684, 77719.57
585.0505, 77741.85
585.5326, 77816.32
586.0147, 77898.31
586.4968, 77976.55
586.9789, 78048.73
587.4611, 78105.34
587.9432, 78117.37
588.4253, 78139.72
588.9074, 78202.57
589.3895, 78327.01
589.8716, 78395.36
590.3538, 78377.15
590.8359, 78351.30
591.3180, 78422.97
591.8001, 78597.05
592.2822, 78719.39
592.7643, 78753.68
593.2465, 78736.00
593.7286, 78712.36
594.2107, 78687.48
594.6928, 78685.85
595.1749, 78730.92
595.6570, 78798.13
596.1392, 78857.29
596.6213, 78910.13
597.1034, 78981.74
597.5854, 79132.91
598.0676, 79278.32
598.5497, 79344.54
599.0318, 79272.54
599.5139, 79235.28
599.9960, 79266.35
600.4781, 79342.44
600.9603, 79441.82
601.4424, 79597.55
601.9245, 79710.54
602.4066, 79751.63
602.8887, 79743.96
603.3708, 79771.24
603.8530, 79841.01
604.3351, 79883.66
604.8172, 79832.72
605.2993, 79724.13
605.7814, 79691.34
606.2635, 79734.38
606.7457, 79814.62
607.2278, 79923.27
607.7099, 80040.85
608.1920, 80133.39
608.6741, 80182.45
609.1563, 80243.28
609.6384, 80390.64
610.1205, 80556.60
610.6026, 80645.13
611.0847, 80537.32
611.5668, 80457.66
612.0490, 80467.34
612.5311, 80547.20
613.0132, 80619.23
613.4953, 80679.52
613.9774, 80740.86
614.4595, 80813.79
614.9417, 80899.15
615.4238, 80946.00
615.9059, 80947.20
616.3880, 80945.86
616.8701, 80981.53
617.3522, 81047.87
617.8344, 81126.48
618.3165, 81220.98
618.7986, 81304.00
619.2807, 81340.82
619.7628, 81346.27
620.2449, 81347.25
620.7271, 81339.02
621.2092, 81343.81
621.6913, 81374.29
622.1734, 81427.23
622.6555, 81488.30
623.1376, 81585.99
623.6198, 81660.28
624.1019, 81680.19
624.5840, 81636.11
625.0661, 81628.73
625.5482, 81664.80
626.0303, 81725.26
626.5125, 81807.59
626.9946, 81911.88
627.4767, 81974.65
627.9588, 81978.59
628.4409, 81976.14
628.9230, 82050.57
629.4052, 82177.63
629.8873, 82287.68
630.3694, 82350.99
630.8515, 82392.77
631.3336, 82441.28
631.8157, 82487.63
632.2979, 82504.88
632.7800, 82441.03
633.2621, 82381.39
633.7442, 82367.77
634.2263, 82405.04
634.7084, 82456.41
635.1906, 82547.19
635.6727, 82622.64
636.1548, 82640.15
636.6369, 82572.81
637.1190, 82565.70
637.6011, 82636.90
638.0833, 82732.76
638.5654, 82776.33
639.0475, 82776.73
639.5296, 82801.09
640.0117, 82869.38
640.4938, 82964.04
640.9760, 83086.88
641.4581, 83219.59
641.9402, 83317.98
642.4223, 83337.98
642.9044, 83335.84
643.3865, 83337.55
643.8687, 83345.02
644.3508, 83365.75
644.8329, 83393.09
645.3150, 83442.46
645.7971, 83527.78
646.2792, 83668.73
646.7614, 83768.76
647.2435, 83822.45
647.7256, 83845.33
648.2077, 83849.41
648.6898, 83834.40
649.1719, 83804.09
649.6541, 83749.95
650.1362, 83703.49
650.6183, 83715.93
651.1004, 83774.60
651.5825, 83840.91
652.0646, 83895.37
652.5468, 83954.69
653.0289, 84048.18
653.5110, 84161.35
653.9931, 84243.09
654.4752, 84265.63
654.9573, 84261.54
655.4395, 84227.38
655.9216, 84154.21
656.4037, 84146.58
656.8858, 84228.78
657.3679, 84344.95
657.8500, 84474.23
658.3322, 84626.48
658.8143, 84710.35
659.2964, 84712.41
659.7785, 84680.53
660.2606, 84664.19
660.7427, 84661.79
661.2249, 84668.28
661.7070, 84684.76
662.1891, 84704.86
662.6712, 84708.93
663.1533, 84712.50
663.6354, 84748.29
664.1175, 84877.35
664.5996, 84995.04
665.0817, 85052.52
665.5638, 85056.04
666.0460, 85057.84
666.5281, 85067.38
667.0102, 85067.51
667.4923, 85037.59
667.9744, 84972.03
668.4565, 84993.46
668.9387, 85119.88
669.4208, 85267.65
669.9029, 85376.08
670.3850, 85448.98
670.8671, 85497.53
671.3492, 85519.38
671.8314, 85538.78
672.3135, 85597.67
672.7956, 85665.11
673.2777, 85689.15
673.7598, 85596.24
674.2419, 85540.48
674.7241, 85623.08
675.2062, 85783.33
675.6883, 85899.36
676.1704, 85895.23
676.6525, 85919.73
677.1346, 86013.21
677.6168, 86158.90
678.0989, 86267.80
678.5810, 86337.34
679.0631, 86384.23
679.5452, 86400.77
680.0273, 86400.01
680.5095, 86452.42
680.9916, 86557.73
681.4737, 86657.76
681.9558, 86697.19
682.4379, 86710.38
682.9200, 86729.07
683.4022, 86749.37
683.8843, 86824.38
684.3664, 87033.69
684.8485, 87280.84
685.3306, 87478.00
685.8127, 87584.58
686.2949, 87672.86
686.7770, 87742.84
687.2591, 87796.73
687.7412, 87833.33
688.2233, 87848.65
688.7054, 87870.94
689.1876, 87901.04
689.6697, 87948.92
690.1518, 88064.24
690.6339, 88230.01
691.1160, 88349.34
691.5981, 88297.29
692.0803, 88224.57
692.5624, 88308.55
693.0445, 88528.34
693.5266, 88712.91
694.0087, 88788.12
694.4908, 88812.27
694.9730, 88807.18
695.4551, 88764.97
695.9372, 88741.78
696.4193, 88744.16
696.9014, 88756.93
697.3835, 88775.16
697.8657, 88801.89
698.3478, 88802.33
698.8299, 88773.48
699.3120, 88721.92
699.7941, 88633.12
700.2762, 88527.90
700.7584, 88464.76
701.2405, 88462.62
701.7226, 88498.97
702.2047, 88592.79
702.6868, 88705.93
703.1689, 88770.39
703.6511, 88708.28
704.1332, 88658.66
704.6153, 88673.24
705.0974, 88730.05
705.5795, 88755.67
706.0616, 88732.23
706.5438, 88717.98
707.0259, 88745.18
707.5080, 88798.16
707.9901, 88773.98
708.4722, 88670.91
708.9543, 88588.40
709.4365, 88605.16
709.9186, 88679.45
710.4007, 88763.31
710.8828, 88852.58
711.3649, 88892.31
711.8470, 88799.38
712.3292, 88676.13
712.8113, 88600.94
