##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
3.739768e+002, 2.496299e+001
3.744589e+002, 2.511983e+001
3.749410e+002, 2.566693e+001
3.754231e+002, 2.574723e+001
3.759052e+002, 2.510841e+001
3.763874e+002, 2.472608e+001
3.768695e+002, 2.500671e+001
3.773516e+002, 2.593108e+001
3.778337e+002, 2.652689e+001
3.783158e+002, 2.683637e+001
3.787979e+002, 2.673892e+001
3.792801e+002, 2.577476e+001
3.797622e+002, 2.385747e+001
3.802443e+002, 2.287668e+001
3.807264e+002, 2.344573e+001
3.812085e+002, 2.496699e+001
3.816906e+002, 2.588713e+001
3.821728e+002, 2.619674e+001
3.826549e+002, 2.629108e+001
3.831370e+002, 2.640527e+001
3.836191e+002, 2.651776e+001
3.841012e+002, 2.651793e+001
3.845833e+002, 2.636864e+001
3.850655e+002, 2.619216e+001
3.855476e+002, 2.620197e+001
3.860297e+002, 2.633837e+001
3.865118e+002, 2.638441e+001
3.869939e+002, 2.618435e+001
3.874760e+002, 2.585252e+001
3.879582e+002, 2.548096e+001
3.884403e+002, 2.506797e+001
3.889224e+002, 2.482809e+001
3.894045e+002, 2.505813e+001
3.898866e+002, 2.553832e+001
3.903687e+002, 2.597494e+001
3.908509e+002, 2.641250e+001
3.913330e+002, 2.661817e+001
3.918151e+002, 2.620437e+001
3.922972e+002, 2.534414e+001
3.927793e+002, 2.473450e+001
3.932614e+002, 2.489431e+001
3.937436e+002, 2.532415e+001
3.942257e+002, 2.568647e+001
3.947078e+002, 2.591845e+001
3.951899e+002, 2.608259e+001
3.956720e+002, 2.621452e+001
3.961541e+002, 2.628993e+001
3.966363e+002, 2.626987e+001
3.971184e+002, 2.604457e+001
3.976005e+002, 2.581536e+001
3.980826e+002, 2.565357e+001
3.985647e+002, 2.557111e+001
3.990468e+002, 2.548466e+001
3.995290e+002, 2.533615e+001
4.000111e+002, 2.520899e+001
4.004932e+002, 2.516507e+001
4.009753e+002, 2.510309e+001
4.014574e+002, 2.527912e+001
4.019395e+002, 2.596237e+001
4.024217e+002, 2.695412e+001
4.029038e+002, 2.722001e+001
4.033859e+002, 2.619473e+001
4.038680e+002, 2.527372e+001
4.043501e+002, 2.525570e+001
4.048322e+002, 2.658090e+001
4.053144e+002, 2.721599e+001
4.057965e+002, 2.693405e+001
4.062786e+002, 2.622496e+001
4.067607e+002, 2.589809e+001
4.072428e+002, 2.603865e+001
4.077249e+002, 2.607990e+001
4.082071e+002, 2.571995e+001
4.086892e+002, 2.507533e+001
4.091713e+002, 2.505591e+001
4.096534e+002, 2.578189e+001
4.101355e+002, 2.642983e+001
4.106176e+002, 2.588805e+001
4.110998e+002, 2.444300e+001
4.115819e+002, 2.391282e+001
4.120640e+002, 2.495998e+001
4.125461e+002, 2.655227e+001
4.130282e+002, 2.684121e+001
4.135103e+002, 2.604592e+001
4.139925e+002, 2.547016e+001
4.144746e+002, 2.639101e+001
4.149567e+002, 2.784409e+001
4.154388e+002, 2.818848e+001
4.159209e+002, 2.720545e+001
4.164030e+002, 2.598478e+001
4.168852e+002, 2.515408e+001
4.173673e+002, 2.473861e+001
4.178494e+002, 2.476864e+001
4.183315e+002, 2.586642e+001
4.188136e+002, 2.690671e+001
4.192957e+002, 2.704400e+001
4.197779e+002, 2.640159e+001
4.202600e+002, 2.581730e+001
4.207421e+002, 2.574527e+001
4.212242e+002, 2.583356e+001
4.217063e+002, 2.579605e+001
4.221884e+002, 2.534946e+001
4.226706e+002, 2.521145e+001
4.231527e+002, 2.591530e+001
4.236348e+002, 2.700399e+001
4.241169e+002, 2.762104e+001
4.245990e+002, 2.734049e+001
4.250811e+002, 2.686699e+001
4.255633e+002, 2.631194e+001
4.260454e+002, 2.562438e+001
4.265275e+002, 2.524421e+001
4.270096e+002, 2.533920e+001
4.274917e+002, 2.560508e+001
4.279738e+002, 2.581619e+001
4.284560e+002, 2.603914e+001
4.289381e+002, 2.603879e+001
4.294202e+002, 2.562948e+001
4.299023e+002, 2.501204e+001
4.303844e+002, 2.493927e+001
4.308665e+002, 2.560923e+001
4.313487e+002, 2.626258e+001
4.318308e+002, 2.647253e+001
4.323129e+002, 2.621245e+001
4.327950e+002, 2.605403e+001
4.332771e+002, 2.600708e+001
4.337592e+002, 2.605316e+001
4.342414e+002, 2.621957e+001
4.347235e+002, 2.649167e+001
4.352056e+002, 2.669435e+001
4.356877e+002, 2.679229e+001
4.361698e+002, 2.677351e+001
4.366519e+002, 2.649932e+001
4.371341e+002, 2.599164e+001
4.376162e+002, 2.563002e+001
4.380983e+002, 2.574016e+001
4.385804e+002, 2.617057e+001
4.390625e+002, 2.674910e+001
4.395446e+002, 2.755602e+001
4.400268e+002, 2.813645e+001
4.405089e+002, 2.787400e+001
4.409910e+002, 2.709009e+001
4.414731e+002, 2.644809e+001
4.419552e+002, 2.627699e+001
4.424373e+002, 2.631363e+001
4.429195e+002, 2.654159e+001
4.434016e+002, 2.693885e+001
4.438837e+002, 2.701214e+001
4.443658e+002, 2.602851e+001
4.448479e+002, 2.493210e+001
4.453300e+002, 2.448504e+001
4.458122e+002, 2.545066e+001
4.462943e+002, 2.626110e+001
4.467764e+002, 2.661502e+001
4.472585e+002, 2.662643e+001
4.477406e+002, 2.658625e+001
4.482227e+002, 2.644818e+001
4.487049e+002, 2.632452e+001
4.491870e+002, 2.621031e+001
4.496691e+002, 2.606995e+001
4.501512e+002, 2.619792e+001
4.506333e+002, 2.684783e+001
4.511154e+002, 2.748962e+001
4.515976e+002, 2.752166e+001
4.520797e+002, 2.665775e+001
4.525618e+002, 2.616536e+001
4.530439e+002, 2.634682e+001
4.535260e+002, 2.696923e+001
4.540081e+002, 2.734358e+001
4.544903e+002, 2.745414e+001
4.549724e+002, 2.742379e+001
4.554545e+002, 2.731559e+001
4.559366e+002, 2.712653e+001
4.564187e+002, 2.679289e+001
4.569008e+002, 2.629335e+001
4.573830e+002, 2.576773e+001
4.578651e+002, 2.527813e+001
4.583472e+002, 2.488330e+001
4.588293e+002, 2.482189e+001
4.593114e+002, 2.533149e+001
4.597935e+002, 2.604276e+001
4.602757e+002, 2.658259e+001
4.607578e+002, 2.694313e+001
4.612399e+002, 2.710373e+001
4.617220e+002, 2.689476e+001
4.622041e+002, 2.656617e+001
4.626862e+002, 2.631379e+001
4.631684e+002, 2.613373e+001
4.636505e+002, 2.617840e+001
