##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
579.1022, 47147.58
579.5844, 47042.39
580.0665, 46961.59
580.5486, 47005.08
581.0307, 47150.49
581.5128, 47234.82
581.9949, 47233.62
582.4771, 47190.23
582.9592, 47137.52
583.4413, 47083.81
583.9234, 47049.55
584.4055, 47053.41
584.8876, 47072.70
585.3698, 47101.33
585.8519, 47135.32
586.3340, 47152.06
586.8161, 47120.34
587.2982, 47085.63
587.7803, 47077.77
588.2625, 47120.40
588.7446, 47135.31
589.2267, 47090.66
589.7088, 47036.04
590.1909, 47029.14
590.6730, 47093.31
591.1552, 47138.39
591.6373, 47138.74
592.1194, 47116.57
592.6015, 47146.52
593.0836, 47231.96
593.5657, 47310.52
594.0479, 47346.55
594.5300, 47350.11
595.0121, 47343.14
595.4942, 47325.29
595.9763, 47311.08
596.4584, 47310.65
596.9406, 47321.35
597.4227, 47344.86
597.9048, 47408.58
598.3869, 47436.52
598.8690, 47355.77
599.3511, 47219.10
599.8333, 47127.68
600.3154, 47130.15
600.7975, 47153.96
601.2796, 47189.70
601.7617, 47237.38
602.2438, 47265.82
602.7260, 47277.76
603.2081, 47269.44
603.6902, 47237.43
604.1723, 47181.65
604.6544, 47113.25
605.1365, 47032.94
605.6187, 46943.48
606.1008, 46813.39
606.5829, 46668.15
607.0650, 46621.28
607.5471, 46763.17
608.0292, 46958.17
608.5114, 47054.40
608.9935, 47068.26
609.4756, 47060.29
609.9577, 47027.55
610.4398, 47007.81
610.9219, 47028.74
611.4041, 47097.36
611.8862, 47168.03
612.3683, 47256.53
612.8504, 47327.11
613.3325, 47351.26
613.8146, 47298.66
614.2968, 47258.00
614.7789, 47235.11
615.2610, 47224.19
615.7431, 47210.65
616.2252, 47192.07
616.7073, 47196.95
617.1895, 47256.14
617.6716, 47337.54
618.1537, 47339.82
618.6358, 47269.08
619.1179, 47197.32
619.6000, 47170.63
620.0822, 47175.10
620.5643, 47203.20
621.0464, 47261.37
621.5285, 47301.43
622.0106, 47281.04
622.4927, 47235.95
622.9749, 47204.37
623.4570, 47218.48
623.9391, 47217.86
624.4212, 47169.11
624.9033, 47102.18
625.3854, 47101.27
625.8676, 47202.40
626.3497, 47288.83
