##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
429.5235, 384.3987
430.0056, 383.9721
430.4877, 382.4764
430.9698, 381.2025
431.4520, 380.9644
431.9341, 381.3769
432.4162, 381.7933
432.8983, 382.1025
433.3804, 382.0226
433.8625, 380.9941
434.3447, 378.8104
434.8268, 377.5700
435.3089, 378.2871
435.7910, 379.1599
436.2731, 378.7553
436.7552, 377.4052
437.2374, 376.4990
437.7195, 376.9158
438.2016, 378.2360
438.6837, 378.8550
439.1658, 378.1562
439.6479, 377.5324
440.1301, 376.9995
440.6122, 376.6261
441.0943, 376.5598
441.5764, 376.7892
442.0585, 377.0844
442.5406, 377.2071
443.0227, 377.1708
443.5049, 376.8730
443.9870, 376.1114
444.4691, 375.2970
444.9512, 374.3848
445.4333, 373.5416
445.9154, 373.0589
446.3976, 373.1258
446.8797, 373.4556
447.3618, 373.3928
447.8439, 372.8027
448.3260, 372.2162
448.8081, 371.7366
449.2903, 371.2809
449.7724, 370.8617
450.2545, 370.4473
450.7366, 369.8771
451.2187, 368.8152
451.7008, 367.4518
452.1830, 366.6801
452.6651, 366.6747
453.1472, 366.8689
453.6293, 367.1669
454.1114, 367.3953
454.5935, 367.2459
455.0757, 366.5378
455.5578, 365.6649
456.0399, 364.8764
456.5220, 364.1811
457.0041, 363.6613
457.4862, 363.4365
457.9684, 363.1874
458.4505, 362.3606
458.9326, 360.9572
459.4147, 359.8392
459.8968, 359.4864
460.3789, 359.2523
460.8611, 358.4854
461.3432, 357.2548
461.8253, 356.1344
462.3074, 355.4927
462.7895, 355.2079
463.2716, 354.7535
463.7538, 353.9566
464.2359, 353.2307
464.7180, 352.5331
465.2001, 351.9693
465.6822, 351.7960
466.1643, 351.9857
466.6465, 352.0594
467.1286, 351.4232
467.6107, 349.9444
468.0928, 348.9760
468.5749, 349.2345
469.0570, 349.2361
469.5392, 348.1509
470.0213, 346.6735
470.5034, 345.9223
470.9855, 346.4082
471.4676, 347.4942
471.9497, 348.1063
472.4319, 348.1937
472.9140, 348.0279
473.3961, 347.3132
473.8782, 346.6387
474.3603, 346.3513
474.8424, 346.4161
475.3246, 346.5954
475.8067, 346.7505
476.2888, 346.9278
476.7709, 347.3408
477.2530, 348.0768
477.7351, 348.4843
478.2173, 348.1271
478.6994, 347.3091
479.1815, 346.4551
479.6636, 345.4784
480.1457, 344.8476
480.6278, 345.3285
481.1100, 346.1803
481.5920, 345.8018
482.0742, 343.8599
482.5563, 341.8725
483.0384, 341.2583
483.5205, 342.0099
484.0026, 342.3171
484.4847, 341.9915
484.9669, 341.4555
485.4490, 340.8404
485.9311, 340.1360
486.4132, 339.2235
486.8953, 338.0607
487.3774, 336.9474
487.8596, 336.4397
488.3417, 336.9460
488.8238, 336.9203
489.3059, 335.9468
489.7880, 334.9338
490.2701, 334.3390
490.7523, 334.0658
491.2344, 333.8204
491.7165, 333.4364
492.1986, 332.9404
492.6807, 332.3480
493.1628, 331.5155
493.6450, 330.9910
494.1271, 331.2596
494.6092, 331.6133
495.0913, 331.5930
495.5734, 331.1762
496.0555, 330.6076
496.5377, 329.9066
497.0198, 329.1960
497.5019, 328.8893
497.9840, 329.0832
498.4661, 329.2724
498.9482, 329.3510
499.4304, 329.1623
499.9125, 328.3236
500.3946, 326.3690
500.8767, 324.8571
501.3588, 324.8664
501.8409, 325.7513
502.3231, 326.4367
502.8052, 326.7053
503.2873, 326.6765
503.7694, 326.4145
504.2515, 325.9065
504.7336, 325.5086
505.2158, 325.2421
505.6979, 325.0482
506.1800, 324.9947
506.6621, 324.9735
507.1442, 324.8127
507.6263, 324.4538
508.1085, 324.0030
508.5906, 323.6860
509.0727, 323.6999
509.5548, 323.1253
510.0369, 321.5643
510.5190, 319.8080
511.0012, 317.9396
511.4833, 316.1175
511.9654, 314.5617
512.4475, 313.3734
512.9296, 312.5255
513.4117, 312.1282
513.8939, 312.2936
514.3760, 312.0137
514.8581, 310.7735
515.3402, 309.3021
515.8223, 308.2023
516.3044, 307.4383
516.7866, 306.7188
517.2687, 306.0347
517.7508, 305.2616
518.2329, 304.0945
518.7150, 302.5782
519.1971, 301.3503
519.6793, 300.7991
520.1614, 300.6103
520.6435, 300.0702
521.1256, 299.0680
521.6077, 298.1147
522.0898, 297.3741
522.5720, 296.6639
523.0541, 295.7652
523.5362, 294.7195
524.0183, 293.7772
524.5004, 293.1305
524.9825, 292.7314
525.4647, 292.3281
525.9468, 292.0909
526.4289, 291.5932
526.9110, 290.4459
527.3931, 289.2799
527.8752, 288.6598
528.3574, 288.6108
528.8395, 288.7234
529.3216, 288.6606
529.8037, 288.4507
530.2858, 288.2581
530.7679, 288.0797
531.2501, 287.9273
531.7322, 287.8857
532.2143, 287.8343
532.6964, 287.6722
533.1785, 287.3984
533.6606, 286.9091
534.1428, 285.9675
534.6249, 284.7931
535.1070, 283.7782
535.5891, 282.9572
536.0712, 282.5072
536.5533, 282.6447
537.0355, 283.2889
537.5176, 283.8598
537.9997, 284.5580
538.4818, 284.9505
538.9639, 284.7964
539.4460, 284.3261
539.9282, 283.7144
540.4103, 283.0491
540.8924, 282.5489
541.3745, 282.4876
541.8566, 282.8841
542.3387, 283.0645
542.8209, 282.9166
543.3029, 282.6683
543.7850, 282.5064
544.2672, 282.2004
544.7493, 281.3964
545.2314, 280.0253
545.7135, 278.5388
546.1956, 277.3524
546.6777, 276.4669
547.1599, 276.0197
547.6420, 276.2398
548.1241, 276.4279
548.6062, 276.1113
549.0883, 275.4824
549.5704, 274.8019
550.0526, 274.0687
550.5347, 273.3882
551.0168, 272.8721
551.4989, 272.4461
551.9810, 271.9369
552.4631, 271.3065
552.9453, 270.6616
553.4274, 270.0774
553.9095, 269.5529
554.3916, 269.2340
554.8737, 269.4005
555.3558, 269.4053
555.8380, 269.0248
556.3201, 268.4041
556.8022, 267.5784
557.2843, 266.6234
557.7664, 265.9337
558.2485, 266.0810
558.7307, 267.1096
559.2128, 267.6730
559.6949, 267.4790
560.1770, 267.2148
560.6591, 267.2556
561.1412, 267.3047
561.6234, 266.9105
562.1055, 265.9195
562.5876, 264.9413
563.0697, 264.5108
563.5518, 264.5222
564.0339, 264.6366
564.5161, 264.8210
564.9982, 265.1003
565.4803, 265.6425
565.9624, 266.2833
566.4445, 266.3631
566.9266, 265.3797
567.4088, 264.5542
567.8909, 264.4035
568.3730, 264.5928
568.8551, 264.8055
569.3372, 264.9359
569.8193, 264.8122
570.3015, 264.1959
570.7836, 263.1382
571.2657, 262.6949
571.7478, 263.6026
572.2299, 264.1404
572.7120, 263.6750
573.1942, 262.9687
573.6763, 262.7559
574.1584, 263.1316
574.6405, 263.6474
575.1226, 264.0349
575.6047, 264.2531
576.0869, 264.0052
576.5690, 263.1203
577.0511, 262.5078
577.5332, 262.8883
578.0153, 263.6306
578.4974, 263.6576
578.9796, 262.7757
579.4617, 261.9804
579.9438, 261.7483
580.4259, 261.7394
580.9080, 261.5102
581.3901, 261.0773
581.8723, 260.8215
582.3544, 261.0241
582.8365, 261.5038
583.3186, 261.6407
583.8007, 261.2103
584.2828, 260.7632
584.7650, 260.3721
585.2471, 259.9167
585.7292, 259.1671
586.2113, 258.2663
586.6934, 257.6766
587.1755, 257.7825
587.6577, 258.2000
588.1398, 257.9417
588.6219, 256.8641
589.1040, 256.0886
589.5861, 255.9227
590.0682, 256.1151
590.5504, 256.5632
591.0325, 257.2010
591.5146, 257.5791
591.9967, 257.4339
592.4788, 257.0805
592.9609, 256.7362
593.4431, 256.4026
593.9252, 256.0653
594.4073, 255.7195
594.8894, 255.3696
595.3715, 254.9862
595.8536, 254.4754
596.3358, 254.3790
596.8179, 255.3585
597.3000, 255.9583
597.7821, 255.3359
598.2642, 254.1337
598.7463, 253.2935
599.2285, 253.1321
599.7106, 253.2408
600.1927, 253.2206
600.6748, 253.0643
601.1569, 252.5495
601.6390, 251.5219
602.1212, 250.4446
602.6033, 249.5625
603.0854, 248.8051
603.5675, 248.1067
604.0496, 247.4841
604.5317, 246.8363
605.0139, 246.1196
605.4960, 245.3392
605.9781, 244.4541
606.4602, 243.4842
606.9423, 242.6208
607.4244, 242.0393
607.9066, 241.6442
608.3887, 240.9857
608.8708, 239.7959
609.3529, 238.7246
609.8350, 237.7803
610.3171, 236.9733
610.7993, 236.2953
611.2814, 235.7587
611.7635, 235.4374
612.2456, 235.4732
612.7277, 235.5940
613.2098, 235.1146
613.6920, 233.9593
614.1741, 233.0714
614.6562, 232.7689
615.1383, 232.6860
615.6204, 232.5197
616.1025, 232.2687
616.5847, 231.8905
617.0668, 231.3168
617.5489, 230.6731
618.0310, 229.8891
618.5131, 229.1209
618.9952, 228.7293
619.4774, 228.8109
619.9595, 229.0549
620.4416, 229.0910
620.9237, 228.8993
621.4058, 228.8118
621.8879, 228.9823
622.3701, 229.0701
622.8522, 229.0752
623.3343, 228.9275
623.8164, 228.4518
624.2985, 227.6567
624.7806, 226.9459
625.2628, 226.7799
625.7448, 226.9321
626.2269, 226.7550
626.7090, 226.2061
627.1912, 225.6708
627.6733, 225.3034
628.1554, 225.0686
628.6375, 224.9275
629.1196, 224.9071
629.6017, 224.8345
630.0839, 224.5943
630.5660, 224.3726
631.0481, 224.3642
631.5302, 224.4731
632.0123, 224.4440
632.4944, 224.1596
632.9766, 223.7632
633.4587, 223.4902
633.9408, 223.3520
634.4229, 223.2771
634.9050, 223.3109
635.3871, 223.3494
635.8693, 223.3426
636.3514, 223.3129
636.8335, 223.3246
637.3156, 223.4290
637.7977, 223.4093
638.2798, 222.8652
638.7620, 222.1666
639.2441, 222.1967
639.7262, 223.0175
640.2083, 223.6092
640.6904, 223.2700
641.1725, 222.2577
641.6547, 221.4258
642.1368, 220.8665
642.6189, 220.3685
643.1010, 219.7745
643.5831, 219.3794
644.0652, 219.4527
644.5474, 219.8791
645.0295, 220.3927
645.5116, 220.8875
645.9937, 221.2374
646.4758, 221.1990
646.9579, 220.7749
647.4401, 220.2466
647.9222, 219.6006
648.4043, 218.9719
648.8864, 218.3461
649.3685, 217.8241
