##NAMES=Pararealgar
##RRUFFID=R150123
##IDEAL CHEMISTRY=AsS
##LOCALITY=U.S. Borax mine, Kramer Borate deposit, Boron, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott S106210
##DESCRIPTION=Yellowish-orange granular, within a rind of realgar
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150123
1351.594, 2618.475
1353.523, 2609.899
1355.451, 2611.109
1357.380, 2618.101
1359.308, 2611.653
1361.237, 2600.237
1363.165, 2602.189
1365.094, 2606.672
1367.022, 2599.756
1368.951, 2591.267
1370.879, 2588.096
1372.808, 2585.683
1374.736, 2583.316
1376.665, 2578.744
1378.593, 2568.810
1380.521, 2565.951
1382.450, 2572.772
1384.378, 2573.369
1386.307, 2567.493
1388.235, 2555.687
1390.164, 2542.342
1392.092, 2542.399
1394.021, 2548.759
1395.949, 2554.584
1397.878, 2555.726
1399.806, 2543.002
1401.735, 2533.754
1403.663, 2540.826
1405.592, 2545.311
1407.520, 2542.372
1409.448, 2534.908
1411.377, 2520.505
1413.305, 2513.868
1415.234, 2514.834
1417.162, 2514.940
1419.091, 2514.706
1421.019, 2517.175
1422.948, 2519.513
1424.876, 2517.409
1426.805, 2513.173
1428.733, 2505.864
1430.662, 2503.219
1432.590, 2511.779
1434.519, 2513.327
1436.447, 2502.032
1438.375, 2493.462
1440.304, 2489.442
1442.232, 2484.936
1444.161, 2480.761
1446.089, 2484.394
1448.018, 2490.158
1449.946, 2484.851
1451.875, 2478.135
1453.803, 2481.600
1455.732, 2483.757
1457.660, 2477.210
1459.589, 2472.264
1461.517, 2471.499
1463.446, 2470.273
1465.374, 2467.931
1467.302, 2456.608
1469.231, 2440.447
1471.159, 2441.513
1473.088, 2448.803
1475.016, 2441.975
1476.945, 2432.856
1478.873, 2434.948
1480.802, 2433.940
1482.730, 2418.022
1484.659, 2408.899
1486.587, 2412.907
1488.516, 2409.036
1490.444, 2396.808
