##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
294.5746, 109.7932
295.0568, 109.1122
295.5389, 108.4285
296.0210, 107.5352
296.5031, 107.3064
296.9852, 109.5083
297.4673, 113.1630
297.9495, 115.4545
298.4316, 114.6246
298.9137, 112.2340
299.3958, 110.6170
299.8779, 109.9799
300.3600, 109.3601
300.8422, 107.7574
301.3243, 105.7939
301.8064, 104.6338
302.2885, 104.9511
302.7706, 105.7528
303.2527, 105.7146
303.7349, 104.7433
304.2170, 104.3159
304.6991, 105.8876
305.1812, 108.0349
305.6633, 108.6963
306.1454, 107.1659
306.6276, 105.2616
307.1097, 104.5645
307.5918, 105.0164
308.0739, 105.6239
308.5560, 106.2129
309.0381, 106.6862
309.5203, 106.8856
310.0024, 106.7739
310.4845, 106.7448
310.9666, 107.3461
311.4487, 108.3578
311.9308, 108.6048
312.4130, 107.5273
312.8951, 106.0875
313.3772, 105.0697
313.8593, 104.4487
314.3414, 104.1747
314.8235, 104.6088
315.3057, 105.3563
315.7878, 105.1748
316.2699, 103.4640
316.7520, 102.0383
317.2341, 102.6722
317.7162, 104.5922
318.1984, 106.1789
318.6805, 106.8234
319.1626, 106.8140
319.6447, 106.5691
320.1268, 106.0890
320.6089, 105.3639
321.0911, 103.8127
321.5732, 102.1744
322.0553, 101.6008
322.5374, 102.6696
323.0195, 104.2860
323.5016, 105.6370
323.9838, 106.7378
324.4659, 106.8067
324.9480, 104.5610
325.4301, 101.8205
325.9122, 100.9611
326.3943, 102.3995
326.8765, 104.1266
327.3586, 104.7120
327.8407, 104.3277
328.3228, 103.9269
328.8049, 103.8028
329.2870, 103.6024
329.7692, 102.8057
330.2513, 101.4827
330.7334, 100.4753
331.2155, 100.5450
331.6976, 101.1920
332.1797, 101.2104
332.6619, 100.3526
333.1440, 99.20975
333.6261, 97.70359
334.1082, 96.21358
334.5903, 95.87114
335.0724, 98.33754
335.5546, 101.4787
336.0367, 102.2702
336.5188, 100.4986
337.0009, 98.50912
337.4830, 97.57048
337.9651, 97.32439
338.4473, 97.08040
338.9294, 96.72560
339.4115, 96.42680
339.8936, 96.25783
340.3757, 96.23369
340.8578, 96.54939
341.3400, 97.57417
341.8221, 98.65874
342.3042, 98.66360
342.7863, 97.33018
343.2684, 96.39692
343.7505, 97.32942
344.2327, 99.26982
344.7148, 99.95113
345.1969, 98.56657
345.6790, 96.73146
346.1611, 96.52650
346.6432, 97.67260
347.1254, 98.48407
347.6075, 98.22261
348.0896, 97.53954
348.5717, 97.17200
349.0538, 97.18053
349.5359, 97.50687
350.0181, 98.43178
350.5002, 99.65780
350.9823, 99.95737
351.4644, 98.21194
351.9465, 96.42190
352.4286, 96.05052
352.9108, 96.86613
353.3929, 97.80881
353.8750, 98.49709
