##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
633.5302, 24656.81
634.0123, 24632.32
634.4944, 24640.71
634.9765, 24748.82
635.4586, 24811.59
635.9407, 24784.88
636.4229, 24705.95
636.9050, 24685.10
637.3871, 24747.41
637.8692, 24795.82
638.3513, 24787.72
638.8334, 24735.55
639.3155, 24712.20
639.7976, 24718.08
640.2797, 24733.19
640.7618, 24755.40
641.2440, 24773.29
641.7261, 24759.79
642.2082, 24709.33
642.6903, 24660.60
643.1724, 24637.82
643.6545, 24634.18
644.1367, 24642.82
644.6188, 24667.96
645.1009, 24697.13
645.5830, 24732.31
646.0651, 24768.68
646.5472, 24797.65
647.0294, 24813.90
647.5115, 24829.82
647.9936, 24849.13
648.4757, 24868.73
648.9578, 24874.08
649.4399, 24863.13
649.9221, 24848.20
650.4042, 24829.48
650.8863, 24812.14
651.3684, 24818.44
651.8505, 24848.71
652.3326, 24877.49
652.8148, 24879.64
653.2969, 24871.46
653.7790, 24872.67
654.2611, 24892.14
654.7432, 24907.17
655.2253, 24907.41
655.7075, 24899.22
656.1896, 24889.89
656.6717, 24874.31
657.1538, 24866.05
657.6359, 24869.83
658.1180, 24879.52
658.6002, 24875.93
659.0823, 24851.59
659.5644, 24848.23
660.0465, 24897.63
660.5286, 24973.23
661.0107, 24977.97
661.4929, 24916.51
661.9750, 24842.85
662.4571, 24771.89
662.9392, 24721.14
663.4213, 24722.91
663.9034, 24782.09
664.3856, 24840.63
664.8677, 24879.95
665.3498, 24899.03
665.8319, 24893.35
666.3140, 24829.78
666.7961, 24799.82
667.2783, 24828.29
667.7604, 24876.96
668.2425, 24896.31
668.7246, 24871.88
669.2067, 24864.43
669.6888, 24889.93
670.1710, 24929.05
670.6531, 24937.78
671.1352, 24918.62
671.6173, 24897.48
672.0994, 24887.34
672.5815, 24883.33
673.0637, 24888.01
673.5458, 24897.88
674.0279, 24889.90
674.5100, 24834.83
674.9921, 24773.45
675.4742, 24725.28
675.9564, 24690.78
676.4385, 24691.09
676.9206, 24762.09
677.4027, 24841.09
677.8848, 24891.73
678.3669, 24906.38
678.8491, 24911.72
679.3312, 24903.54
679.8133, 24892.06
680.2954, 24885.79
680.7775, 24885.25
681.2596, 24900.23
681.7418, 24933.23
682.2239, 24979.71
682.7060, 25053.52
683.1881, 25136.39
683.6702, 25183.68
684.1523, 25145.55
684.6345, 25098.93
685.1166, 25081.59
685.5987, 25089.30
686.0808, 25096.63
686.5629, 25085.39
687.0450, 25090.71
687.5272, 25133.17
688.0093, 25212.00
688.4914, 25255.98
688.9735, 25257.73
689.4556, 25250.25
689.9377, 25257.20
690.4199, 25274.75
690.9020, 25280.56
691.3841, 25271.62
691.8662, 25267.57
692.3483, 25295.53
692.8304, 25335.66
693.3126, 25357.53
693.7947, 25344.29
694.2768, 25336.70
694.7589, 25370.21
695.2410, 25413.99
695.7231, 25426.39
696.2053, 25366.08
696.6874, 25324.90
697.1695, 25316.68
697.6516, 25330.56
698.1337, 25344.61
698.6158, 25361.21
699.0980, 25365.93
699.5801, 25345.02
700.0622, 25316.22
700.5443, 25328.74
701.0264, 25376.75
701.5085, 25422.74
701.9907, 25452.23
702.4728, 25463.54
702.9549, 25440.14
703.4370, 25384.61
703.9191, 25356.02
704.4012, 25406.57
704.8834, 25466.73
705.3655, 25490.74
705.8476, 25461.66
706.3297, 25457.54
706.8118, 25487.72
707.2939, 25528.84
707.7761, 25565.84
708.2582, 25599.24
708.7403, 25611.13
709.2224, 25594.58
709.7045, 25578.34
710.1866, 25609.67
710.6688, 25667.86
711.1509, 25704.41
711.6330, 25700.41
712.1151, 25680.56
712.5972, 25634.98
713.0793, 25589.34
713.5615, 25589.31
714.0436, 25700.40
714.5257, 25795.96
715.0078, 25845.95
715.4899, 25860.94
715.9720, 25873.40
716.4542, 25878.71
716.9363, 25896.44
717.4184, 25942.82
717.9005, 26005.34
718.3826, 26023.27
718.8647, 26000.32
719.3469, 25991.35
719.8290, 26059.21
720.3111, 26145.54
720.7932, 26173.38
721.2753, 26139.66
721.7574, 26118.12
722.2396, 26160.12
722.7217, 26213.63
