##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
353.0795, 166.2053
353.5616, 168.8979
354.0437, 171.9570
354.5258, 175.3875
355.0079, 179.3160
355.4901, 183.6797
355.9722, 188.2624
356.4543, 193.2192
356.9364, 198.1834
357.4185, 202.8489
357.9006, 207.1462
358.3828, 211.1573
358.8649, 215.1704
359.3470, 218.9557
359.8291, 222.0873
360.3112, 224.0683
360.7933, 225.5690
361.2755, 226.8138
361.7576, 227.7298
362.2397, 229.0949
362.7218, 231.4798
363.2039, 234.3686
363.6860, 237.1861
364.1682, 238.6861
364.6503, 241.1862
365.1324, 245.2538
365.6145, 250.9142
366.0966, 257.9899
366.5787, 266.3106
367.0609, 276.1239
367.5430, 287.5882
368.0251, 302.3295
368.5072, 316.9240
368.9893, 330.5264
369.4714, 343.6418
369.9536, 357.6324
370.4357, 373.6883
370.9178, 389.4364
371.3999, 403.9416
371.8820, 417.5915
372.3641, 429.4608
372.8463, 440.5220
373.3284, 449.0453
373.8105, 452.5117
374.2926, 450.7964
374.7747, 444.2106
375.2568, 432.5062
375.7390, 415.5833
376.2211, 395.0475
376.7032, 369.5131
377.1853, 342.7888
377.6674, 317.4974
378.1495, 293.4879
378.6317, 271.5016
379.1138, 251.3820
379.5959, 233.3880
380.0780, 217.7637
380.5601, 204.6282
381.0422, 193.4685
381.5244, 184.4834
382.0065, 177.3167
382.4886, 170.4556
382.9707, 163.6301
383.4528, 157.2274
383.9349, 151.6888
384.4171, 146.9659
384.8992, 142.8133
385.3813, 139.1655
385.8634, 135.9242
386.3455, 132.8321
386.8276, 129.8927
387.3098, 127.2095
387.7919, 124.8832
388.2740, 122.8415
388.7561, 120.9681
389.2382, 119.1711
389.7203, 117.5484
390.2025, 116.3234
390.6846, 115.4181
391.1667, 114.4340
391.6488, 113.1132
392.1309, 111.6476
392.6130, 110.1659
393.0952, 108.6472
393.5773, 107.2650
394.0594, 106.1001
394.5415, 105.1358
395.0236, 104.3408
395.5057, 103.7469
395.9879, 103.2863
396.4700, 102.9971
396.9521, 102.9308
397.4342, 102.7115
397.9163, 102.1449
398.3984, 101.4661
398.8806, 100.8898
399.3627, 100.6169
399.8448, 100.2289
400.3269, 99.54737
400.8090, 98.64436
401.2911, 98.10143
401.7733, 98.14069
402.2554, 98.27014
402.7375, 98.24324
403.2196, 98.02492
403.7017, 97.71339
404.1838, 97.22036
404.6660, 96.70683
405.1481, 96.57520
405.6302, 96.98685
406.1123, 97.17311
406.5944, 96.71981
407.0765, 95.67406
407.5587, 95.14268
408.0408, 95.19314
408.5229, 95.48110
409.0050, 95.77478
409.4871, 96.05264
409.9692, 96.00448
410.4514, 95.43208
410.9335, 94.64011
411.4156, 94.31260
411.8977, 94.41459
412.3798, 94.50938
412.8619, 94.22462
413.3441, 93.74490
413.8262, 93.42019
414.3083, 93.29531
414.7904, 93.29726
415.2725, 93.49798
415.7546, 93.76848
416.2368, 93.84499
416.7189, 93.36958
417.2010, 92.82376
417.6831, 92.62577
418.1652, 92.76431
418.6473, 92.90004
419.1295, 92.93517
419.6116, 92.84045
420.0937, 92.57342
420.5758, 91.94363
421.0579, 91.39915
421.5400, 91.08102
422.0222, 90.95063
422.5043, 90.90324
422.9864, 90.92099
423.4685, 91.01592
423.9506, 91.22875
424.4327, 91.63450
424.9149, 91.90751
425.3970, 92.01006
425.8791, 91.99223
426.3612, 91.88566
426.8433, 91.53708
427.3254, 91.36055
427.8076, 91.55405
428.2897, 92.01686
428.7718, 91.95185
429.2539, 91.09177
429.7360, 90.24496
430.2181, 89.95632
430.7003, 90.32643
431.1824, 90.57080
431.6645, 90.62212
432.1466, 90.59614
