##NAMES=Amphibole
##RRUFFID=R110203
##LOCALITY=Bear Lake diggings, Tory Hill, Monmounth Township, Haliburton Co., Ontario, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black hexagonal prism, note that amphiboles from here are characterized by Hawthorne et al (2006)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110203
423.7819, 92.10282
424.2640, 92.04412
424.7462, 92.37332
425.2283, 93.12593
425.7104, 93.76016
426.1925, 94.36710
426.6746, 94.73215
427.1567, 94.57870
427.6389, 94.19461
428.1210, 94.03500
428.6031, 94.33822
429.0852, 94.88680
429.5673, 95.27795
430.0494, 95.52734
430.5316, 95.56969
431.0137, 95.20403
431.4958, 94.74331
431.9779, 94.33023
432.4600, 93.99277
432.9421, 93.78273
433.4243, 93.75254
433.9064, 93.88582
434.3885, 94.18630
434.8706, 94.83141
435.3527, 95.22916
435.8348, 94.71435
436.3170, 93.74301
436.7991, 93.07494
437.2812, 93.01112
437.7633, 93.14542
438.2454, 93.12296
438.7275, 92.96346
439.2097, 92.81033
439.6918, 92.72607
440.1739, 92.64931
440.6560, 92.48547
441.1381, 92.23453
441.6202, 91.95559
442.1024, 91.70023
442.5845, 91.40668
443.0666, 90.94622
443.5487, 90.32532
444.0308, 89.78451
444.5129, 89.53383
444.9951, 89.53391
445.4772, 89.38370
445.9593, 88.98527
446.4414, 88.57655
446.9235, 88.15569
447.4056, 87.79103
447.8878, 87.61876
448.3699, 87.68076
448.8520, 87.82988
449.3341, 87.85703
449.8162, 87.79459
450.2983, 87.48669
450.7805, 86.84161
451.2626, 86.07797
451.7447, 85.21570
452.2268, 84.32596
452.7089, 83.54190
453.1910, 82.96667
453.6732, 82.54663
454.1553, 82.06059
454.6374, 81.46328
455.1195, 80.87361
455.6016, 80.26157
456.0837, 79.69559
456.5659, 79.23339
457.0480, 78.88280
457.5301, 78.62856
458.0122, 78.61827
458.4943, 78.83643
458.9764, 78.42760
459.4586, 77.02959
459.9407, 75.48853
460.4228, 74.12859
460.9049, 72.96630
461.3870, 72.02131
461.8691, 71.25286
462.3513, 70.78334
462.8334, 70.98717
463.3155, 71.82635
463.7976, 72.25916
464.2797, 71.75661
464.7618, 70.95444
465.2440, 70.65782
465.7261, 70.86347
466.2082, 71.15691
466.6903, 71.59933
467.1724, 71.94905
467.6545, 71.77316
468.1367, 71.07944
468.6188, 70.49734
469.1009, 70.50576
469.5830, 70.95468
470.0651, 71.07698
470.5472, 70.50172
471.0294, 70.11398
471.5115, 70.20975
471.9936, 70.58530
472.4757, 71.06316
472.9578, 71.57417
473.4399, 71.97987
473.9221, 72.08616
474.4042, 71.81161
474.8863, 71.70995
475.3684, 72.00803
475.8505, 72.21719
476.3326, 72.04243
476.8148, 71.67779
477.2969, 71.44191
477.7790, 71.48813
478.2611, 71.76687
478.7432, 72.20493
479.2253, 72.86996
479.7075, 73.49813
480.1896, 74.15343
480.6717, 74.68492
481.1538, 75.02070
481.6359, 75.15247
482.1180, 75.07781
482.6002, 74.63096
483.0823, 74.02805
483.5644, 73.91795
484.0465, 74.40102
484.5286, 75.02212
485.0107, 75.73998
485.4929, 76.40599
485.9750, 76.80328
486.4571, 76.85416
486.9392, 76.91020
487.4213, 77.24809
487.9034, 77.73537
488.3856, 78.04995
488.8677, 78.12498
489.3498, 78.17607
489.8319, 78.40961
490.3140, 78.80489
490.7961, 79.06660
491.2783, 78.99667
491.7604, 79.00610
492.2425, 79.30344
492.7246, 79.80843
493.2067, 80.37985
493.6888, 80.96581
494.1710, 81.58312
494.6531, 82.26637
495.1352, 83.09889
495.6173, 83.71922
496.0994, 83.99606
496.5815, 84.22094
497.0637, 84.50032
497.5458, 84.83997
498.0279, 85.24931
498.5100, 85.74924
498.9921, 86.24142
499.4742, 86.43403
499.9564, 86.12157
500.4385, 86.03230
500.9206, 86.36153
501.4027, 86.86883
501.8848, 87.54142
502.3669, 88.30295
502.8491, 88.87763
503.3312, 88.93192
503.8133, 88.69626
504.2954, 88.79011
504.7775, 89.24232
505.2596, 89.90588
505.7418, 90.96973
506.2239, 92.05943
506.7060, 92.58876
507.1881, 92.38735
507.6702, 92.21732
508.1523, 92.49634
508.6345, 93.04160
509.1166, 93.60003
509.5987, 94.13618
510.0808, 94.54343
510.5629, 94.67103
511.0450, 94.56545
511.5272, 94.76981
512.0093, 95.64928
512.4914, 96.36272
512.9735, 96.43035
513.4556, 96.28829
513.9377, 96.63799
514.4199, 97.61752
514.9020, 98.61295
515.3841, 98.76951
515.8662, 97.88924
516.3483, 97.53503
516.8304, 98.05201
517.3126, 98.75188
517.7947, 99.60544
518.2768, 100.4766
518.7589, 101.1860
519.2410, 101.6589
519.7231, 102.0055
520.2053, 102.4172
520.6874, 102.9106
521.1695, 103.1884
521.6516, 103.0537
522.1337, 102.8941
522.6158, 102.9842
523.0980, 103.2602
523.5801, 103.5357
524.0622, 103.6536
524.5443, 103.8329
525.0264, 104.4137
525.5085, 105.3154
525.9907, 106.0209
526.4728, 106.3320
526.9549, 106.4230
527.4370, 106.5433
527.9191, 106.7123
528.4012, 106.7975
528.8834, 106.7624
529.3655, 106.6601
529.8476, 106.3511
530.3297, 105.9934
530.8118, 106.0980
531.2939, 106.9817
531.7761, 108.2194
532.2582, 108.7070
532.7403, 107.9718
533.2224, 107.3260
533.7045, 106.8539
534.1866, 106.4112
534.6688, 105.8831
535.1509, 105.3012
535.6330, 104.7667
536.1151, 104.3154
536.5972, 103.9959
537.0793, 104.0229
537.5615, 104.5374
538.0436, 104.8191
538.5257, 104.5654
539.0078, 104.0555
539.4899, 103.5151
539.9720, 102.9532
540.4542, 102.3327
540.9363, 101.4574
541.4184, 100.6042
541.9005, 100.3877
542.3826, 100.7709
