##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
452.9511, 11211.02
453.4332, 11201.47
453.9153, 11175.22
454.3974, 11175.87
454.8795, 11215.51
455.3617, 11268.35
455.8438, 11293.43
456.3259, 11293.87
456.8080, 11290.14
457.2901, 11291.47
457.7722, 11295.79
458.2544, 11299.44
458.7365, 11302.28
459.2186, 11306.58
459.7007, 11319.51
460.1828, 11333.68
460.6649, 11338.14
461.1471, 11317.81
461.6292, 11299.76
462.1113, 11307.21
462.5934, 11332.06
463.0755, 11343.42
463.5576, 11306.32
464.0398, 11269.62
464.5219, 11263.55
465.0040, 11306.56
465.4861, 11342.61
465.9682, 11357.32
466.4503, 11362.33
466.9325, 11374.26
467.4146, 11411.18
467.8967, 11431.49
468.3788, 11416.88
468.8609, 11369.61
469.3430, 11357.22
469.8252, 11397.00
470.3073, 11443.57
470.7894, 11460.41
471.2715, 11439.35
471.7536, 11439.00
472.2357, 11470.92
472.7179, 11516.83
473.2000, 11539.25
473.6821, 11537.91
474.1642, 11535.57
474.6463, 11543.58
475.1284, 11559.04
475.6106, 11573.28
476.0927, 11586.34
476.5748, 11597.81
477.0569, 11605.51
477.5390, 11611.67
478.0211, 11620.83
478.5033, 11635.81
478.9854, 11652.16
479.4675, 11666.57
479.9496, 11679.19
480.4317, 11690.32
480.9138, 11705.88
481.3960, 11715.70
481.8781, 11706.66
482.3602, 11668.33
482.8423, 11651.35
483.3244, 11689.99
483.8065, 11749.31
484.2887, 11791.01
484.7708, 11795.21
485.2529, 11797.13
485.7350, 11800.29
486.2171, 11804.93
486.6992, 11813.72
487.1814, 11830.16
487.6635, 11845.78
488.1456, 11854.08
488.6277, 11850.08
489.1098, 11859.73
489.5919, 11888.16
490.0741, 11923.10
490.5562, 11946.96
491.0383, 11959.52
491.5204, 11965.46
492.0026, 11960.45
492.4847, 11952.11
492.9668, 11969.05
493.4489, 12010.59
493.9310, 12048.57
494.4131, 12058.24
494.8953, 12048.83
495.3774, 12034.14
495.8595, 12011.68
496.3416, 11998.35
496.8237, 12011.22
497.3058, 12043.28
497.7880, 12080.94
