##NAMES=Diamond
##RRUFFID=X070001
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic, DeBeers Element6
##OWNER=
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=DeBeers Element6 type IIA, colorless cut stone
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070001
538.7676, 299.1054
539.2498, 303.4384
539.7319, 304.7202
540.2140, 299.0803
540.6961, 291.2627
541.1782, 292.6684
541.6603, 302.0199
542.1425, 310.0623
542.6246, 308.5564
543.1067, 303.1166
543.5888, 300.7486
544.0709, 303.0695
544.5530, 306.3010
545.0352, 308.6679
545.5173, 309.9695
545.9994, 311.0552
546.4815, 312.4391
546.9636, 313.7826
547.4457, 314.8591
547.9279, 314.7994
548.4100, 313.4764
548.8921, 309.8615
549.3742, 307.8161
549.8563, 306.7203
550.3384, 306.4171
550.8206, 307.3160
551.3027, 310.3931
551.7848, 313.8011
552.2669, 316.6275
552.7490, 319.1268
553.2311, 319.3557
553.7133, 315.1593
554.1954, 309.1029
554.6775, 307.8244
555.1596, 310.7742
555.6417, 312.4633
556.1238, 306.2113
556.6060, 298.2759
557.0881, 297.6998
557.5702, 305.1505
558.0523, 312.6836
558.5344, 315.6985
559.0165, 316.2412
559.4987, 315.8418
559.9808, 313.1586
560.4629, 311.6547
560.9450, 313.9561
561.4271, 318.5739
561.9092, 320.5154
562.3914, 315.9789
562.8735, 312.9723
563.3556, 314.7856
563.8377, 321.5092
564.3198, 323.5634
564.8019, 318.9543
565.2841, 314.0709
565.7662, 314.2958
566.2483, 319.7487
566.7304, 325.0852
567.2125, 330.2978
567.6946, 333.1823
568.1768, 328.2049
568.6589, 317.8471
569.1410, 311.6838
569.6231, 316.5036
570.1052, 324.8386
570.5873, 328.6847
571.0695, 328.4371
571.5516, 327.5184
572.0337, 327.8889
572.5158, 328.3263
572.9979, 327.6994
573.4800, 325.8297
573.9622, 323.8671
574.4443, 320.8167
574.9264, 317.7189
575.4085, 317.3474
575.8906, 321.9026
576.3727, 326.0562
576.8549, 329.2471
577.3370, 330.7638
577.8191, 329.2915
578.3012, 323.8388
578.7833, 319.2491
579.2654, 317.9289
579.7476, 319.4033
580.2297, 321.0483
580.7118, 323.1277
581.1939, 324.5668
581.6760, 322.1315
582.1581, 317.9891
582.6403, 318.0643
583.1224, 324.9491
583.6045, 332.2488
584.0866, 335.2144
584.5687, 335.1330
585.0508, 333.6324
585.5330, 329.3129
586.0151, 325.5485
586.4972, 324.4215
586.9793, 325.4942
587.4614, 325.1541
587.9435, 321.0754
588.4257, 317.1350
588.9078, 314.7692
589.3899, 313.7928
589.8720, 316.2545
590.3541, 323.7389
590.8362, 331.7970
591.3184, 335.4293
591.8005, 334.4667
592.2826, 333.5130
592.7647, 333.6823
593.2468, 334.2608
593.7289, 333.4980
594.2111, 331.7042
594.6932, 330.3746
595.1753, 330.2219
595.6574, 330.8721
596.1395, 332.2229
596.6216, 334.3429
597.1038, 336.5287
597.5859, 339.3619
598.0680, 341.5015
598.5501, 341.5735
599.0322, 337.8043
599.5143, 335.3658
599.9965, 336.2969
600.4786, 338.4460
600.9607, 339.2144
601.4428, 337.5964
601.9249, 336.7206
602.4070, 337.4946
602.8892, 338.9734
603.3713, 338.0765
603.8534, 334.4475
604.3355, 331.5968
604.8176, 331.2598
605.2997, 332.9690
605.7819, 335.6894
606.2640, 339.4293
606.7461, 342.2566
607.2282, 341.2337
607.7103, 338.8825
608.1924, 338.9677
608.6746, 343.4872
609.1567, 347.6494
609.6388, 348.3887
610.1209, 347.1273
610.6030, 346.0356
611.0851, 345.4263
611.5673, 345.2589
612.0494, 345.6685
612.5315, 346.5699
613.0136, 347.7292
613.4957, 349.6698
613.9778, 350.9272
614.4600, 350.3896
614.9421, 348.0039
615.4242, 347.3730
615.9063, 348.7602
616.3884, 350.6661
616.8705, 351.8999
617.3527, 352.4830
617.8348, 352.1026
618.3169, 350.2434
618.7990, 348.9485
619.2811, 352.2681
619.7632, 357.3676
620.2454, 359.0792
620.7275, 349.5150
621.2096, 341.7640
621.6917, 344.1566
622.1738, 354.1228
622.6559, 360.9614
623.1381, 361.3130
623.6202, 359.5298
624.1023, 356.7609
624.5844, 352.8891
625.0665, 348.5742
625.5486, 342.5522
626.0308, 338.4639
626.5129, 340.4736
626.9950, 348.5812
627.4771, 353.5677
627.9592, 354.2083
628.4413, 352.9186
628.9235, 351.4958
629.4056, 350.5946
629.8877, 352.4432
630.3698, 361.0339
630.8519, 368.8606
631.3340, 367.5414
631.8162, 359.9853
632.2983, 354.6993
632.7804, 359.1040
633.2625, 363.0894
633.7446, 359.9911
634.2267, 348.4743
634.7089, 344.5042
635.1910, 354.8504
635.6731, 365.7523
636.1552, 368.5342
636.6373, 360.4478
637.1194, 355.6381
637.6016, 354.6192
638.0837, 356.2079
638.5658, 360.5892
639.0479, 367.0383
639.5300, 369.7583
640.0121, 365.2524
640.4943, 359.3187
640.9764, 360.9961
641.4585, 367.7602
641.9406, 372.7981
642.4227, 372.1219
642.9048, 369.0876
643.3870, 364.4759
643.8691, 358.8867
644.3512, 355.2896
644.8333, 355.1602
645.3154, 356.2186
645.7975, 357.9832
646.2797, 361.3927
646.7618, 364.5525
647.2439, 367.5514
647.7260, 370.1572
648.2081, 372.4294
648.6902, 374.3195
649.1724, 373.3003
649.6545, 368.3134
650.1366, 363.3810
650.6187, 365.7305
651.1008, 372.8566
651.5829, 377.4748
652.0651, 373.7133
652.5472, 368.9263
653.0293, 370.3421
653.5114, 375.8504
653.9935, 379.0517
654.4756, 373.6559
654.9578, 369.2175
655.4399, 371.1671
655.9220, 380.2065
656.4041, 383.4593
656.8862, 377.1532
657.3683, 370.5468
657.8505, 369.3196
658.3326, 373.7654
658.8147, 375.0085
659.2968, 372.3038
659.7789, 368.9437
660.2610, 367.9560
660.7432, 368.9391
661.2253, 370.9588
661.7074, 374.9153
662.1895, 377.9620
662.6716, 375.3495
663.1537, 369.7979
663.6359, 367.0222
664.1180, 371.7586
664.6001, 376.8826
665.0822, 380.2184
665.5643, 381.8661
666.0464, 381.2369
666.5286, 374.8730
667.0107, 370.7538
667.4928, 373.1834
667.9749, 382.8364
668.4570, 385.3793
668.9391, 379.2734
669.4213, 372.6526
669.9034, 372.8187
670.3855, 378.0183
670.8676, 381.1717
671.3497, 381.5064
671.8318, 381.2658
672.3140, 382.4825
672.7961, 384.2997
673.2782, 385.6085
673.7603, 386.7016
674.2424, 387.5619
674.7245, 388.0723
675.2067, 388.0370
675.6888, 388.0720
676.1709, 389.0885
676.6530, 389.5241
677.1351, 388.7744
677.6172, 387.0681
678.0994, 385.5284
678.5815, 384.0957
679.0636, 383.4836
679.5457, 384.0963
680.0278, 385.1973
680.5099, 385.1544
680.9921, 384.0810
681.4742, 383.4447
681.9563, 384.6391
682.4384, 386.5216
682.9205, 387.5391
683.4026, 387.7604
683.8848, 388.4113
684.3669, 391.3780
684.8490, 394.4072
685.3311, 395.4230
685.8132, 388.2762
686.2953, 385.4948
686.7775, 389.8771
687.2596, 397.0197
687.7417, 398.9303
688.2238, 394.9124
688.7059, 392.2960
689.1880, 392.9347
689.6702, 394.7126
690.1523, 393.8567
690.6344, 391.0674
691.1165, 389.4609
691.5986, 392.0462
692.0807, 395.2210
692.5629, 394.6559
693.0450, 390.9357
693.5271, 388.6383
694.0092, 390.9417
694.4913, 394.1898
694.9734, 396.7534
695.4556, 397.9983
695.9377, 398.4124
696.4198, 397.0392
696.9019, 396.3405
697.3840, 398.2370
697.8661, 402.7903
698.3483, 405.0501
698.8304, 404.5967
699.3125, 403.1538
699.7946, 401.9164
700.2767, 401.0514
700.7589, 401.1487
701.2410, 401.9164
701.7231, 402.0176
702.2052, 399.5000
702.6873, 396.6982
703.1694, 396.0282
703.6516, 397.7333
704.1337, 399.8021
704.6158, 401.7944
705.0979, 404.5309
705.5800, 407.3733
706.0621, 410.7775
706.5443, 412.8158
707.0264, 412.4679
707.5085, 410.4616
707.9906, 410.1405
708.4727, 411.4055
708.9548, 412.8160
709.4370, 414.9599
709.9191, 416.5435
710.4012, 414.2325
710.8833, 408.0600
711.3654, 403.1487
711.8475, 402.9962
712.3297, 404.7133
712.8118, 406.5039
713.2939, 409.2250
713.7760, 410.5078
714.2581, 408.6551
714.7402, 406.5624
715.2224, 406.9875
715.7045, 411.0573
716.1866, 415.3637
716.6687, 419.7474
717.1508, 421.3520
717.6329, 417.2516
718.1151, 410.0140
718.5972, 407.1836
719.0793, 409.7539
719.5614, 413.8527
720.0435, 418.0203
720.5256, 421.8371
721.0078, 423.5884
721.4899, 421.3472
721.9720, 418.7664
722.4541, 416.4572
722.9362, 415.2044
723.4183, 415.0408
723.9005, 415.7810
724.3826, 417.3317
724.8647, 420.6297
725.3468, 424.9182
725.8289, 426.1886
726.3110, 424.3185
726.7932, 421.6453
727.2753, 421.3076
727.7574, 422.7692
728.2395, 424.0107
728.7216, 422.2884
729.2037, 419.6895
729.6859, 419.1575
730.1680, 420.9643
730.6501, 424.5080
731.1322, 427.7610
731.6143, 429.2881
732.0964, 428.6567
732.5786, 427.4841
733.0607, 424.8073
733.5428, 419.1543
