##NAMES=Fizelyite
##RRUFFID=R090068
##IDEAL CHEMISTRY=Ag^1+^_5_Pb^2+^_14_Sb^3+^_21_S^2-^_48_
##LOCALITY=Herja(Kisbanya), Romania
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Dark grey metallic striated prismatic crystals, associated with galena and sphalerite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090068
373.6342, 43.77625
374.1163, 44.08140
374.5984, 44.10120
375.0805, 43.94792
375.5627, 43.58400
376.0448, 42.97005
376.5269, 42.70164
377.0090, 43.01495
377.4911, 43.25806
377.9732, 42.44820
378.4554, 40.30551
378.9375, 39.01005
379.4196, 39.24323
379.9017, 40.55636
380.3838, 41.45972
380.8659, 41.96584
381.3481, 41.91341
381.8302, 40.57867
382.3123, 38.27772
382.7944, 37.57222
383.2765, 39.09072
383.7586, 41.35780
384.2408, 42.05556
384.7229, 41.40021
385.2050, 40.76028
385.6871, 41.00499
386.1692, 41.69270
386.6513, 41.98915
387.1335, 41.86205
387.6156, 41.55034
388.0977, 41.15754
388.5798, 40.74726
389.0619, 40.44374
389.5440, 40.43384
390.0262, 40.40414
390.5083, 39.82105
390.9904, 38.85835
391.4725, 38.35862
391.9546, 39.25495
392.4367, 40.58105
392.9189, 41.49788
393.4010, 41.71993
393.8831, 41.82635
394.3652, 42.28555
394.8473, 42.78634
395.3294, 42.81248
395.8116, 41.51408
396.2937, 40.29891
396.7758, 39.83171
397.2579, 40.22959
397.7400, 40.58295
398.2221, 40.48533
398.7043, 40.38658
399.1864, 40.65281
399.6685, 41.98019
400.1506, 42.90154
400.6327, 43.09204
401.1148, 42.70898
401.5970, 42.50903
402.0791, 42.74910
402.5612, 42.87644
403.0433, 42.57964
403.5254, 41.53974
404.0075, 41.01030
404.4897, 41.24742
404.9718, 41.77374
405.4539, 41.78784
405.9360, 41.05656
406.4181, 40.54874
406.9002, 40.55532
407.3824, 41.03595
407.8645, 41.70538
408.3466, 42.65084
408.8287, 43.45293
409.3108, 43.71576
409.7929, 43.45244
410.2751, 42.99711
410.7572, 42.35001
411.2393, 41.61215
411.7214, 40.94213
412.2035, 40.34115
412.6856, 39.85601
413.1678, 39.44754
413.6499, 39.18545
414.1320, 39.32731
414.6141, 39.92517
415.0962, 40.48158
415.5783, 40.43705
416.0605, 40.03155
416.5426, 39.71778
417.0247, 39.73036
417.5068, 39.83461
417.9889, 39.84702
418.4710, 39.77819
418.9532, 39.67530
419.4353, 39.27953
419.9174, 39.02785
420.3995, 39.44050
420.8816, 41.08565
421.3637, 42.14256
421.8459, 41.14889
422.3280, 39.28289
422.8101, 38.32514
423.2922, 39.79115
423.7743, 41.21936
424.2564, 41.82702
424.7386, 41.54125
425.2207, 41.07056
425.7028, 40.12638
426.1849, 39.24783
426.6670, 38.78230
427.1491, 38.83503
427.6313, 39.15612
428.1134, 39.94156
428.5955, 40.94787
429.0776, 41.52909
429.5597, 41.67143
430.0418, 41.41089
430.5240, 40.55640
431.0061, 39.00921
431.4882, 38.29535
431.9703, 38.58624
432.4524, 39.34769
432.9345, 40.26446
433.4167, 41.36238
433.8988, 41.50699
434.3809, 40.05116
434.8630, 37.80658
435.3451, 36.76324
435.8272, 36.89733
436.3094, 37.51070
436.7915, 38.46370
437.2736, 39.52751
437.7557, 40.08778
438.2378, 40.05420
438.7199, 39.77520
439.2020, 39.47499
439.6841, 39.19453
440.1663, 39.01769
440.6484, 39.33183
441.1305, 39.50521
441.6126, 38.59216
442.0947, 36.84273
442.5768, 35.81883
443.0590, 37.00814
443.5411, 38.85473
444.0232, 40.14259
444.5053, 40.45105
444.9874, 40.61144
445.4695, 40.98705
445.9517, 41.36314
446.4338, 41.39624
446.9159, 40.44210
447.3980, 39.71175
447.8801, 39.74170
448.3622, 40.61174
448.8444, 40.91733
449.3265, 39.98629
449.8086, 39.08073
450.2907, 39.13908
450.7728, 41.02360
451.2549, 41.87644
451.7371, 41.14085
452.2192, 39.54424
452.7013, 38.65942
453.1834, 38.58569
453.6655, 38.89537
454.1476, 39.55876
454.6298, 40.52256
455.1119, 41.29594
455.5940, 41.91193
456.0761, 42.12665
456.5582, 41.38095
457.0403, 39.89540
457.5225, 38.86442
458.0046, 38.56021
458.4867, 38.79432
458.9688, 39.66494
459.4509, 40.96880
459.9330, 41.83245
460.4152, 41.48956
460.8973, 40.58868
461.3794, 39.77942
461.8615, 39.08327
462.3436, 38.74361
462.8257, 39.09832
463.3079, 39.82193
463.7900, 40.57832
464.2721, 41.85620
464.7542, 42.44580
465.2363, 41.12065
465.7184, 38.65118
466.2006, 37.22491
466.6827, 38.07392
467.1648, 39.46259
467.6469, 40.94629
468.1290, 42.78065
468.6111, 43.52103
469.0933, 42.15881
469.5754, 40.36916
470.0575, 39.69852
470.5396, 41.01530
471.0217, 41.66160
471.5038, 41.06107
471.9860, 39.64782
472.4681, 38.94515
472.9502, 39.13440
473.4323, 39.42616
473.9144, 39.47591
474.3965, 39.28864
474.8787, 38.91663
475.3608, 38.30861
475.8429, 37.75948
476.3250, 37.75418
476.8071, 38.15883
477.2892, 38.24172
477.7714, 37.62251
478.2535, 36.87817
478.7356, 37.00225
479.2177, 37.80355
479.6998, 38.45123
480.1819, 38.06455
480.6641, 37.50849
481.1462, 37.87144
481.6283, 39.30500
482.1104, 40.52563
482.5925, 40.49211
483.0746, 39.99051
483.5568, 39.83163
484.0389, 40.71039
484.5210, 41.45747
485.0031, 41.65321
485.4852, 41.45404
485.9673, 41.35488
486.4495, 41.87471
486.9316, 42.07779
487.4137, 41.47423
487.8958, 39.75126
488.3779, 38.83171
488.8600, 39.20792
489.3422, 39.86470
489.8243, 39.77653
490.3064, 38.56081
490.7885, 38.01274
491.2706, 38.65361
491.7527, 39.85431
492.2349, 39.82732
492.7170, 38.44228
493.1991, 37.35133
493.6812, 37.65815
494.1633, 38.96701
494.6454, 39.71944
495.1276, 39.90258
495.6097, 39.67678
496.0918, 38.81952
496.5739, 37.69143
497.0560, 37.11891
497.5381, 37.41426
498.0203, 38.00478
498.5024, 38.64189
498.9845, 39.18440
499.4666, 39.33449
499.9487, 38.40173
500.4308, 37.48554
500.9130, 37.32622
501.3951, 37.94879
501.8772, 38.48005
502.3593, 38.54831
502.8414, 38.50315
503.3235, 38.57310
503.8057, 38.82744
504.2878, 39.14003
504.7699, 39.60221
505.2520, 40.08480
505.7341, 40.34556
506.2162, 40.21758
506.6984, 40.22088
507.1805, 40.64448
507.6626, 41.38149
508.1447, 41.23109
508.6268, 39.92196
509.1089, 38.73403
509.5911, 38.78307
510.0732, 39.93348
510.5553, 40.66513
511.0374, 40.84359
511.5195, 40.65044
512.0016, 40.07351
512.4838, 39.27241
512.9659, 38.81748
513.4480, 39.23697
513.9301, 39.77169
514.4122, 39.37655
514.8943, 38.26960
515.3765, 37.37257
515.8586, 37.04302
516.3407, 37.23436
516.8228, 38.22415
517.3049, 40.33478
517.7870, 41.59497
518.2692, 40.48167
518.7513, 38.58335
519.2334, 37.42731
519.7155, 37.91571
520.1976, 38.34663
520.6797, 38.49560
521.1619, 38.46731
521.6440, 38.60818
522.1261, 39.22300
522.6082, 39.44097
523.0903, 38.71019
523.5724, 36.99575
524.0546, 36.36345
524.5367, 37.03049
525.0188, 38.12002
525.5009, 38.99342
525.9830, 39.64784
526.4651, 40.04515
526.9473, 40.21871
527.4294, 40.03864
527.9115, 38.90589
528.3936, 37.17755
528.8757, 36.02159
529.3578, 36.41987
529.8400, 37.37547
530.3221, 37.80710
530.8042, 37.80817
531.2863, 38.02110
531.7684, 39.38423
532.2505, 40.71821
532.7327, 40.97215
533.2148, 39.58856
533.6969, 38.50084
534.1790, 38.49356
534.6611, 38.93780
535.1432, 39.12893
535.6254, 38.68905
536.1075, 38.41624
536.5896, 38.59458
537.0717, 38.99324
537.5538, 38.68892
538.0359, 37.24845
538.5181, 36.11659
539.0002, 36.02949
539.4823, 36.96111
539.9644, 37.54575
540.4465, 37.77606
540.9286, 37.69891
541.4108, 37.06540
541.8929, 36.08291
542.3750, 35.75144
542.8571, 36.35578
543.3392, 37.31361
543.8214, 38.08023
544.3035, 38.66128
544.7856, 39.10007
545.2677, 39.78994
545.7498, 40.04436
546.2319, 38.70234
546.7141, 36.16021
547.1962, 34.75766
547.6783, 36.97538
548.1604, 39.43200
548.6425, 40.06047
549.1246, 37.79236
549.6068, 36.25875
550.0889, 36.06917
550.5710, 36.55957
551.0531, 37.19992
551.5352, 38.21795
552.0173, 38.89191
552.4995, 39.08028
552.9816, 38.91093
553.4637, 38.63023
553.9458, 38.20744
554.4279, 37.89034
554.9100, 37.81757
555.3922, 37.93191
555.8743, 38.08256
556.3564, 38.26892
556.8385, 38.27015
557.3206, 37.66075
557.8027, 36.81313
558.2849, 36.35923
558.7670, 36.42043
559.2491, 36.74663
559.7312, 37.46326
560.2133, 38.23462
560.6954, 38.59863
561.1776, 37.92158
561.6597, 37.30639
562.1418, 37.17233
562.6239, 37.40810
563.1060, 37.60203
563.5881, 37.74296
564.0703, 37.79068
564.5524, 37.77615
565.0345, 37.72027
565.5166, 37.25340
565.9987, 36.03919
566.4808, 34.98615
566.9630, 34.86299
567.4451, 35.73832
567.9272, 36.70608
568.4093, 37.77433
568.8914, 38.71999
569.3735, 39.20842
569.8557, 39.29148
570.3378, 39.24318
570.8199, 39.20492
571.3020, 39.03113
571.7841, 38.33426
572.2662, 37.28482
572.7484, 36.51506
573.2305, 36.51481
573.7126, 36.79723
574.1947, 37.08224
574.6768, 37.34721
575.1589, 37.51710
575.6411, 37.61169
576.1232, 37.57027
576.6053, 37.32606
577.0874, 36.50233
577.5695, 36.10694
578.0516, 36.40589
578.5338, 36.96139
579.0159, 37.05737
579.4980, 36.45915
579.9801, 36.28316
580.4622, 36.97344
580.9443, 38.13128
581.4265, 38.46538
581.9086, 37.97771
582.3907, 37.27961
582.8728, 36.44451
583.3549, 35.70760
583.8370, 35.75398
584.3192, 36.57314
584.8013, 37.23855
585.2834, 36.61640
585.7655, 35.67614
586.2476, 35.69521
586.7297, 37.46841
587.2118, 38.65548
587.6939, 37.58000
588.1760, 35.59969
588.6581, 34.44444
589.1403, 35.13338
589.6224, 35.83166
590.1045, 36.39335
590.5866, 36.77139
591.0687, 36.73962
591.5508, 36.04796
592.0330, 35.51461
592.5151, 35.47845
592.9972, 35.90039
593.4793, 36.39457
593.9614, 36.98991
594.4435, 37.44114
594.9257, 37.55723
595.4078, 37.37236
595.8899, 36.85731
596.3720, 35.93653
596.8541, 35.21997
597.3362, 35.52754
597.8184, 36.35103
598.3005, 36.92046
598.7826, 36.83916
599.2647, 36.63596
599.7468, 36.50447
600.2289, 36.42896
600.7111, 36.37453
601.1932, 36.10768
601.6753, 36.10618
602.1574, 36.73496
602.6395, 37.90558
603.1216, 38.32687
603.6038, 37.57362
604.0859, 36.85211
604.5680, 36.98920
605.0501, 38.09002
605.5322, 38.12886
606.0143, 36.87115
606.4965, 35.60392
606.9786, 36.05377
607.4607, 37.63692
607.9428, 38.33933
608.4249, 37.55930
608.9070, 36.44600
609.3892, 36.16603
609.8713, 36.40031
610.3534, 36.54582
610.8355, 35.98169
611.3176, 35.63830
611.7997, 36.22884
612.2819, 37.45727
612.7640, 38.22502
613.2461, 37.83161
613.7282, 37.40599
614.2103, 37.39137
614.6924, 37.82449
615.1746, 37.88104
615.6567, 37.42279
616.1388, 36.84838
616.6209, 36.37494
617.1030, 36.00261
617.5851, 35.88221
618.0673, 36.07950
618.5494, 36.26994
619.0315, 35.77082
619.5136, 34.93423
619.9957, 34.90084
620.4778, 36.35358
620.9600, 37.87372
621.4421, 37.87798
621.9242, 36.97906
622.4063, 36.42785
622.8884, 37.19287
623.3705, 37.92525
623.8527, 37.91565
624.3348, 37.29549
624.8169, 37.08307
625.2990, 37.78132
625.7811, 38.48157
626.2632, 38.88397
626.7454, 38.98147
627.2275, 38.86131
627.7096, 38.40273
628.1917, 38.04123
628.6738, 38.32903
629.1559, 39.16799
629.6381, 39.34173
630.1202, 38.66625
630.6023, 37.72262
631.0844, 37.07563
631.5665, 36.65267
632.0486, 36.28884
632.5308, 35.87768
633.0129, 35.62251
633.4950, 35.68215
633.9771, 35.99812
634.4592, 36.45790
634.9413, 37.52081
635.4235, 38.20604
635.9056, 38.14080
636.3877, 37.39464
636.8698, 36.38048
637.3519, 34.39913
637.8340, 33.33815
638.3162, 34.41652
638.7983, 37.57450
639.2804, 38.93171
639.7625, 38.24282
640.2446, 37.20211
640.7267, 37.45239
641.2089, 38.49743
641.6910, 38.43428
642.1731, 36.93525
642.6552, 35.61243
643.1373, 36.52134
643.6194, 38.32308
644.1016, 39.16311
644.5837, 37.99298
645.0658, 36.71745
645.5479, 35.89336
646.0300, 35.53515
646.5121, 35.69509
646.9943, 37.36603
647.4764, 38.35147
647.9585, 38.19330
648.4406, 37.14577
648.9227, 35.91702
649.4048, 34.23289
649.8870, 33.40587
650.3691, 34.34402
650.8512, 36.51619
651.3333, 37.64801
651.8154, 37.74415
652.2975, 37.52632
652.7797, 37.37078
653.2618, 37.28282
653.7439, 37.31671
654.2260, 37.48263
654.7081, 37.55465
655.1902, 37.40783
655.6724, 37.10149
656.1545, 36.63604
656.6366, 35.73251
657.1187, 35.23996
657.6008, 35.57351
658.0829, 36.19971
658.5651, 36.59174
659.0472, 36.71331
659.5293, 36.67674
660.0114, 36.46257
660.4935, 36.13662
660.9756, 35.80943
661.4578, 35.48493
661.9399, 35.17423
662.4220, 34.78339
662.9041, 34.50772
663.3862, 34.84912
663.8683, 35.63225
664.3505, 36.17036
664.8326, 35.71307
665.3147, 35.17305
665.7968, 35.25846
