##NAMES=Niter
##RRUFFID=R090001
##IDEAL CHEMISTRY=KN^5+^O_3_
##LOCALITY=Searcy County, Arkansas, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Unconsolidated, granular fragments exhibiting a sandy color
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090001
501.1721, 1113.673
501.6542, 1110.755
502.1363, 1107.448
502.6184, 1105.409
503.1005, 1105.053
503.5826, 1105.576
504.0648, 1106.068
504.5469, 1106.523
505.0290, 1107.115
505.5111, 1108.531
505.9932, 1109.196
506.4753, 1108.222
506.9575, 1106.232
507.4396, 1104.088
507.9217, 1101.960
508.4038, 1100.259
508.8859, 1099.738
509.3680, 1100.322
509.8502, 1100.643
510.3323, 1100.280
510.8144, 1099.763
511.2965, 1099.876
511.7786, 1100.428
512.2607, 1100.221
512.7429, 1097.991
513.2250, 1095.651
513.7071, 1095.253
514.1892, 1096.321
514.6713, 1096.579
515.1534, 1094.861
515.6356, 1092.273
516.1177, 1091.048
516.5998, 1092.076
517.0819, 1092.497
517.5640, 1091.791
518.0461, 1090.835
518.5283, 1090.527
519.0104, 1090.566
519.4925, 1089.720
519.9746, 1087.039
520.4567, 1083.247
520.9388, 1081.130
521.4210, 1081.729
521.9031, 1082.082
522.3852, 1081.121
522.8673, 1080.349
523.3494, 1081.501
523.8315, 1084.202
524.3137, 1085.965
524.7958, 1084.294
525.2779, 1080.243
525.7600, 1077.606
526.2421, 1076.694
526.7242, 1076.005
527.2064, 1074.514
527.6885, 1073.126
528.1706, 1073.304
528.6527, 1075.549
529.1348, 1077.134
529.6169, 1075.899
530.0991, 1073.391
530.5812, 1072.250
531.0633, 1072.787
531.5454, 1073.639
532.0275, 1073.875
532.5096, 1073.567
532.9918, 1073.198
533.4739, 1073.240
533.9560, 1072.645
534.4381, 1070.830
534.9202, 1068.466
535.4023, 1065.914
535.8845, 1063.443
536.3666, 1061.809
536.8487, 1062.020
537.3308, 1064.065
537.8129, 1064.781
538.2951, 1063.108
538.7772, 1061.426
539.2593, 1060.014
539.7415, 1059.005
540.2236, 1058.761
