##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
386.5670, 2657.500
387.0491, 2740.543
387.5312, 2814.230
388.0133, 2884.668
388.4955, 2949.254
388.9776, 3015.633
389.4597, 3096.613
389.9418, 3188.852
390.4239, 3269.582
390.9060, 3316.609
391.3882, 3349.438
391.8703, 3387.176
392.3524, 3440.953
392.8345, 3485.504
393.3166, 3502.082
393.7987, 3501.602
394.2809, 3505.316
394.7630, 3532.570
395.2451, 3554.844
395.7272, 3560.770
396.2093, 3548.441
396.6914, 3523.367
397.1736, 3478.465
397.6557, 3424.508
398.1378, 3370.488
398.6199, 3320.750
399.1020, 3270.348
399.5841, 3216.176
400.0663, 3157.113
400.5484, 3100.934
401.0305, 3059.617
401.5126, 3013.992
401.9947, 2950.820
402.4768, 2859.969
402.9590, 2776.570
403.4411, 2701.371
403.9232, 2634.293
404.4053, 2576.367
404.8874, 2530.781
405.3695, 2486.789
405.8517, 2440.969
406.3338, 2394.098
406.8159, 2346.773
407.2980, 2296.516
407.7801, 2255.426
408.2622, 2240.430
408.7444, 2250.055
409.2265, 2253.297
409.7086, 2240.266
410.1907, 2221.609
410.6728, 2223.047
411.1549, 2242.301
411.6371, 2257.703
412.1192, 2250.164
412.6013, 2229.449
413.0834, 2217.383
413.5655, 2216.086
414.0476, 2218.258
414.5298, 2222.156
415.0119, 2223.723
415.4940, 2215.184
415.9761, 2182.934
416.4582, 2147.223
416.9403, 2126.418
417.4225, 2118.926
417.9046, 2114.453
418.3867, 2113.871
418.8688, 2110.578
419.3509, 2097.969
419.8330, 2070.965
420.3152, 2044.070
420.7973, 2025.379
421.2794, 2010.652
421.7615, 1991.895
422.2436, 1964.672
422.7257, 1936.172
423.2079, 1908.355
