##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
2.753680e+002, 5.729818e+002
2.758501e+002, 5.705809e+002
2.763322e+002, 5.682719e+002
2.768144e+002, 5.665921e+002
2.772965e+002, 5.653871e+002
2.777786e+002, 5.643147e+002
2.782607e+002, 5.632150e+002
2.787428e+002, 5.620689e+002
2.792249e+002, 5.607676e+002
2.797071e+002, 5.589247e+002
2.801892e+002, 5.573987e+002
2.806713e+002, 5.567107e+002
2.811534e+002, 5.564494e+002
2.816355e+002, 5.558196e+002
2.821176e+002, 5.544313e+002
2.825998e+002, 5.526458e+002
2.830819e+002, 5.514445e+002
2.835640e+002, 5.510853e+002
2.840461e+002, 5.507073e+002
2.845282e+002, 5.503320e+002
2.850103e+002, 5.497870e+002
2.854925e+002, 5.486395e+002
2.859746e+002, 5.466679e+002
2.864567e+002, 5.445519e+002
2.869388e+002, 5.435984e+002
2.874209e+002, 5.443136e+002
2.879030e+002, 5.443852e+002
2.883852e+002, 5.429201e+002
2.888673e+002, 5.408378e+002
2.893494e+002, 5.392159e+002
2.898315e+002, 5.382974e+002
2.903136e+002, 5.377989e+002
2.907957e+002, 5.374592e+002
2.912779e+002, 5.373134e+002
2.917600e+002, 5.370289e+002
2.922421e+002, 5.365317e+002
2.927242e+002, 5.359014e+002
2.932063e+002, 5.351251e+002
2.936884e+002, 5.342063e+002
2.941706e+002, 5.333986e+002
2.946527e+002, 5.329200e+002
2.951348e+002, 5.328007e+002
2.956169e+002, 5.329094e+002
2.960990e+002, 5.339404e+002
2.965811e+002, 5.346946e+002
2.970633e+002, 5.339294e+002
2.975454e+002, 5.317360e+002
2.980275e+002, 5.295236e+002
2.985096e+002, 5.281965e+002
2.989917e+002, 5.277452e+002
2.994738e+002, 5.275630e+002
2.999560e+002, 5.280231e+002
3.004381e+002, 5.284100e+002
3.009202e+002, 5.282131e+002
3.014023e+002, 5.275409e+002
3.018844e+002, 5.268925e+002
3.023665e+002, 5.265005e+002
3.028487e+002, 5.263328e+002
3.033308e+002, 5.262937e+002
3.038129e+002, 5.266520e+002
3.042950e+002, 5.267054e+002
3.047771e+002, 5.257815e+002
3.052592e+002, 5.242866e+002
3.057414e+002, 5.233218e+002
3.062235e+002, 5.233859e+002
3.067056e+002, 5.240181e+002
3.071877e+002, 5.244207e+002
3.076698e+002, 5.246884e+002
3.081519e+002, 5.245443e+002
3.086341e+002, 5.236966e+002
3.091162e+002, 5.224217e+002
3.095983e+002, 5.210426e+002
3.100804e+002, 5.195458e+002
3.105625e+002, 5.184005e+002
3.110446e+002, 5.186058e+002
3.115268e+002, 5.202318e+002
3.120089e+002, 5.211516e+002
3.124910e+002, 5.203018e+002
3.129731e+002, 5.188270e+002
3.134552e+002, 5.181301e+002
3.139373e+002, 5.184306e+002
3.144195e+002, 5.189930e+002
3.149016e+002, 5.192458e+002
3.153837e+002, 5.191724e+002
3.158658e+002, 5.188047e+002
3.163479e+002, 5.178465e+002
3.168300e+002, 5.168033e+002
3.173121e+002, 5.161218e+002
3.177943e+002, 5.157939e+002
3.182764e+002, 5.155142e+002
3.187585e+002, 5.150911e+002
3.192406e+002, 5.145497e+002
3.197227e+002, 5.140341e+002
3.202048e+002, 5.135742e+002
3.206870e+002, 5.131107e+002
3.211691e+002, 5.125435e+002
3.216512e+002, 5.119311e+002
3.221333e+002, 5.114801e+002
3.226154e+002, 5.113146e+002
3.230975e+002, 5.113466e+002
3.235797e+002, 5.113773e+002
3.240618e+002, 5.114937e+002
3.245439e+002, 5.114425e+002
3.250260e+002, 5.108116e+002
3.255081e+002, 5.099964e+002
3.259902e+002, 5.098507e+002
3.264724e+002, 5.107417e+002
3.269545e+002, 5.120095e+002
3.274366e+002, 5.126422e+002
3.279187e+002, 5.126080e+002
3.284008e+002, 5.123488e+002
3.288829e+002, 5.117215e+002
3.293651e+002, 5.110085e+002
3.298472e+002, 5.105766e+002
3.303293e+002, 5.104881e+002
3.308114e+002, 5.104762e+002
3.312935e+002, 5.102938e+002
3.317756e+002, 5.099209e+002
3.322578e+002, 5.094639e+002
3.327399e+002, 5.086005e+002
3.332220e+002, 5.078998e+002
3.337041e+002, 5.079284e+002
3.341862e+002, 5.086128e+002
3.346683e+002, 5.093186e+002
3.351505e+002, 5.096575e+002
3.356326e+002, 5.096237e+002
3.361147e+002, 5.093158e+002
3.365968e+002, 5.086290e+002
3.370789e+002, 5.078172e+002
3.375610e+002, 5.068209e+002
3.380432e+002, 5.057747e+002
3.385253e+002, 5.050250e+002
3.390074e+002, 5.047598e+002
3.394895e+002, 5.048241e+002
3.399716e+002, 5.048055e+002
3.404537e+002, 5.045639e+002
3.409359e+002, 5.045042e+002
3.414180e+002, 5.049717e+002
3.419001e+002, 5.055685e+002
3.423822e+002, 5.057038e+002
3.428643e+002, 5.052078e+002
3.433464e+002, 5.044980e+002
3.438286e+002, 5.041679e+002
3.443107e+002, 5.044320e+002
3.447928e+002, 5.044566e+002
3.452749e+002, 5.040463e+002
3.457570e+002, 5.035267e+002
3.462391e+002, 5.030898e+002
3.467213e+002, 5.027787e+002
3.472034e+002, 5.026279e+002
3.476855e+002, 5.027090e+002
3.481676e+002, 5.030420e+002
3.486497e+002, 5.031636e+002
3.491318e+002, 5.027946e+002
3.496140e+002, 5.025343e+002
3.500961e+002, 5.029308e+002
3.505782e+002, 5.036493e+002
3.510603e+002, 5.038279e+002
3.515424e+002, 5.028957e+002
3.520245e+002, 5.011926e+002
3.525067e+002, 5.001778e+002
3.529888e+002, 5.002921e+002
3.534709e+002, 5.005441e+002
3.539530e+002, 5.009087e+002
3.544351e+002, 5.013121e+002
3.549172e+002, 5.017093e+002
3.553994e+002, 5.020776e+002
3.558815e+002, 5.023532e+002
3.563636e+002, 5.024225e+002
3.568457e+002, 5.021593e+002
3.573278e+002, 5.019236e+002
3.578099e+002, 5.016344e+002
3.582920e+002, 5.014240e+002
3.587741e+002, 5.014938e+002
3.592563e+002, 5.017885e+002
3.597384e+002, 5.019726e+002
3.602205e+002, 5.016654e+002
3.607026e+002, 5.007708e+002
3.611847e+002, 5.003273e+002
3.616668e+002, 5.008905e+002
3.621490e+002, 5.012999e+002
3.626311e+002, 5.007462e+002
3.631132e+002, 4.997851e+002
3.635953e+002, 4.996244e+002
3.640774e+002, 5.010833e+002
3.645595e+002, 5.036356e+002
3.650417e+002, 5.050174e+002
3.655238e+002, 5.043248e+002
3.660059e+002, 5.036139e+002
3.664880e+002, 5.029148e+002
3.669701e+002, 5.024190e+002
3.674522e+002, 5.024059e+002
3.679344e+002, 5.029339e+002
3.684165e+002, 5.036481e+002
3.688986e+002, 5.040101e+002
3.693807e+002, 5.039459e+002
3.698628e+002, 5.037126e+002
3.703449e+002, 5.031095e+002
3.708271e+002, 5.025292e+002
3.713092e+002, 5.022124e+002
3.717913e+002, 5.021352e+002
3.722734e+002, 5.020887e+002
3.727555e+002, 5.018880e+002
3.732376e+002, 5.015405e+002
3.737198e+002, 5.012017e+002
3.742019e+002, 5.004991e+002
3.746840e+002, 5.003197e+002
3.751661e+002, 5.014752e+002
3.756482e+002, 5.031955e+002
3.761303e+002, 5.042560e+002
3.766125e+002, 5.039872e+002
3.770946e+002, 5.029199e+002
3.775767e+002, 5.021781e+002
3.780588e+002, 5.017770e+002
3.785409e+002, 5.016655e+002
3.790230e+002, 5.018841e+002
3.795052e+002, 5.023430e+002
3.799873e+002, 5.031825e+002
3.804694e+002, 5.044143e+002
3.809515e+002, 5.053921e+002
3.814336e+002, 5.052654e+002
3.819157e+002, 5.040597e+002
3.823979e+002, 5.031022e+002
3.828800e+002, 5.024010e+002
3.833621e+002, 5.022232e+002
3.838442e+002, 5.031588e+002
3.843263e+002, 5.048138e+002
3.848084e+002, 5.058022e+002
3.852906e+002, 5.047478e+002
3.857727e+002, 5.026115e+002
3.862548e+002, 5.016425e+002
3.867369e+002, 5.020804e+002
3.872190e+002, 5.028417e+002
3.877011e+002, 5.037609e+002
3.881833e+002, 5.044967e+002
3.886654e+002, 5.044013e+002
3.891475e+002, 5.029342e+002
3.896296e+002, 5.013819e+002
3.901117e+002, 5.010296e+002
3.905938e+002, 5.017217e+002
3.910760e+002, 5.022565e+002
3.915581e+002, 5.022716e+002
3.920402e+002, 5.019213e+002
3.925223e+002, 5.013578e+002
3.930044e+002, 5.005583e+002
3.934865e+002, 4.998868e+002
3.939687e+002, 4.996747e+002
3.944508e+002, 4.996214e+002
3.949329e+002, 4.991744e+002
3.954150e+002, 4.982152e+002
3.958971e+002, 4.972431e+002
3.963792e+002, 4.966529e+002
3.968614e+002, 4.964522e+002
3.973435e+002, 4.964518e+002
3.978256e+002, 4.967949e+002
3.983077e+002, 4.971984e+002
3.987898e+002, 4.974887e+002
3.992719e+002, 4.976803e+002
3.997540e+002, 4.979012e+002
4.002361e+002, 4.982809e+002
4.007183e+002, 4.986219e+002
4.012004e+002, 4.982439e+002
4.016825e+002, 4.963171e+002
4.021646e+002, 4.952213e+002
4.026467e+002, 4.960708e+002
4.031288e+002, 4.976448e+002
4.036110e+002, 4.986069e+002
4.040931e+002, 4.986388e+002
4.045752e+002, 4.981116e+002
4.050573e+002, 4.973835e+002
4.055394e+002, 4.963564e+002
4.060215e+002, 4.956931e+002
4.065037e+002, 4.957782e+002
4.069858e+002, 4.958190e+002
4.074679e+002, 4.952843e+002
4.079500e+002, 4.943731e+002
4.084321e+002, 4.936884e+002
4.089142e+002, 4.936393e+002
4.093964e+002, 4.940160e+002
4.098785e+002, 4.938315e+002
4.103606e+002, 4.920857e+002
4.108427e+002, 4.910841e+002
4.113248e+002, 4.915551e+002
4.118069e+002, 4.925393e+002
4.122891e+002, 4.931055e+002
4.127712e+002, 4.930206e+002
4.132533e+002, 4.927187e+002
4.137354e+002, 4.928823e+002
4.142175e+002, 4.938081e+002
4.146996e+002, 4.939955e+002
4.151818e+002, 4.927365e+002
4.156639e+002, 4.913775e+002
4.161460e+002, 4.901928e+002
4.166281e+002, 4.893214e+002
4.171102e+002, 4.890219e+002
4.175923e+002, 4.896082e+002
4.180745e+002, 4.907419e+002
4.185566e+002, 4.911741e+002
4.190387e+002, 4.904528e+002
4.195208e+002, 4.900372e+002
4.200029e+002, 4.908738e+002
4.204850e+002, 4.919358e+002
4.209672e+002, 4.921777e+002
4.214493e+002, 4.913333e+002
4.219314e+002, 4.902242e+002
4.224135e+002, 4.897134e+002
4.228956e+002, 4.897689e+002
4.233777e+002, 4.896872e+002
4.238599e+002, 4.892913e+002
4.243420e+002, 4.888398e+002
4.248241e+002, 4.885583e+002
4.253062e+002, 4.883990e+002
4.257883e+002, 4.881825e+002
4.262704e+002, 4.876633e+002
4.267526e+002, 4.871228e+002
4.272347e+002, 4.869497e+002
4.277168e+002, 4.871475e+002
4.281989e+002, 4.877256e+002
4.286810e+002, 4.889695e+002
4.291631e+002, 4.904601e+002
4.296453e+002, 4.913139e+002
4.301274e+002, 4.914183e+002
4.306095e+002, 4.911344e+002
4.310916e+002, 4.904277e+002
4.315737e+002, 4.894879e+002
4.320558e+002, 4.885796e+002
4.325380e+002, 4.877229e+002
4.330201e+002, 4.872652e+002
4.335022e+002, 4.878448e+002
4.339843e+002, 4.896788e+002
4.344664e+002, 4.905797e+002
4.349485e+002, 4.896533e+002
4.354307e+002, 4.884674e+002
4.359128e+002, 4.880889e+002
4.363949e+002, 4.883745e+002
4.368770e+002, 4.886400e+002
4.373591e+002, 4.884958e+002
4.378412e+002, 4.880188e+002
4.383234e+002, 4.875014e+002
4.388055e+002, 4.866526e+002
4.392876e+002, 4.861459e+002
4.397697e+002, 4.862455e+002
4.402518e+002, 4.865884e+002
4.407339e+002, 4.869409e+002
4.412160e+002, 4.872042e+002
4.416982e+002, 4.872435e+002
4.421803e+002, 4.868466e+002
4.426624e+002, 4.859147e+002
4.431445e+002, 4.852769e+002
4.436266e+002, 4.850938e+002
4.441087e+002, 4.850495e+002
4.445909e+002, 4.850521e+002
4.450730e+002, 4.851319e+002
4.455551e+002, 4.853969e+002
4.460372e+002, 4.859256e+002
4.465193e+002, 4.865421e+002
4.470014e+002, 4.868118e+002
4.474836e+002, 4.865750e+002
4.479657e+002, 4.864677e+002
4.484478e+002, 4.869872e+002
4.489299e+002, 4.873910e+002
4.494120e+002, 4.870817e+002
4.498941e+002, 4.860907e+002
4.503763e+002, 4.850469e+002
4.508584e+002, 4.843296e+002
4.513405e+002, 4.839364e+002
4.518226e+002, 4.839967e+002
4.523047e+002, 4.847574e+002
4.527868e+002, 4.853514e+002
4.532690e+002, 4.849155e+002
4.537511e+002, 4.840696e+002
4.542332e+002, 4.837647e+002
4.547153e+002, 4.844776e+002
4.551974e+002, 4.852233e+002
4.556795e+002, 4.852048e+002
4.561617e+002, 4.845240e+002
4.566438e+002, 4.834706e+002
4.571259e+002, 4.818600e+002
4.576080e+002, 4.804737e+002
4.580901e+002, 4.805993e+002
4.585722e+002, 4.822082e+002
4.590544e+002, 4.836138e+002
4.595365e+002, 4.847846e+002
4.600186e+002, 4.854409e+002
4.605007e+002, 4.850540e+002
4.609828e+002, 4.837997e+002
4.614649e+002, 4.826577e+002
