##NAMES=Monazite-(Ce)
##RRUFFID=R060925
##IDEAL CHEMISTRY=CePO_4_
##LOCALITY=Siglo Veinte mine, Llallagua, Bustillos Province, Potosi Department, Bolivia
##OWNER=RRUFF
##SOURCE=Alfredo Petrov
##DESCRIPTION=Pale peach semi-transparent crystals associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060925
##MEASURED CHEMISTRY=(Ce_0.52_La_0.21_Nd_0.19_Y_0.06_Ca_0.01_Th_0.01_)_Σ=1_P_1.00_O_4_ ; = light phase, and dark phase = (Ce_0.49_La_0.21_Nd_0.20_Y_0.07_Ca_0.02_Th_0.02_)_Σ=1_P_1.00_O_4_
398.7446, 3766.490
399.2267, 3788.933
399.7088, 3792.192
400.1909, 3756.953
400.6730, 3723.189
401.1552, 3710.785
401.6373, 3712.969
402.1194, 3715.235
402.6015, 3711.214
403.0836, 3703.507
403.5657, 3697.433
404.0479, 3691.882
404.5300, 3690.274
405.0121, 3696.175
405.4942, 3702.762
405.9763, 3707.905
406.4584, 3710.102
406.9406, 3705.841
407.4227, 3689.327
407.9048, 3663.328
408.3869, 3648.569
408.8690, 3646.754
409.3511, 3653.800
409.8333, 3677.319
410.3154, 3704.468
410.7975, 3718.432
411.2796, 3712.478
411.7617, 3701.077
412.2438, 3694.193
412.7260, 3692.645
413.2081, 3704.349
413.6902, 3736.674
414.1723, 3771.850
414.6544, 3786.274
415.1365, 3781.804
415.6187, 3781.268
416.1008, 3792.624
416.5829, 3806.830
417.0650, 3817.375
417.5471, 3824.004
418.0292, 3827.125
418.5114, 3826.054
418.9935, 3823.088
419.4756, 3826.884
419.9577, 3845.361
420.4398, 3860.767
420.9219, 3872.009
421.4041, 3879.867
421.8862, 3884.457
422.3683, 3886.168
422.8504, 3886.037
423.3325, 3883.396
423.8146, 3877.735
424.2968, 3882.787
424.7789, 3908.054
425.2610, 3932.221
425.7431, 3950.927
426.2252, 3962.937
426.7073, 3964.400
427.1895, 3950.353
427.6716, 3935.041
428.1537, 3940.249
428.6358, 3964.914
429.1179, 3981.475
429.6000, 3978.633
430.0822, 3970.922
430.5643, 3977.896
431.0464, 3999.212
431.5285, 4013.917
432.0106, 4010.024
432.4927, 4001.257
432.9749, 4000.336
433.4570, 4007.552
433.9391, 4019.156
434.4212, 4034.016
434.9033, 4050.261
435.3854, 4059.757
435.8676, 4050.950
436.3497, 4050.249
436.8318, 4069.191
437.3139, 4091.609
437.7960, 4099.976
438.2781, 4092.744
438.7603, 4084.896
439.2424, 4094.111
439.7245, 4120.923
440.2066, 4138.548
440.6887, 4140.190
441.1708, 4141.486
441.6530, 4152.185
442.1351, 4165.046
442.6172, 4167.565
443.0993, 4152.375
443.5814, 4135.425
444.0635, 4138.707
444.5457, 4158.931
445.0278, 4168.361
445.5099, 4158.293
445.9920, 4139.557
446.4741, 4120.780
446.9562, 4101.818
447.4384, 4092.430
447.9205, 4102.260
448.4026, 4115.637
448.8847, 4121.534
449.3668, 4120.529
449.8489, 4116.599
450.3311, 4111.652
450.8132, 4105.970
451.2953, 4100.333
451.7774, 4097.515
452.2595, 4090.414
452.7416, 4076.984
453.2238, 4061.200
453.7059, 4043.622
454.1880, 4025.768
454.6701, 4011.572
455.1522, 4005.784
455.6343, 4006.176
456.1165, 3999.912
456.5986, 3982.111
457.0807, 3968.908
457.5628, 3974.934
458.0449, 3985.036
458.5270, 3981.691
459.0092, 3959.764
459.4913, 3936.974
459.9734, 3924.649
460.4555, 3919.960
460.9376, 3918.530
461.4197, 3920.232
461.9019, 3918.160
462.3840, 3904.815
462.8661, 3880.633
463.3482, 3862.111
463.8303, 3853.510
464.3124, 3845.441
464.7946, 3832.646
465.2767, 3819.064
465.7588, 3812.182
466.2409, 3814.073
466.7230, 3817.549
467.2051, 3811.982
467.6873, 3795.669
468.1694, 3777.802
468.6515, 3756.278
469.1336, 3735.347
469.6157, 3716.411
470.0978, 3699.221
470.5800, 3683.550
471.0621, 3670.825
471.5442, 3656.409
472.0263, 3630.240
472.5084, 3593.230
472.9905, 3565.538
