##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
647.3369, 147.5665
647.8190, 148.0808
648.3011, 149.1306
648.7833, 150.3314
649.2654, 151.4110
649.7475, 152.3787
650.2296, 153.2745
650.7117, 154.1167
651.1938, 154.8390
651.6760, 155.1821
652.1581, 155.3129
652.6402, 155.7735
653.1223, 156.8303
653.6044, 157.9923
654.0865, 158.9184
654.5687, 159.6345
655.0508, 160.1990
655.5329, 160.6569
656.0150, 160.9508
656.4971, 160.9946
656.9792, 160.8335
657.4614, 160.6808
657.9435, 160.2465
658.4256, 160.2529
658.9077, 161.1363
659.3898, 162.8360
659.8719, 163.8091
660.3541, 163.9598
660.8362, 163.8310
661.3183, 163.7401
661.8004, 163.6792
662.2825, 163.6371
662.7646, 163.6187
663.2468, 163.5239
663.7289, 163.2094
664.2110, 162.7883
664.6931, 162.4136
665.1752, 162.1458
665.6573, 161.8570
666.1395, 161.4861
666.6216, 161.0648
667.1037, 160.6319
667.5858, 159.9933
668.0679, 159.6265
668.5500, 159.7748
669.0322, 160.1253
669.5143, 159.9638
669.9964, 159.2027
670.4785, 158.3280
670.9606, 157.3731
671.4427, 156.4805
671.9249, 156.2445
672.4070, 156.5682
672.8891, 156.6806
673.3712, 155.8237
673.8533, 154.6886
674.3354, 154.1642
674.8176, 154.2088
675.2997, 154.1662
675.7818, 153.5479
676.2639, 152.8637
676.7460, 152.4256
677.2281, 152.3249
677.7103, 152.3034
678.1924, 152.5356
678.6745, 152.6543
679.1566, 152.3397
679.6387, 151.4712
680.1208, 150.7466
680.6030, 150.2231
681.0851, 149.7677
681.5672, 149.1911
682.0493, 148.5217
682.5314, 147.8246
683.0135, 147.0445
683.4957, 146.4260
683.9778, 146.4199
684.4599, 146.7433
684.9420, 146.8646
685.4241, 146.4749
685.9063, 145.9663
686.3884, 145.5600
686.8705, 145.1619
687.3526, 144.4093
687.8347, 142.8329
688.3168, 141.5693
688.7990, 141.0704
689.2811, 141.1718
689.7632, 140.7219
690.2453, 139.6236
690.7274, 138.6599
691.2095, 138.4966
691.6917, 138.8107
692.1738, 138.5993
692.6559, 137.8699
693.1380, 137.0130
693.6201, 136.0337
694.1022, 135.2335
694.5844, 134.9972
695.0665, 135.4673
695.5486, 135.8571
696.0307, 135.7903
696.5128, 135.6026
696.9949, 135.6082
697.4771, 136.2977
697.9592, 136.0961
698.4413, 134.5858
698.9234, 132.7264
699.4055, 131.7425
699.8876, 131.6532
700.3698, 131.4483
700.8519, 130.8982
701.3340, 130.3415
701.8161, 130.3266
702.2982, 130.6870
702.7803, 131.0166
703.2625, 131.3147
703.7446, 131.3498
704.2267, 130.7046
704.7088, 129.6950
705.1909, 129.0198
705.6730, 129.1584
706.1552, 129.3305
706.6373, 129.3751
707.1194, 129.3012
707.6015, 129.1354
708.0836, 128.8331
708.5657, 128.5666
709.0479, 128.3866
709.5300, 128.2970
710.0121, 128.4049
710.4942, 128.6961
710.9763, 128.8499
711.4584, 128.5462
711.9406, 128.0378
712.4227, 127.6373
712.9048, 127.3592
713.3869, 127.0760
713.8690, 126.6911
714.3511, 126.3093
714.8333, 125.9822
715.3154, 125.6998
715.7975, 125.5823
716.2796, 125.8439
716.7617, 126.0140
717.2438, 125.6586
717.7260, 124.7233
718.2081, 123.8302
718.6902, 122.9585
719.1723, 122.3989
719.6544, 122.8161
720.1365, 123.8062
720.6187, 124.3021
721.1008, 123.9416
721.5829, 123.4419
722.0650, 123.2086
722.5471, 123.2074
723.0292, 123.3899
723.5114, 124.1133
723.9935, 124.5557
724.4756, 124.4036
724.9577, 123.9652
725.4398, 123.8174
725.9219, 124.1932
726.4041, 124.0521
726.8862, 122.8961
727.3683, 121.3801
727.8504, 121.4139
728.3325, 122.7453
728.8146, 123.6550
729.2968, 123.0055
729.7789, 121.8451
730.2610, 121.2888
730.7431, 121.2167
731.2252, 121.2307
731.7073, 121.2697
732.1895, 121.2524
732.6716, 121.1165
733.1537, 120.8706
733.6358, 120.6571
734.1179, 120.4344
734.6000, 120.3153
735.0822, 120.3560
735.5643, 120.5477
736.0464, 120.8501
736.5285, 121.2741
737.0106, 121.6078
737.4927, 121.6735
737.9749, 121.5597
738.4570, 121.4435
738.9391, 121.3298
739.4212, 121.0517
739.9033, 120.3534
740.3854, 119.5651
740.8676, 118.8741
741.3497, 118.2465
741.8318, 117.9569
742.3139, 118.0279
742.7960, 118.4020
743.2781, 119.2037
743.7603, 120.5913
744.2424, 121.2235
744.7245, 120.9832
745.2066, 120.3353
745.6887, 119.5477
746.1708, 118.7453
746.6530, 118.2995
747.1351, 118.3171
747.6172, 118.4630
748.0993, 118.6089
748.5814, 118.6966
749.0635, 118.6527
749.5457, 118.3326
750.0278, 118.0790
750.5099, 117.8352
750.9920, 117.7417
751.4741, 118.1015
751.9562, 119.1625
752.4384, 119.5116
752.9205, 118.7676
753.4026, 117.6391
753.8847, 117.2798
754.3668, 117.5271
754.8489, 117.7164
755.3311, 117.5860
755.8132, 117.4404
756.2953, 117.7169
756.7774, 118.1354
757.2595, 118.1990
757.7416, 117.0630
758.2238, 116.3739
758.7059, 116.9557
759.1880, 118.1216
759.6701, 118.3361
760.1522, 117.1878
760.6343, 116.4589
761.1165, 116.7161
761.5986, 117.5461
762.0807, 118.0887
762.5628, 118.3312
763.0449, 118.1847
763.5270, 117.2538
764.0092, 116.2335
764.4913, 115.7904
764.9734, 115.7975
765.4555, 115.8506
765.9376, 115.8988
766.4197, 115.8684
766.9019, 115.6340
767.3840, 115.2752
767.8661, 115.1737
768.3482, 115.3664
768.8303, 115.7250
769.3124, 116.3454
769.7946, 117.0400
770.2767, 117.0148
