##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
301.5401, 26085.80
302.0222, 26110.83
302.5043, 26122.29
302.9864, 26134.91
303.4685, 26168.89
303.9507, 26217.55
304.4328, 26260.62
304.9149, 26290.25
305.3970, 26307.34
305.8791, 26310.43
306.3612, 26297.82
306.8434, 26281.44
307.3255, 26266.38
307.8076, 26254.98
308.2897, 26251.74
308.7718, 26252.99
309.2539, 26266.47
309.7361, 26306.17
310.2182, 26374.71
310.7003, 26438.54
311.1824, 26466.10
311.6645, 26475.12
312.1466, 26491.90
312.6288, 26540.72
313.1109, 26590.44
313.5930, 26619.33
314.0751, 26626.73
314.5572, 26632.58
315.0393, 26648.74
315.5215, 26669.09
316.0036, 26686.69
316.4857, 26687.22
316.9678, 26696.10
317.4499, 26732.19
317.9320, 26793.94
318.4142, 26847.86
318.8963, 26882.38
319.3784, 26903.33
319.8605, 26915.65
320.3426, 26896.62
320.8247, 26892.52
321.3069, 26920.38
321.7890, 26976.35
322.2711, 27037.33
322.7532, 27119.70
323.2353, 27190.22
323.7174, 27228.38
324.1996, 27205.68
324.6817, 27178.44
325.1638, 27155.14
325.6459, 27133.41
326.1280, 27105.05
326.6101, 27040.04
327.0923, 26990.65
327.5744, 26983.98
328.0565, 27088.89
328.5386, 27138.16
329.0207, 27093.48
329.5028, 26994.49
329.9850, 26932.20
330.4671, 26917.72
330.9492, 26930.49
331.4313, 26970.89
331.9134, 27065.87
332.3955, 27120.15
332.8777, 27113.24
333.3598, 27075.14
333.8419, 27051.63
334.3240, 27038.26
334.8061, 27046.24
335.2882, 27086.41
335.7704, 27167.48
336.2525, 27218.01
336.7346, 27225.89
337.2167, 27215.83
337.6988, 27218.67
338.1809, 27237.24
338.6631, 27257.91
339.1452, 27277.36
339.6273, 27295.66
340.1094, 27313.75
340.5915, 27333.35
341.0736, 27349.65
341.5558, 27356.29
342.0379, 27352.75
342.5200, 27350.66
343.0021, 27354.75
343.4842, 27361.86
343.9663, 27357.15
344.4485, 27339.21
344.9306, 27322.61
345.4127, 27323.97
345.8948, 27340.88
346.3769, 27349.00
346.8590, 27343.27
347.3412, 27329.56
347.8233, 27305.52
348.3054, 27273.64
348.7875, 27273.73
349.2696, 27364.28
349.7517, 27507.13
350.2339, 27595.79
350.7160, 27606.96
351.1981, 27590.48
351.6802, 27597.53
352.1623, 27626.43
352.6444, 27672.72
353.1266, 27768.69
353.6087, 27866.22
354.0908, 27877.12
354.5729, 27785.14
355.0550, 27693.65
355.5371, 27701.56
356.0193, 27772.80
356.5014, 27840.42
356.9835, 27887.69
357.4656, 27911.82
357.9477, 27900.42
358.4298, 27855.14
358.9120, 27814.98
359.3941, 27813.15
359.8762, 27826.05
360.3583, 27828.39
360.8404, 27783.29
361.3225, 27752.65
361.8047, 27777.98
362.2868, 27848.48
362.7689, 27904.89
363.2510, 27905.57
363.7331, 27894.91
364.2152, 27904.79
364.6974, 27972.41
365.1795, 28014.85
365.6616, 27992.71
366.1437, 27929.91
366.6258, 27890.89
367.1079, 27902.58
367.5901, 27927.14
368.0722, 27951.56
368.5543, 27980.25
369.0364, 27999.64
369.5185, 28007.15
370.0006, 28007.09
370.4828, 28004.89
370.9649, 27992.87
371.4470, 27989.60
371.9291, 27999.70
372.4112, 28023.80
372.8933, 28057.75
373.3755, 28105.91
373.8576, 28157.29
374.3397, 28201.37
374.8218, 28237.73
375.3039, 28262.49
375.7861, 28271.54
376.2682, 28266.04
376.7503, 28257.20
377.2324, 28240.01
377.7145, 28231.21
378.1967, 28253.33
378.6788, 28311.41
379.1609, 28338.62
379.6430, 28319.27
380.1251, 28273.98
380.6072, 28251.62
381.0894, 28254.53
381.5715, 28259.34
382.0536, 28246.43
382.5357, 28222.53
383.0178, 28223.67
383.4999, 28256.46
383.9821, 28299.61
384.4642, 28320.66
384.9463, 28325.13
385.4284, 28338.35
385.9105, 28384.96
386.3926, 28442.30
386.8748, 28462.56
387.3569, 28443.84
387.8390, 28433.50
388.3211, 28487.47
388.8032, 28574.94
389.2853, 28641.75
389.7675, 28663.05
390.2496, 28664.90
390.7317, 28665.57
391.2138, 28664.96
391.6959, 28661.12
392.1780, 28647.23
392.6602, 28633.85
393.1423, 28632.31
393.6244, 28654.69
394.1065, 28671.61
394.5886, 28663.55
395.0707, 28641.73
395.5529, 28630.03
396.0350, 28632.47
396.5171, 28648.82
396.9992, 28684.69
397.4813, 28749.65
397.9634, 28796.53
398.4456, 28808.33
398.9277, 28801.95
399.4098, 28797.31
399.8919, 28789.65
400.3740, 28790.11
400.8561, 28805.44
401.3383, 28835.61
401.8204, 28854.36
402.3025, 28855.13
402.7846, 28852.05
403.2667, 28855.41
403.7488, 28869.20
404.2310, 28880.73
404.7131, 28886.45
405.1952, 28890.70
405.6773, 28908.86
406.1594, 28946.39
406.6415, 28981.52
407.1237, 28997.23
407.6058, 28990.86
408.0879, 29007.92
408.5700, 29053.73
409.0521, 29111.72
409.5342, 29165.65
410.0164, 29214.18
410.4985, 29235.43
410.9806, 29205.39
411.4627, 29144.07
411.9448, 29110.35
412.4269, 29104.09
412.9091, 29115.82
413.3912, 29143.53
413.8733, 29182.41
414.3554, 29224.83
414.8375, 29281.02
415.3196, 29321.51
415.8018, 29294.27
416.2839, 29216.18
416.7660, 29152.10
417.2481, 29150.82
417.7302, 29178.39
418.2123, 29205.66
418.6945, 29228.97
419.1766, 29249.23
419.6587, 29266.09
420.1408, 29280.50
420.6229, 29293.54
421.1050, 29298.19
421.5872, 29308.78
422.0693, 29334.69
422.5514, 29376.83
423.0335, 29415.66
423.5156, 29446.88
423.9977, 29472.81
424.4799, 29495.66
424.9620, 29534.29
425.4441, 29545.19
425.9262, 29503.77
426.4083, 29427.70
426.8904, 29386.26
427.3726, 29396.60
427.8547, 29419.23
428.3368, 29437.57
428.8189, 29447.96
429.3010, 29469.05
429.7831, 29506.80
430.2653, 29549.85
430.7474, 29589.23
431.2295, 29632.77
431.7116, 29636.97
432.1937, 29563.29
432.6758, 29435.05
433.1580, 29417.51
433.6401, 29525.06
434.1222, 29655.56
434.6043, 29714.63
435.0864, 29713.83
435.5685, 29723.56
436.0507, 29756.49
436.5328, 29802.56
437.0149, 29852.44
437.4970, 29902.89
437.9791, 29942.13
438.4612, 29954.75
438.9434, 29954.12
439.4255, 29968.21
439.9076, 30003.97
440.3897, 30014.13
440.8718, 29928.37
441.3539, 29802.75
441.8361, 29716.46
442.3182, 29712.14
442.8003, 29745.29
443.2824, 29824.24
443.7645, 29937.07
444.2466, 29998.88
444.7288, 29926.44
445.2109, 29827.03
445.6930, 29768.75
446.1751, 29781.57
446.6572, 29800.23
447.1393, 29812.48
447.6215, 29824.55
448.1036, 29849.46
448.5857, 29898.45
449.0678, 29946.68
449.5499, 29990.15
450.0320, 30029.35
450.5142, 30055.96
450.9963, 30063.19
451.4784, 30067.46
451.9605, 30082.82
452.4426, 30110.35
452.9247, 30148.72
453.4069, 30202.79
453.8890, 30264.98
454.3711, 30313.63
454.8532, 30348.85
455.3353, 30368.10
455.8174, 30357.28
456.2996, 30323.72
456.7817, 30311.43
457.2638, 30322.86
457.7459, 30348.34
458.2281, 30388.07
458.7102, 30433.89
459.1923, 30463.23
459.6744, 30457.24
460.1565, 30437.62
460.6386, 30438.26
461.1208, 30454.85
461.6029, 30453.42
462.0850, 30391.17
462.5671, 30313.80
463.0492, 30267.42
463.5313, 30272.32
464.0135, 30285.99
464.4956, 30293.67
464.9777, 30297.49
465.4598, 30300.30
465.9419, 30290.77
466.4240, 30291.35
466.9062, 30313.93
467.3883, 30361.32
467.8704, 30398.89
468.3525, 30428.06
468.8346, 30441.59
469.3167, 30429.77
469.7989, 30353.09
470.2810, 30323.32
470.7631, 30369.17
471.2452, 30460.01
471.7273, 30509.12
472.2094, 30508.29
472.6916, 30491.67
473.1737, 30473.86
473.6558, 30455.82
474.1379, 30428.20
474.6200, 30388.78
475.1021, 30352.81
475.5843, 30340.18
476.0664, 30348.79
476.5485, 30359.30
477.0306, 30363.78
477.5127, 30371.13
477.9948, 30397.03
478.4770, 30439.28
478.9591, 30486.74
479.4412, 30531.53
479.9233, 30576.58
480.4054, 30627.54
480.8875, 30686.08
481.3697, 30737.02
481.8518, 30767.52
482.3339, 30784.33
482.8160, 30796.84
483.2981, 30798.80
483.7802, 30805.72
484.2624, 30830.34
484.7445, 30869.04
485.2266, 30893.23
485.7087, 30879.92
486.1908, 30864.43
486.6729, 30865.81
487.1551, 30894.54
487.6372, 30921.53
488.1193, 30958.00
488.6014, 30987.01
489.0835, 30976.36
489.5656, 30897.60
490.0478, 30854.76
490.5299, 30892.99
491.0120, 30996.02
491.4941, 31017.79
491.9762, 30941.79
492.4583, 30863.24
492.9405, 30866.15
493.4226, 30938.61
493.9047, 30987.13
494.3868, 30996.38
494.8689, 30993.65
495.3510, 31023.70
495.8332, 31075.07
496.3153, 31108.61
496.7974, 31079.76
497.2795, 31037.99
497.7616, 31053.66
498.2437, 31120.48
498.7259, 31162.07
499.2080, 31086.73
499.6901, 30988.01
500.1722, 30958.67
500.6543, 31063.52
501.1364, 31152.43
501.6186, 31170.84
502.1007, 31142.65
502.5828, 31111.96
503.0649, 31081.82
503.5470, 31055.87
504.0291, 31028.67
504.5113, 30998.66
504.9934, 31007.94
505.4755, 31080.41
505.9576, 31164.87
506.4397, 31230.02
506.9218, 31277.46
507.4040, 31293.73
507.8861, 31266.12
508.3682, 31219.81
508.8503, 31204.59
509.3324, 31221.11
509.8145, 31243.29
510.2967, 31256.53
510.7788, 31266.65
511.2609, 31296.60
511.7430, 31346.05
512.2252, 31398.06
512.7073, 31450.21
513.1894, 31492.52
513.6715, 31502.03
514.1536, 31460.75
514.6357, 31419.10
515.1179, 31416.46
515.6000, 31443.47
516.0821, 31480.86
516.5642, 31523.43
517.0463, 31572.98
517.5284, 31649.51
518.0106, 31753.10
518.4927, 31800.96
518.9748, 31729.99
519.4569, 31627.29
519.9390, 31547.31
520.4211, 31478.71
520.9033, 31453.49
521.3854, 31494.02
521.8675, 31566.92
522.3496, 31611.31
522.8317, 31621.47
523.3138, 31620.22
523.7960, 31608.24
524.2781, 31589.69
524.7602, 31600.32
525.2423, 31645.72
525.7244, 31683.37
526.2065, 31666.58
526.6887, 31611.19
527.1708, 31581.73
527.6529, 31589.26
528.1350, 31614.35
528.6171, 31633.85
529.0992, 31653.73
529.5814, 31687.77
530.0635, 31772.13
530.5456, 31848.51
531.0277, 31853.15
531.5098, 31798.02
531.9919, 31769.39
532.4741, 31822.27
532.9562, 31899.56
533.4383, 31969.85
533.9204, 32036.17
534.4025, 32074.64
534.8846, 32067.40
535.3668, 32035.83
535.8489, 32006.98
536.3310, 31986.84
536.8131, 31959.78
537.2952, 31916.63
537.7773, 31865.30
538.2595, 31845.10
538.7416, 31864.17
539.2237, 31890.39
539.7058, 31904.89
540.1879, 31909.50
540.6700, 31919.78
541.1522, 31935.53
541.6343, 31959.36
542.1164, 32003.41
542.5985, 32057.89
543.0806, 32092.86
543.5627, 32088.12
544.0449, 32075.34
544.5270, 32093.20
545.0091, 32130.69
545.4912, 32155.56
545.9733, 32123.50
546.4554, 32094.44
546.9376, 32122.24
547.4197, 32218.27
547.9018, 32274.63
548.3839, 32223.33
548.8660, 32143.77
549.3481, 32098.22
549.8303, 32133.16
550.3124, 32143.64
550.7945, 32113.96
551.2766, 32064.75
551.7587, 32037.13
552.2408, 32035.41
552.7230, 32045.01
553.2051, 32067.18
553.6872, 32098.06
554.1693, 32105.79
554.6514, 32087.83
555.1335, 32066.46
555.6157, 32066.71
556.0978, 32078.15
556.5799, 32060.24
557.0620, 31998.73
557.5441, 31945.59
558.0262, 31967.31
558.5084, 32035.36
558.9905, 32094.95
559.4726, 32128.34
559.9547, 32144.06
560.4368, 32139.10
560.9189, 32118.47
561.4011, 32103.28
561.8832, 32103.13
562.3653, 32108.44
562.8474, 32116.74
563.3295, 32131.63
563.8116, 32136.36
564.2938, 32113.57
564.7759, 32095.44
565.2580, 32113.80
565.7401, 32179.73
566.2222, 32250.54
566.7043, 32327.68
567.1865, 32400.64
567.6686, 32442.96
568.1507, 32454.13
568.6328, 32455.68
569.1149, 32453.73
569.5970, 32449.67
570.0792, 32444.09
570.5613, 32437.05
571.0434, 32439.69
571.5255, 32471.32
572.0076, 32512.77
572.4897, 32541.74
572.9719, 32554.03
573.4540, 32551.99
573.9361, 32519.41
574.4182, 32477.92
574.9003, 32457.65
575.3824, 32491.30
575.8646, 32519.67
576.3467, 32522.57
576.8288, 32506.04
577.3109, 32503.43
577.7930, 32523.37
578.2751, 32546.15
578.7573, 32572.01
579.2394, 32606.07
579.7215, 32584.62
580.2036, 32492.89
580.6857, 32389.46
581.1678, 32334.29
581.6500, 32323.01
582.1321, 32319.68
582.6142, 32317.89
583.0963, 32322.73
583.5784, 32348.91
584.0605, 32388.35
584.5427, 32418.56
585.0248, 32428.87
585.5069, 32425.38
585.9890, 32399.63
586.4711, 32357.33
586.9532, 32339.40
587.4354, 32389.73
587.9175, 32448.30
588.3996, 32478.22
588.8817, 32461.55
589.3638, 32451.92
589.8459, 32448.11
590.3281, 32453.36
590.8102, 32472.80
591.2923, 32511.98
591.7744, 32545.98
592.2565, 32570.31
592.7386, 32587.31
593.2208, 32600.24
