##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
416.0340, 28.37132
416.5161, 27.63464
416.9982, 27.25909
417.4803, 27.19348
417.9625, 27.56130
418.4446, 28.27244
418.9267, 28.67986
419.4088, 28.58942
419.8909, 28.46017
420.3730, 28.54789
420.8552, 28.81262
421.3373, 29.21111
421.8194, 29.88351
422.3015, 30.52294
422.7836, 30.70555
423.2657, 30.43592
423.7479, 30.11562
424.2300, 29.83121
424.7121, 29.64947
425.1942, 29.70130
425.6763, 30.05181
426.1584, 30.29742
426.6406, 30.10011
427.1227, 29.73267
427.6048, 29.62623
428.0869, 29.84905
428.5690, 30.39085
429.0511, 31.43819
429.5333, 32.95403
430.0154, 33.69512
430.4975, 32.86488
430.9796, 32.00556
431.4617, 32.15284
431.9438, 32.97334
432.4260, 33.52680
432.9081, 33.34769
433.3902, 32.73154
433.8723, 32.36876
434.3544, 32.38560
434.8365, 32.46581
435.3187, 32.72114
435.8008, 32.95530
436.2829, 32.96586
436.7650, 32.75734
437.2471, 32.48443
437.7292, 32.24381
438.2114, 32.02292
438.6935, 32.31865
439.1756, 33.84214
439.6577, 35.09794
440.1398, 35.70035
440.6219, 35.84689
441.1040, 35.74259
441.5862, 35.47680
442.0683, 35.19574
442.5504, 35.13046
443.0325, 35.22850
443.5146, 35.71096
443.9967, 37.16848
444.4789, 38.53571
444.9610, 39.29068
445.4431, 39.44044
445.9252, 39.20250
446.4073, 38.45009
446.8894, 37.46922
447.3716, 37.54132
447.8537, 39.20539
448.3358, 40.57349
448.8179, 40.51447
449.3000, 39.85498
449.7821, 39.35911
450.2643, 39.13149
450.7464, 39.32058
451.2285, 40.38384
451.7106, 42.08818
452.1927, 43.21736
452.6748, 43.46336
453.1570, 43.21454
453.6391, 42.57871
454.1212, 41.67523
454.6033, 41.14476
455.0854, 41.40711
455.5675, 41.90558
456.0497, 42.17888
456.5318, 42.23512
457.0139, 42.20278
457.4960, 42.11290
457.9781, 42.01722
458.4602, 42.04213
458.9424, 42.06183
459.4245, 42.41978
459.9066, 43.60712
460.3887, 44.92031
460.8708, 45.56045
461.3529, 45.45502
461.8351, 45.13736
462.3172, 45.07312
462.7993, 45.26307
463.2814, 45.71716
463.7635, 47.02081
464.2456, 47.90072
464.7278, 47.69770
465.2099, 46.99498
465.6920, 46.53149
466.1741, 46.60165
466.6562, 47.12786
467.1383, 48.08223
467.6205, 49.73709
468.1026, 50.99322
468.5847, 51.47760
469.0668, 51.85657
469.5489, 52.41102
470.0310, 53.10833
470.5132, 53.77024
470.9953, 54.24206
471.4774, 54.65020
471.9595, 55.40078
472.4416, 56.64681
472.9237, 57.65557
473.4059, 57.73061
473.8880, 57.71639
474.3701, 58.50222
474.8522, 60.20780
475.3343, 61.90296
475.8164, 62.91753
476.2986, 63.47467
476.7807, 64.10261
477.2628, 64.84354
477.7449, 65.73500
478.2270, 66.95515
478.7091, 68.36194
479.1913, 69.36789
479.6734, 69.67287
480.1555, 69.87101
480.6376, 70.25224
481.1197, 70.74857
481.6018, 71.19695
482.0839, 71.53816
482.5660, 71.89843
