##NAMES=Hilgardite
##RRUFFID=R070427
##IDEAL CHEMISTRY=Ca_2_B_5_O_9_Cl&#183;H_2_O
##LOCALITY=Boulby mine, Loftus, Cleveland, England, UK
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive etched pink crystallline associated with pale green boracite, polytype 3TC
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070427
478.7265, 2168.333
479.2086, 2200.619
479.6908, 2233.345
480.1729, 2271.035
480.6550, 2323.018
481.1371, 2376.188
481.6192, 2417.763
482.1013, 2447.920
482.5835, 2477.431
483.0656, 2517.428
483.5477, 2555.772
484.0298, 2582.424
484.5119, 2597.529
484.9940, 2597.497
485.4762, 2585.699
485.9583, 2558.539
486.4404, 2506.763
486.9225, 2404.579
487.4046, 2301.721
487.8867, 2209.925
488.3689, 2129.697
488.8510, 2055.675
489.3331, 1985.796
489.8152, 1923.847
490.2973, 1874.315
490.7794, 1839.346
491.2616, 1808.740
491.7437, 1780.521
492.2258, 1755.990
492.7079, 1740.954
493.1900, 1735.980
493.6721, 1731.670
494.1543, 1721.905
494.6364, 1708.416
495.1185, 1696.887
495.6006, 1687.781
496.0827, 1680.486
496.5648, 1672.634
497.0470, 1660.878
497.5291, 1668.398
498.0112, 1672.101
498.4933, 1672.193
498.9754, 1657.859
499.4576, 1662.153
499.9397, 1658.982
500.4218, 1655.505
500.9039, 1662.422
501.3860, 1650.186
501.8681, 1656.937
502.3503, 1656.109
502.8324, 1658.751
503.3145, 1653.880
503.7966, 1651.329
504.2787, 1656.293
504.7608, 1657.096
505.2430, 1651.361
505.7251, 1654.223
506.2072, 1641.724
506.6893, 1642.704
507.1714, 1649.500
507.6535, 1644.143
508.1357, 1647.141
508.6178, 1646.958
509.0999, 1632.310
509.5820, 1642.817
510.0641, 1639.626
510.5462, 1652.425
511.0284, 1663.827
511.5105, 1671.262
511.9926, 1675.202
512.4747, 1675.226
512.9568, 1671.815
513.4390, 1668.998
513.9211, 1668.658
514.4032, 1670.907
514.8853, 1676.603
515.3674, 1686.771
515.8495, 1696.578
516.3317, 1703.404
516.8138, 1707.982
517.2959, 1711.327
517.7780, 1714.749
518.2601, 1716.001
518.7422, 1711.785
519.2244, 1699.752
519.7065, 1719.781
520.1886, 1735.995
520.6707, 1748.598
521.1528, 1746.772
521.6349, 1763.578
522.1171, 1772.920
522.5992, 1781.951
523.0813, 1801.378
523.5634, 1801.652
524.0455, 1820.913
524.5276, 1832.595
525.0098, 1839.752
525.4919, 1843.732
525.9740, 1851.765
526.4561, 1863.994
526.9382, 1878.772
527.4203, 1897.571
527.9025, 1918.107
528.3846, 1935.130
528.8667, 1948.380
529.3488, 1957.315
529.8309, 1960.504
530.3130, 1959.105
530.7952, 1954.990
531.2773, 1949.855
531.7594, 1941.307
532.2415, 1927.137
532.7236, 1908.103
533.2057, 1888.080
533.6879, 1869.006
534.1700, 1848.419
534.6521, 1823.930
535.1342, 1791.714
535.6163, 1766.167
536.0984, 1748.012
536.5806, 1736.409
537.0627, 1731.830
537.5448, 1738.485
538.0269, 1741.790
538.5090, 1738.959
538.9911, 1731.503
539.4733, 1722.929
539.9554, 1712.429
540.4375, 1706.210
540.9196, 1710.046
541.4017, 1721.585
541.8839, 1730.303
542.3660, 1736.042
542.8481, 1738.639
543.3302, 1736.344
543.8123, 1731.069
544.2944, 1725.867
544.7766, 1718.426
545.2587, 1716.457
545.7408, 1731.308
546.2229, 1756.670
546.7050, 1777.282
547.1871, 1787.035
547.6693, 1790.483
548.1514, 1786.761
548.6335, 1774.704
549.1156, 1768.831
549.5977, 1772.102
550.0798, 1781.906
550.5620, 1797.286
551.0441, 1826.019
551.5262, 1844.192
552.0083, 1844.863
552.4904, 1838.828
552.9725, 1849.146
553.4547, 1879.298
553.9368, 1907.271
554.4189, 1922.329
554.9010, 1929.578
555.3831, 1950.402
555.8652, 1985.019
556.3474, 2022.156
556.8295, 2050.449
557.3116, 2075.437
557.7937, 2106.841
558.2758, 2145.415
558.7579, 2194.177
559.2401, 2257.456
559.7222, 2331.794
560.2043, 2411.526
560.6864, 2496.933
561.1685, 2585.329
561.6506, 2674.903
562.1328, 2765.531
562.6149, 2859.009
563.0970, 2947.016
563.5791, 3045.761
564.0612, 3163.556
564.5433, 3304.765
565.0255, 3448.688
565.5076, 3593.418
565.9897, 3741.246
566.4718, 3896.272
566.9539, 4057.363
567.4360, 4223.591
567.9182, 4390.430
568.4003, 4565.135
568.8824, 4764.650
569.3645, 4986.257
569.8466, 5219.453
570.3287, 5473.065
570.8109, 5725.792
571.2930, 5950.858
571.7751, 6147.574
572.2572, 6272.454
572.7393, 6313.721
573.2214, 6260.446
573.7036, 6092.912
574.1857, 5775.325
574.6678, 5419.237
575.1499, 5023.949
575.6320, 4629.137
576.1141, 4287.654
576.5963, 4028.380
577.0784, 3805.438
577.5605, 3614.778
578.0426, 3457.276
578.5247, 3324.602
579.0068, 3220.851
579.4890, 3135.813
579.9711, 3063.095
580.4532, 3002.738
580.9353, 2965.110
581.4174, 2953.794
581.8995, 2950.348
582.3817, 2937.479
582.8638, 2915.799
583.3459, 2887.629
583.8280, 2853.880
584.3101, 2813.335
584.7922, 2753.489
585.2744, 2685.480
585.7565, 2636.413
586.2386, 2676.194
586.7207, 2691.262
587.2028, 2584.292
587.6849, 2358.418
588.1671, 2182.095
588.6492, 2138.217
589.1313, 2131.009
589.6134, 2102.107
590.0955, 2027.032
590.5776, 1980.474
591.0598, 1970.791
591.5419, 1982.127
592.0240, 1995.859
592.5061, 2012.833
592.9882, 2027.795
593.4703, 2038.526
593.9525, 2047.228
594.4346, 2059.029
594.9167, 2073.792
595.3988, 2089.609
595.8809, 2106.966
596.3630, 2124.084
596.8452, 2139.421
597.3273, 2152.575
597.8094, 2160.058
598.2915, 2155.091
598.7736, 2145.478
599.2557, 2139.428
599.7379, 2142.958
600.2200, 2141.493
600.7021, 2129.260
601.1842, 2109.842
601.6663, 2088.718
602.1484, 2062.575
602.6306, 2040.042
603.1127, 2026.711
603.5948, 2018.707
604.0769, 1993.908
604.5590, 1947.126
605.0411, 1901.222
605.5233, 1868.739
606.0054, 1848.415
606.4875, 1834.784
606.9696, 1828.832
607.4517, 1820.813
607.9338, 1797.511
608.4160, 1765.829
608.8981, 1741.551
609.3802, 1729.777
609.8623, 1719.903
610.3444, 1701.794
610.8265, 1680.421
611.3087, 1663.738
611.7908, 1658.959
612.2729, 1654.987
612.7550, 1648.807
613.2371, 1640.426
613.7192, 1630.311
614.2014, 1616.234
614.6835, 1603.393
615.1656, 1594.526
615.6477, 1590.298
616.1298, 1582.967
616.6119, 1570.592
617.0941, 1560.291
617.5762, 1560.370
618.0583, 1569.528
618.5404, 1575.574
619.0225, 1574.819
619.5046, 1576.140
619.9868, 1596.297
620.4689, 1627.403
620.9510, 1650.944
621.4331, 1653.179
621.9152, 1650.300
622.3973, 1648.754
622.8795, 1649.944
623.3616, 1659.433
623.8437, 1686.942
624.3258, 1716.403
624.8079, 1741.261
625.2900, 1761.620
625.7722, 1774.887
626.2543, 1772.447
626.7364, 1773.626
627.2185, 1795.338
627.7006, 1841.465
628.1827, 1884.687
628.6649, 1924.331
629.1470, 1956.643
629.6291, 1970.714
630.1112, 1970.368
630.5933, 1975.560
631.0754, 1995.485
631.5576, 2020.873
632.0397, 2042.041
632.5218, 2059.300
633.0039, 2073.341
633.4860, 2086.524
633.9681, 2094.729
634.4503, 2094.046
634.9324, 2084.132
635.4145, 2073.726
635.8966, 2064.982
636.3787, 2055.911
636.8608, 2044.655
637.3430, 2027.892
637.8251, 2018.676
638.3072, 2019.228
638.7893, 2024.074
639.2714, 2027.823
639.7535, 2030.464
640.2357, 2027.329
640.7178, 2012.253
641.1999, 2000.728
641.6820, 2023.837
642.1641, 2073.362
642.6462, 2119.371
643.1284, 2141.835
643.6105, 2159.431
644.0926, 2189.996
644.5747, 2231.080
645.0568, 2267.058
645.5389, 2283.490
646.0211, 2299.993
646.5032, 2329.958
646.9853, 2381.805
647.4674, 2418.068
647.9495, 2435.367
648.4316, 2440.893
648.9138, 2438.387
649.3959, 2426.163
649.8780, 2415.805
650.3601, 2408.106
650.8422, 2403.174
651.3243, 2404.792
651.8065, 2410.625
652.2886, 2407.865
652.7707, 2386.352
653.2528, 2361.819
653.7349, 2356.937
654.2170, 2364.520
654.6992, 2363.618
655.1813, 2340.821
655.6634, 2309.957
656.1455, 2278.827
656.6276, 2247.790
657.1097, 2208.399
657.5919, 2144.360
658.0740, 2086.446
658.5561, 2051.898
659.0382, 2047.487
659.5203, 2035.268
660.0024, 2012.298
660.4846, 1988.294
660.9667, 1973.692
661.4488, 1967.665
661.9309, 1965.234
662.4130, 1967.366
662.8951, 1967.399
663.3773, 1955.738
663.8594, 1935.752
664.3415, 1914.628
664.8236, 1893.484
665.3057, 1873.783
665.7878, 1855.276
666.2700, 1838.672
666.7521, 1826.333
667.2342, 1825.454
667.7163, 1822.308
668.1984, 1810.788
668.6805, 1791.041
669.1627, 1777.522
669.6448, 1771.668
670.1269, 1768.779
670.6090, 1768.500
671.0911, 1770.265
671.5732, 1760.968
672.0554, 1739.059
672.5375, 1715.781
673.0196, 1704.458
673.5017, 1699.457
673.9838, 1688.971
674.4659, 1667.310
674.9481, 1648.039
675.4302, 1640.305
675.9123, 1640.283
676.3944, 1642.226
676.8765, 1649.736
677.3586, 1653.165
677.8408, 1646.775
678.3229, 1635.115
678.8051, 1631.512
679.2872, 1638.936
679.7693, 1646.885
680.2514, 1650.823
680.7335, 1652.395
681.2156, 1659.742
681.6978, 1672.961
682.1799, 1689.811
682.6620, 1710.864
683.1441, 1733.706
683.6262, 1755.540
684.1083, 1776.016
684.5905, 1793.119
685.0726, 1798.437
685.5547, 1803.737
686.0368, 1818.977
686.5189, 1847.050
687.0010, 1882.740
687.4832, 1936.402
687.9653, 1990.930
688.4474, 2025.876
688.9295, 2029.565
689.4116, 2048.685
689.8937, 2093.484
690.3759, 2150.100
690.8580, 2191.994
691.3401, 2220.232
691.8222, 2246.653
692.3043, 2272.819
692.7864, 2302.737
693.2686, 2349.626
693.7507, 2407.270
694.2328, 2451.995
694.7149, 2462.469
695.1970, 2465.907
695.6791, 2479.184
696.1613, 2502.925
696.6434, 2520.089
697.1255, 2530.302
697.6076, 2531.471
698.0897, 2521.142
698.5718, 2497.825
699.0540, 2474.459
699.5361, 2451.987
700.0182, 2426.603
700.5003, 2393.624
700.9824, 2354.332
701.4645, 2313.172
701.9467, 2269.911
702.4288, 2231.193
702.9109, 2211.316
703.3930, 2198.180
703.8751, 2173.055
704.3572, 2120.292
704.8394, 2069.574
705.3215, 2031.113
705.8036, 2002.357
706.2857, 1978.924
706.7678, 1967.295
707.2499, 1949.208
707.7321, 1918.971
708.2142, 1880.790
708.6963, 1849.250
709.1784, 1824.498
709.6605, 1803.270
