##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
494.2063, 203.1581
494.6884, 203.0047
495.1705, 202.7683
495.6526, 202.5201
496.1348, 202.3337
496.6169, 202.0077
497.0990, 201.3306
497.5811, 200.6380
498.0632, 200.2619
498.5453, 200.2257
499.0275, 200.2281
499.5096, 199.9090
499.9917, 199.3196
500.4738, 199.0385
500.9559, 199.1983
501.4380, 199.4082
501.9202, 199.5403
502.4023, 199.5770
502.8844, 199.4494
503.3665, 199.0782
503.8486, 198.7304
504.3307, 198.7059
504.8129, 198.8970
505.2950, 198.8968
505.7771, 198.5760
506.2592, 198.1994
506.7413, 198.0388
507.2234, 198.0850
507.7056, 198.1111
508.1877, 198.1306
508.6698, 198.0980
509.1519, 197.9614
509.6340, 197.7539
510.1161, 197.5425
510.5983, 197.3513
511.0804, 197.1880
511.5625, 197.0555
512.0446, 196.9120
512.5267, 196.9239
513.0089, 197.3286
513.4910, 197.6497
513.9731, 197.5753
514.4552, 197.2117
514.9373, 196.8267
515.4194, 196.5678
515.9016, 196.4319
516.3837, 196.4514
516.8658, 196.7343
517.3479, 196.8742
517.8300, 196.6722
518.3121, 196.4085
518.7943, 196.2578
519.2764, 196.2104
519.7585, 196.1403
520.2406, 195.9411
520.7227, 195.6752
521.2048, 195.5086
521.6870, 195.4654
522.1691, 195.3052
522.6512, 194.7376
523.1333, 194.1319
523.6154, 194.1439
524.0975, 194.9389
524.5797, 195.5775
525.0618, 195.6291
525.5439, 195.3732
526.0260, 195.1131
526.5081, 194.8918
526.9902, 194.7209
527.4724, 194.6165
527.9545, 194.5657
528.4366, 194.4928
528.9187, 194.3544
529.4008, 194.2503
529.8829, 194.2157
530.3651, 194.2071
530.8472, 194.1797
531.3293, 194.1284
531.8114, 194.0792
532.2935, 194.0512
532.7756, 194.0455
533.2578, 194.1128
533.7399, 194.4429
534.2220, 194.5432
534.7041, 194.0364
535.1862, 193.3963
535.6683, 193.2002
536.1505, 193.5697
536.6326, 193.9237
537.1147, 193.5428
537.5968, 192.6441
538.0789, 192.3022
538.5610, 192.7184
539.0432, 193.3211
539.5253, 193.9633
540.0074, 194.4798
540.4895, 194.4525
540.9716, 193.4921
541.4537, 192.6135
541.9359, 192.3419
542.4180, 192.5095
542.9001, 192.9527
543.3822, 193.6236
543.8643, 194.1674
544.3464, 194.2083
544.8286, 193.7288
545.3107, 193.3471
545.7928, 192.8411
546.2749, 192.6772
546.7570, 193.2002
547.2391, 194.0262
547.7213, 194.7862
548.2034, 195.3432
548.6855, 195.6140
549.1676, 195.3925
549.6497, 194.6254
550.1318, 194.2321
550.6140, 194.4170
551.0961, 194.6985
551.5782, 194.8876
552.0603, 195.0528
552.5424, 195.3171
553.0245, 195.7412
553.5067, 196.0989
553.9888, 196.1267
554.4709, 195.9086
554.9530, 195.7390
555.4351, 195.6450
555.9172, 195.6724
556.3994, 195.8877
556.8815, 196.2688
557.3636, 196.6579
557.8457, 197.2267
558.3278, 197.5924
558.8099, 197.4058
559.2921, 196.9926
559.7742, 196.8433
560.2563, 197.0646
560.7384, 197.4253
561.2205, 197.7005
561.7026, 197.8938
562.1848, 197.9326
562.6669, 197.5998
563.1490, 197.3609
563.6311, 197.3770
564.1132, 197.4956
564.5953, 197.5276
565.0775, 197.4342
565.5596, 197.3546
566.0417, 197.5136
566.5238, 197.8696
567.0059, 197.9643
567.4880, 197.7541
567.9702, 197.3667
568.4523, 196.5939
568.9344, 195.7817
569.4165, 195.4848
569.8986, 195.9112
570.3807, 196.3672
570.8629, 196.5771
571.3450, 196.5176
571.8271, 195.9968
572.3092, 195.0111
572.7913, 194.1613
573.2734, 193.9461
573.7556, 194.2534
574.2377, 194.2806
574.7198, 193.6181
575.2019, 193.2316
575.6840, 193.5361
576.1661, 193.9759
576.6483, 194.0831
577.1304, 193.7878
577.6125, 193.2173
578.0946, 192.4082
578.5767, 191.4451
579.0588, 190.8712
579.5410, 190.9187
580.0231, 190.8242
580.5052, 190.1380
580.9873, 189.3824
581.4694, 188.9863
581.9515, 188.9751
582.4337, 189.0456
582.9158, 189.0997
583.3979, 189.0986
583.8800, 188.9048
584.3621, 188.5311
584.8442, 188.3311
585.3264, 188.5388
585.8085, 188.9195
586.2906, 188.9895
586.7727, 188.6714
587.2548, 188.3037
587.7369, 187.7890
588.2191, 187.3441
588.7012, 187.1232
589.1833, 187.0982
589.6654, 187.1589
590.1475, 187.2455
590.6296, 187.3902
591.1118, 187.7100
591.5939, 188.3279
592.0760, 188.7193
592.5581, 188.7450
593.0402, 188.6197
593.5223, 188.3430
594.0045, 187.9951
594.4866, 187.7619
594.9687, 187.7831
595.4508, 187.8071
595.9329, 187.4617
596.4150, 186.8331
596.8972, 186.3940
597.3793, 186.2532
597.8614, 186.3244
598.3435, 186.6573
598.8256, 187.2224
599.3077, 187.3064
599.7899, 186.3265
600.2720, 185.5405
600.7541, 185.4781
601.2362, 185.8635
601.7183, 186.3827
602.2004, 186.9299
602.6826, 187.4684
603.1647, 187.9597
603.6468, 188.4041
604.1289, 188.8204
604.6110, 189.2113
605.0931, 189.5644
605.5753, 189.7990
606.0574, 190.0446
606.5395, 190.4338
607.0216, 190.9796
607.5037, 191.5872
607.9858, 192.4056
608.4680, 193.1694
608.9501, 193.1950
609.4322, 192.4556
609.9143, 191.8252
610.3964, 191.7143
610.8785, 191.9629
611.3607, 192.2792
611.8428, 192.6828
612.3249, 193.0871
612.8070, 193.5525
613.2891, 193.9563
613.7712, 194.1376
614.2534, 194.1968
614.7355, 194.4331
615.2176, 195.0004
615.6997, 195.6082
616.1818, 195.5607
616.6639, 194.5425
617.1461, 194.3150
617.6282, 195.6908
618.1103, 197.0191
618.5924, 197.4085
619.0745, 197.2611
619.5566, 197.3356
620.0388, 197.9143
620.5209, 198.5539
621.0030, 198.8142
621.4851, 198.8534
621.9672, 199.1667
622.4493, 199.8540
622.9315, 200.3924
623.4136, 200.3826
623.8957, 199.8808
624.3778, 199.2206
624.8599, 198.3162
625.3420, 197.3823
625.8242, 196.5595
626.3063, 195.6309
626.7884, 194.3367
627.2705, 192.7317
627.7526, 191.1138
628.2347, 189.6424
628.7169, 188.3771
629.1990, 187.5340
629.6811, 187.2223
630.1632, 186.8400
630.6453, 186.2572
631.1274, 185.5695
631.6096, 184.7948
632.0917, 183.9761
632.5738, 183.2794
633.0559, 182.7903
633.5380, 182.4118
634.0201, 182.0960
634.5023, 181.8297
634.9844, 181.5849
635.4665, 181.3518
635.9486, 181.1534
636.4307, 181.0362
636.9128, 181.0026
637.3950, 180.7840
637.8771, 180.1584
638.3592, 179.6122
638.8413, 179.1091
639.3234, 178.7901
639.8055, 178.9693
640.2877, 179.5667
640.7698, 179.9426
641.2519, 179.5110
641.7340, 178.5479
642.2161, 177.6597
642.6982, 176.8229
643.1804, 176.4018
643.6625, 176.7138
644.1446, 177.2484
644.6267, 177.2865
645.1088, 176.8371
645.5909, 176.4357
646.0731, 176.1871
646.5552, 175.9709
647.0373, 175.6891
647.5194, 175.3984
648.0015, 175.2310
648.4836, 175.2191
648.9658, 175.2372
649.4479, 175.1196
649.9300, 174.8625
650.4121, 174.7093
650.8942, 174.7663
651.3763, 174.7438
651.8585, 174.4756
652.3406, 174.1341
652.8227, 173.8236
653.3048, 173.5642
653.7869, 173.5162
654.2690, 174.0127
654.7512, 174.6237
655.2333, 174.7100
655.7154, 174.3360
656.1975, 173.9926
656.6796, 173.8862
657.1617, 173.8951
657.6439, 173.8399
658.1260, 173.7278
658.6081, 173.5159
659.0902, 173.0614
659.5723, 172.6863
660.0544, 172.4915
660.5366, 172.4474
661.0187, 172.5666
661.5008, 172.8322
661.9829, 173.0518
662.4650, 172.9966
662.9471, 172.7319
663.4293, 172.5050
663.9114, 172.3095
664.3935, 172.2234
664.8756, 172.2958
665.3577, 172.4840
665.8398, 172.8217
666.3220, 173.4051
666.8041, 173.5159
667.2862, 172.5684
667.7683, 171.5637
