##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
379.7957, 2219.853
380.2778, 2222.282
380.7599, 2225.155
381.2420, 2228.671
381.7242, 2232.771
382.2063, 2236.731
382.6884, 2239.946
383.1705, 2242.554
383.6526, 2244.666
384.1347, 2245.968
384.6169, 2247.848
385.0990, 2253.135
385.5811, 2260.677
386.0632, 2266.576
386.5453, 2267.783
387.0274, 2266.865
387.5096, 2267.236
387.9917, 2268.939
388.4738, 2270.647
388.9559, 2270.568
389.4380, 2270.105
389.9201, 2271.141
390.4023, 2274.770
390.8844, 2279.562
391.3665, 2285.903
391.8486, 2293.040
392.3307, 2297.923
392.8128, 2296.325
393.2950, 2293.773
393.7771, 2294.148
394.2592, 2298.964
394.7413, 2304.168
395.2234, 2308.506
395.7055, 2312.347
396.1877, 2316.279
396.6698, 2321.927
397.1519, 2326.234
397.6340, 2327.723
398.1161, 2325.956
398.5982, 2325.159
399.0804, 2326.692
399.5625, 2328.701
400.0446, 2329.844
400.5267, 2329.249
401.0088, 2329.221
401.4909, 2330.369
401.9731, 2332.324
402.4552, 2333.324
402.9373, 2332.411
403.4194, 2332.146
403.9015, 2334.021
404.3836, 2338.799
404.8658, 2342.649
405.3479, 2345.450
405.8300, 2347.370
406.3121, 2348.531
406.7942, 2348.810
407.2763, 2348.929
407.7585, 2349.105
408.2406, 2349.263
408.7227, 2349.019
409.2048, 2348.298
409.6869, 2347.565
410.1690, 2347.469
410.6512, 2347.799
411.1333, 2347.282
411.6154, 2345.118
412.0975, 2343.078
412.5796, 2345.024
413.0617, 2350.027
413.5439, 2353.460
414.0260, 2351.236
414.5081, 2346.450
414.9902, 2343.738
415.4723, 2343.622
415.9544, 2343.574
416.4366, 2341.917
416.9187, 2338.946
417.4008, 2335.108
417.8829, 2328.832
418.3650, 2323.199
418.8471, 2320.292
419.3293, 2319.777
419.8114, 2319.485
420.2935, 2319.089
420.7756, 2318.215
421.2577, 2316.519
421.7398, 2313.251
422.2220, 2310.495
422.7041, 2309.933
423.1862, 2309.989
423.6683, 2307.836
424.1504, 2300.234
424.6325, 2293.228
425.1147, 2288.591
425.5968, 2286.508
