##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu^2+^[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
553.8819, 81.27937
554.3640, 79.60748
554.8461, 75.38334
555.3282, 73.18401
555.8104, 75.37218
556.2925, 77.95891
556.7746, 73.59901
557.2567, 64.76135
557.7388, 59.14225
558.2209, 64.80141
558.7031, 72.40127
559.1852, 74.15495
559.6673, 70.05535
560.1494, 66.22401
560.6315, 64.71400
561.1136, 64.63122
561.5958, 65.59737
562.0779, 68.84245
562.5600, 70.67178
563.0421, 70.49417
563.5242, 69.06386
564.0063, 67.10353
564.4885, 63.99794
564.9706, 61.93719
565.4527, 61.74157
565.9348, 62.69438
566.4169, 62.38176
566.8990, 60.73285
567.3812, 58.39573
567.8633, 55.19706
568.3454, 51.54662
568.8275, 48.81134
569.3096, 47.02691
569.7917, 45.94780
570.2739, 46.03674
570.7560, 46.51256
571.2381, 45.97593
571.7202, 43.65718
572.2023, 41.73166
572.6844, 41.82294
573.1666, 43.12254
573.6487, 44.41451
574.1308, 45.54002
574.6129, 46.36808
575.0950, 47.31154
575.5771, 48.10568
576.0593, 47.07745
576.5414, 42.06197
577.0235, 37.92822
577.5056, 36.76384
577.9877, 38.95213
578.4698, 40.47631
578.9520, 41.27977
579.4341, 41.55928
579.9162, 41.52749
580.3983, 41.17041
580.8804, 39.95288
581.3625, 37.45991
581.8447, 35.13210
582.3268, 35.66220
582.8089, 38.05904
583.2910, 39.48736
583.7731, 37.77004
584.2552, 35.50548
584.7373, 35.18245
585.2194, 36.34646
585.7015, 37.29342
586.1837, 36.74151
586.6658, 36.19180
587.1479, 36.82304
587.6300, 39.11222
588.1121, 39.91381
588.5942, 36.61941
589.0764, 33.36405
589.5585, 33.13636
590.0406, 38.41091
590.5227, 40.52858
591.0048, 37.91530
591.4869, 33.65883
591.9691, 33.11818
592.4512, 36.51406
592.9333, 39.01270
593.4154, 39.07772
593.8975, 37.66791
594.3796, 36.67686
594.8618, 36.03667
595.3439, 35.28290
595.8260, 33.71501
596.3081, 32.14061
596.7902, 31.48864
597.2723, 31.78182
597.7545, 32.40767
598.2366, 32.84752
598.7187, 33.59807
599.2008, 35.41162
599.6829, 40.17814
600.1650, 42.11006
600.6472, 37.13411
601.1293, 30.37629
601.6114, 27.76925
602.0935, 31.98946
602.5756, 34.77726
603.0577, 34.46795
603.5399, 32.37597
604.0220, 32.15949
604.5041, 34.00850
604.9862, 35.76581
605.4683, 36.52018
605.9504, 36.47264
606.4326, 35.98059
606.9147, 35.09428
607.3968, 34.47213
607.8789, 35.14658
608.3610, 36.10805
608.8431, 36.07222
609.3253, 34.80416
609.8074, 33.10746
610.2895, 29.98869
610.7716, 27.36663
611.2537, 27.08315
611.7358, 33.50192
612.2180, 37.23079
612.7001, 35.12195
613.1822, 30.38535
613.6643, 28.55511
614.1464, 31.48678
614.6285, 33.16154
615.1107, 31.44843
615.5928, 27.57325
616.0749, 27.17004
616.5570, 30.48493
617.0391, 33.93372
617.5212, 35.59054
618.0034, 35.75263
618.4855, 34.73885
618.9676, 32.58233
619.4497, 30.99222
619.9318, 31.60325
620.4139, 33.38139
620.8961, 35.48697
621.3782, 38.34224
621.8603, 39.61587
622.3424, 36.41716
622.8245, 31.86796
623.3066, 29.55297
623.7888, 32.55479
624.2709, 34.71462
624.7530, 35.28294
625.2351, 34.72695
625.7172, 34.07716
626.1993, 33.26226
626.6815, 32.58866
627.1636, 32.28450
627.6457, 32.16846
628.1278, 31.07554
628.6099, 28.99877
629.0920, 27.73404
629.5742, 29.32585
630.0563, 32.26207
630.5384, 33.87517
631.0205, 34.01550
631.5026, 33.37480
631.9847, 31.59598
632.4669, 29.72673
632.9490, 28.80234
633.4311, 29.30904
633.9132, 30.12866
634.3953, 31.11736
634.8774, 32.20394
635.3596, 33.35066
635.8417, 35.00333
636.3238, 35.92731
636.8059, 35.75500
637.2880, 34.89766
637.7701, 34.56829
638.2523, 34.95801
638.7344, 34.27986
639.2165, 30.71091
639.6986, 26.16279
640.1807, 26.98557
640.6628, 32.63837
641.1450, 37.98500
641.6271, 39.33813
642.1092, 38.76852
642.5913, 38.41040
643.0734, 38.42384
643.5555, 38.44389
644.0377, 38.88826
644.5198, 38.88138
645.0019, 37.52248
645.4840, 33.14913
645.9661, 30.78314
646.4482, 31.24753
646.9304, 33.33083
647.4125, 36.03241
647.8946, 39.88641
648.3767, 42.62809
648.8588, 44.00128
649.3409, 44.10378
649.8231, 42.64898
