##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
698.774, 3110.000
700.072, 3126.000
701.371, 3119.000
702.669, 3149.000
703.967, 3131.000
705.265, 3111.000
706.562, 3139.000
707.860, 3188.000
709.157, 3202.000
710.454, 3157.000
711.751, 3191.000
713.047, 3169.000
714.344, 3229.000
715.640, 3219.000
716.936, 3321.000
718.232, 3291.000
719.527, 3456.000
720.823, 3590.000
722.118, 3660.000
723.413, 3731.000
724.708, 3746.000
726.002, 3791.000
727.297, 4081.000
728.591, 4089.108
729.885, 4408.000
731.179, 4343.000
732.472, 4414.000
733.766, 4636.000
735.059, 5372.000
736.352, 5993.000
737.645, 6230.000
738.937, 5486.000
740.230, 4609.000
741.522, 4062.000
742.814, 3772.000
744.106, 3722.000
745.397, 3681.000
746.689, 3663.000
747.980, 3653.000
749.271, 3637.000
750.562, 3602.000
751.853, 3596.000
753.143, 3638.000
754.433, 3588.000
755.723, 3661.000
757.013, 3635.000
758.303, 3632.000
759.592, 3682.000
760.881, 3653.000
762.170, 3665.000
763.459, 3718.000
764.748, 3666.000
766.036, 3639.000
767.325, 3653.000
768.613, 3729.000
769.901, 3622.000
771.188, 3798.000
772.476, 3702.000
773.763, 3718.000
775.050, 3835.000
776.337, 3759.000
777.624, 3875.000
778.910, 3853.000
780.196, 3838.000
781.482, 3859.000
782.768, 3855.275
784.054, 3883.000
785.339, 3882.000
786.625, 3950.000
787.910, 3968.000
789.195, 3977.000
790.479, 3999.000
791.764, 4033.000
793.048, 4059.000
794.332, 4090.000
795.616, 4111.246
796.900, 4106.000
798.183, 4139.000
799.467, 4166.000
800.750, 4155.000
802.033, 4178.000
803.316, 4150.000
804.598, 4120.000
805.880, 4199.000
807.163, 4108.000
808.445, 4254.000
809.726, 4215.000
811.008, 4224.000
812.289, 4190.000
813.570, 4246.000
814.851, 4274.000
816.132, 4296.000
817.413, 4316.000
818.693, 4326.870
819.973, 4329.000
821.253, 4337.000
822.533, 4344.000
823.813, 4342.000
825.092, 4376.618
826.371, 4374.000
827.650, 4425.000
828.929, 4480.000
830.208, 4462.000
831.486, 4480.000
832.764, 4516.000
834.042, 4410.000
835.320, 4446.000
836.598, 4540.000
837.875, 4483.000
839.152, 4593.000
840.429, 4628.000
841.706, 4542.000
842.983, 4640.000
844.259, 4636.000
845.536, 4644.000
846.812, 4624.000
848.088, 4598.000
849.363, 4669.000
850.639, 4667.000
851.914, 4729.000
853.189, 4737.000
854.464, 4733.000
855.739, 4751.000
857.013, 4772.000
858.288, 4868.000
859.562, 4799.000
860.836, 4791.000
862.110, 4901.000
863.383, 4862.000
864.656, 4886.000
865.930, 5000.000
867.203, 5046.000
868.475, 5079.000
869.748, 5124.000
871.020, 5231.000
872.292, 5066.000
873.564, 5095.000
874.836, 5163.000
876.108, 5079.000
877.379, 5038.000
878.650, 5036.000
879.922, 5070.000
881.192, 5160.000
882.463, 5095.000
883.733, 5099.000
885.004, 5087.000
886.274, 5066.000
887.544, 5089.000
888.813, 5101.000
890.083, 5106.205
891.352, 5140.000
892.621, 5133.000
893.890, 5185.000
895.159, 5201.000
896.427, 5211.000
