##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
475.1542, 185.2440
475.6363, 184.7185
476.1184, 184.3732
476.6005, 184.2201
477.0826, 184.4397
477.5648, 184.7484
478.0469, 184.5894
478.5290, 184.0122
479.0111, 183.4684
479.4932, 183.3527
479.9753, 183.4162
480.4575, 183.3296
480.9396, 182.9596
481.4217, 182.6881
481.9038, 182.9030
482.3859, 183.3343
482.8680, 183.5823
483.3502, 183.2611
483.8323, 182.9793
484.3144, 183.0856
484.7965, 183.5357
485.2786, 183.6567
485.7607, 183.0080
486.2429, 182.2686
486.7250, 181.7605
487.2071, 181.5069
487.6892, 181.4598
488.1713, 181.7471
488.6534, 182.1543
489.1356, 182.3796
489.6177, 182.3985
490.0998, 182.2959
490.5819, 181.9884
491.0640, 181.5867
491.5461, 181.7101
492.0283, 182.4156
492.5104, 183.2449
492.9925, 183.8923
493.4746, 184.3966
493.9567, 184.9053
494.4388, 185.4384
494.9210, 185.9603
495.4031, 186.2432
495.8852, 186.4743
496.3673, 187.1683
496.8494, 188.9405
497.3315, 190.8360
497.8137, 191.7608
498.2958, 191.9535
498.7779, 192.3635
499.2600, 193.4970
499.7421, 195.0280
500.2242, 196.8495
500.7064, 199.0964
501.1885, 201.0325
501.6706, 202.2239
502.1527, 203.0867
502.6348, 204.0183
503.1169, 205.0723
503.5991, 206.1980
504.0812, 207.3308
504.5633, 208.5152
505.0454, 209.9653
505.5275, 211.7439
506.0096, 213.6456
506.4918, 215.6693
506.9739, 217.8769
507.4560, 219.5807
507.9381, 220.6523
508.4202, 221.5628
508.9023, 222.7922
509.3845, 224.3245
509.8666, 225.8831
510.3487, 227.4026
510.8308, 228.9531
511.3129, 230.6928
511.7950, 232.5857
512.2772, 234.4582
512.7593, 236.1654
513.2414, 237.8283
513.7235, 239.6549
514.2056, 241.6393
514.6877, 243.5788
515.1699, 245.2771
515.6520, 246.9033
516.1341, 248.5963
516.6162, 250.3342
517.0983, 252.2458
517.5804, 254.5361
518.0626, 257.0037
518.5447, 259.3195
519.0268, 261.1790
519.5089, 263.1587
519.9910, 265.4828
520.4731, 268.1176
520.9553, 270.3848
521.4374, 272.0538
521.9195, 273.6659
522.4016, 275.5300
522.8837, 277.6765
523.3658, 279.8799
523.8480, 282.2084
524.3301, 284.4622
524.8122, 286.4626
525.2943, 288.1900
525.7764, 289.3239
526.2585, 289.6299
526.7407, 289.4666
527.2228, 289.6127
527.7049, 289.9596
528.1870, 289.8749
528.6691, 289.0223
529.1512, 287.5005
529.6334, 285.3581
530.1155, 282.5706
530.5976, 279.4311
531.0797, 275.9994
531.5618, 272.3069
532.0439, 268.4117
532.5261, 264.0227
533.0082, 259.8011
533.4903, 255.9017
533.9724, 252.2468
534.4545, 248.5716
534.9366, 244.7547
535.4188, 241.0677
535.9009, 237.6475
536.3830, 234.4884
536.8651, 231.2138
537.3472, 227.7618
537.8293, 224.3394
538.3115, 221.0847
538.7936, 218.0067
539.2757, 215.1700
539.7578, 212.6090
540.2399, 210.2664
540.7220, 208.0523
541.2042, 205.9858
541.6863, 204.0039
542.1684, 202.0065
542.6505, 200.1509
543.1326, 198.8570
543.6147, 197.9576
544.0969, 196.7780
544.5790, 194.4996
545.0611, 192.0853
545.5432, 190.4061
