##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
692.0220, 76655.18
693.1770, 68581.06
694.3330, 59887.88
695.4880, 50731.61
696.6430, 42580.27
697.7970, 35287.84
698.9520, 29471.34
700.1060, 24183.77
701.2600, 20549.11
702.4150, 17342.38
703.5690, 14979.56
704.7220, 12954.66
705.8760, 11319.69
707.0290, 9806.523
708.1830, 9023.484
709.3360, 7656.266
710.4890, 7111.957
711.6420, 6589.568
712.7940, 5884.094
713.9470, 5235.531
715.0990, 5017.887
716.2510, 4477.154
717.4030, 4026.336
718.5550, 3611.432
719.7070, 3631.438
720.8590, 3181.355
722.0100, 2962.188
723.1610, 2570.930
724.3120, 2197.584
725.4630, 1966.152
726.6140, 1817.066
727.7650, 1655.041
728.9150, 1469.955
730.0650, 1652.785
731.2160, 1680.691
732.3660, 1572.551
733.5150, 908.1680
734.6650, 964.9668
735.8150, 742.1367
736.9640, 511.6680
738.1130, 505.4336
739.2620, 674.5508
740.4110, 654.4102
741.5600, 425.8301
742.7080, 732.2480
743.8570, 592.5215
745.0050, 711.4414
746.1530, 800.6719
747.3010, 941.6094
748.4490, 1027.605
749.5960, 1189.078
750.7440, 1366.686
751.8910, 1495.170
753.0380, 1791.156
754.1850, 2015.828
755.3320, 2287.070
756.4790, 2383.975
757.6250, 2541.510
758.7720, 2433.299
759.9180, 2615.902
761.0640, 2461.773
762.2100, 2244.775
763.3550, 2297.018
764.5010, 2334.512
765.6460, 1858.234
766.7920, 1680.607
767.9370, 1338.623
769.0820, 1319.891
770.2260, 1032.443
771.3710, 916.7266
772.5150, 746.7695
773.6600, 602.7871
774.8040, 454.3730
775.9480, 570.8145
777.0910, 400.6855
778.2350, 430.9746
779.3790, 326.2441
780.5220, 559.2227
781.6650, 360.0469
782.8080, 488.9824
783.9510, 638.5586
785.0940, 662.0156
786.2360, 789.4883
787.3790, 872.9688
788.5210, 908.7266
789.6630, 1015.352
790.8050, 965.9434
791.9470, 953.4980
793.0880, 934.0215
794.2300, 736.5117
795.3710, 614.9707
796.5120, 608.3984
797.6530, 290.7930
798.7940, 244.1602
799.9340, 204.4980
801.0750, 32.80859
802.2150, 108.9297
803.3550, 35.21875
804.4950, 15.32422
805.6350, 41.38281
806.7750, 73.60156
807.9140, 207.3281
809.0540, 89.23633
810.1930, 41.87500
811.3320, 249.9492
812.4710, 160.7539
813.6100, 576.5410
814.7480, 394.3125
815.8870, 274.0723
817.0250, 363.8164
818.1630, 551.5508
819.3010, 538.2715
820.4390, 483.9805
821.5760, 686.6777
822.7140, 610.3691
823.8510, 1131.049
824.9880, 1194.721
826.1250, 1223.387
827.2620, 1420.043
828.3990, 1251.691
829.5350, 1329.338
830.6710, 1505.977
831.8080, 1761.613
832.9440, 2011.246
834.0800, 1950.875
835.2150, 1974.502
836.3510, 2093.129
837.4860, 2039.754
838.6210, 2211.379
839.7560, 2141.004
840.8910, 2096.629
842.0260, 2074.260
843.1610, 2096.889
844.2950, 1778.525
845.4290, 1734.162
846.5640, 1423.807
847.6980, 1769.455
848.8310, 1380.107
849.9650, 1686.770
851.0980, 1066.441
852.2320, 826.1191
853.3650, 807.8047
854.4980, 903.5020
855.6310, 324.2090
856.7630, 536.9277
857.8960, 500.6582
859.0280, 226.4023
860.1610, 555.1582
861.2930, 135.9277
862.4240, 71.71289
863.5560, 71.51562
864.6880, 167.6660
865.8190, 318.9062
866.9500, 192.2656
868.0820, 275.6914
869.2120, 350.2168
870.3430, 315.8730
871.4740, 496.6426
872.6040, 566.1035
873.7350, 478.8574
874.8650, 592.8945
875.9950, 299.5684
877.1250, 408.4551
878.2540, 447.5449
879.3840, 29.52734
880.5130, 174.0586
881.6420, 2.867188
882.7710, 43.21484
883.9000, 5.185547
885.0290, 348.1816
886.1570, 576.2109
887.2860, 640.5098
888.4140, 1054.396
889.5420, 920.5664
890.6700, 1397.803
891.7980, 1682.117
892.9250, 1772.555
894.0530, 2147.135
895.1800, 2385.900
896.3070, 2850.842
897.4340, 3054.967
898.5610, 3184.289
899.6870, 3534.760
900.8140, 3669.430
901.9400, 3838.363
903.0660, 3904.490
904.1920, 4074.797
905.3180, 4212.277
906.4440, 4106.945
907.5690, 4260.785
908.6950, 4042.811
