##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
##PIN_ID=L00662
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
1238.963, 9536.000
1240.039, 9553.000
1241.116, 9567.000
1242.192, 9539.000
1243.268, 9564.000
1244.343, 9551.000
1245.419, 9514.000
1246.494, 9698.000
1247.570, 9536.000
1248.645, 9454.000
1249.720, 9576.000
1250.795, 9488.000
1251.869, 9531.000
1252.944, 9552.000
1254.018, 9515.079
1255.093, 9555.000
1256.167, 9529.000
1257.240, 9553.039
1258.314, 9642.081
1259.388, 9619.000
1260.461, 9660.000
1261.535, 9618.000
1262.608, 9624.955
1263.681, 9672.000
1264.753, 9594.000
1265.826, 9600.000
1266.899, 9548.000
1267.971, 9582.000
1269.043, 9546.000
1270.115, 9518.000
1271.187, 9548.000
1272.259, 9544.000
1273.330, 9590.000
1274.402, 9480.000
1275.473, 9609.000
1276.544, 9645.000
1277.615, 9512.000
1278.686, 9575.000
1279.756, 9479.000
1280.827, 9603.000
1281.897, 9591.000
1282.967, 9548.000
1284.037, 9630.000
1285.107, 9639.000
1286.177, 9426.000
1287.247, 9608.000
1288.316, 9505.000
1289.385, 9457.000
1290.454, 9489.000
1291.523, 9513.000
1292.592, 9511.923
1293.661, 9506.000
1294.729, 9562.000
1295.797, 9518.000
1296.866, 9566.000
1297.934, 9498.000
1299.001, 9537.630
1300.069, 9636.000
1301.137, 9557.000
1302.204, 9649.000
1303.271, 9593.000
1304.338, 9557.000
1305.405, 9684.000
1306.472, 9591.000
1307.539, 9679.000
1308.605, 9617.000
1309.671, 9585.000
1310.737, 9591.000
1311.803, 9593.790
1312.869, 9618.464
1313.935, 9671.000
1315.000, 9666.000
1316.066, 9733.000
1317.131, 9696.000
1318.196, 9724.000
1319.261, 9656.000
1320.326, 9664.000
1321.390, 9579.000
1322.455, 9607.100
1323.519, 9596.000
1324.583, 9676.000
1325.647, 9702.000
1326.711, 9792.000
1327.775, 9780.393
1328.838, 9764.000
1329.902, 9767.000
1330.965, 9752.000
1332.028, 9762.000
1333.091, 9754.325
1334.153, 9780.000
1335.216, 9722.000
1336.279, 9771.000
1337.341, 9705.000
1338.403, 9758.000
1339.465, 9792.000
1340.527, 9776.000
1341.588, 9920.000
1342.650, 9751.000
1343.711, 9788.000
1344.772, 9638.000
1345.834, 9707.000
1346.894, 9875.000
1347.955, 9788.000
1349.016, 9754.000
1350.076, 9738.000
1351.136, 9750.000
1352.197, 9739.000
1353.257, 9905.000
1354.316, 9770.000
1355.376, 9848.000
1356.436, 9771.000
1357.495, 9870.000
1358.554, 9828.000
1359.613, 9849.000
1360.672, 9887.000
1361.731, 9791.000
1362.789, 9882.000
1363.848, 9806.000
1364.906, 9920.000
1365.964, 9750.000
1367.022, 9979.000
1368.080, 9857.933
1369.138, 9775.000
1370.195, 9741.000
1371.253, 9831.000
1372.310, 9800.000
1373.367, 9918.000
1374.424, 9963.000
1375.480, 9840.000
1376.537, 9840.000
1377.593, 9881.000
1378.650, 9967.000
1379.706, 9953.000
1380.762, 9889.000
1381.818, 9790.000
1382.873, 9926.000
1383.929, 9895.000
1384.984, 9962.000
1386.039, 9849.000
1387.094, 9845.000
1388.149, 9857.000
1389.204, 9828.933
1390.259, 9901.000
1391.313, 9871.000
1392.367, 9925.000
1393.422, 9992.000
1394.476, 9888.000
1395.529, 9882.000
1396.583, 9940.000
1397.637, 9881.000
1398.690, 9830.000
1399.743, 9999.000
1400.796, 9987.000
1401.849, 9815.000
1402.902, 9887.000
1403.954, 9918.000
1405.007, 10038.00
1406.059, 10084.00
1407.111, 10113.00
1408.163, 10031.00
1409.215, 10067.00
1410.267, 9999.000
1411.318, 9978.000
1412.370, 10062.00
1413.421, 9982.000
1414.472, 9965.000
1415.523, 9923.000
1416.574, 10028.00
1417.624, 9998.000
1418.675, 10053.00
1419.725, 10082.00
1420.775, 10068.00
1421.825, 10051.00
1422.875, 9991.000
1423.925, 10011.00
1424.974, 10148.00
1426.024, 10093.00
1427.073, 10006.00
1428.122, 10039.41
1429.171, 9899.603
1430.220, 10064.00
1431.268, 10024.00
1432.317, 10222.00
1433.365, 10131.86
1434.413, 10221.00
1435.461, 10037.00
1436.509, 10052.00
1437.557, 10137.00
1438.605, 10164.00
1439.652, 10147.00
1440.699, 10100.00
1441.746, 10135.00
1442.793, 10086.00
1443.840, 10152.00
1444.887, 10151.58
1445.933, 10074.00
1446.980, 10176.00
1448.026, 10236.00
1449.072, 10217.00
1450.118, 10123.00
1451.163, 10125.00
1452.209, 10098.00
1453.254, 10158.00
1454.300, 10146.00
1455.345, 10136.00
1456.390, 10126.00
1457.435, 10197.00
1458.479, 10240.00
1459.524, 10084.00
1460.568, 10103.00
1461.612, 10309.00
1462.656, 10113.00
1463.700, 10166.00
