"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Anastasenkoite","Anastasenkoite","CaFe2+P2O7","Anastasenkoite"
"Anatase","Anatase","TiO2"," "
"Anatolyite","Anatolyite","Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6","Yurmarinite"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO3)2(OH)·H2O","Ancylite"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO3)2(OH)·H2O","Ancylite"
"Andalusite","Andalusite","Al2SiO5","Andalusite"
"Andersonite","Andersonite","Na2Ca(UO2)(CO3)3·5-6H2O"," "
"Andorite IV","Andorite IV","AgPbSb3S6","Lillianite"
"Andorite VI","Andorite VI","AgPbSb3S6","Lillianite"
"Andradite","Andradite","Ca3Fe3+2(SiO4)3","Garnet"
"Andreadiniite","Andreadiniite","CuHgAg7Pb7Sb24S48","Lillianite"
"Andrémeyerite","Andremeyerite","BaFe2+2(Si2O7)"," "
"Andreyivanovite","Andreyivanovite","FeCrP","Barringerite"
"Andrianovite","Andrianovite","Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5","Eudialyte"
"Anduoite","Anduoite","RuAs2"," "
"Andychristyite","Andychristyite","PbCu2+Te6+O5(H2O)"," "
"Andymcdonaldite","Andymcdonaldite","Fe2TeO6","Tapiolite"
"Andyrobertsite","Andyrobertsite","KCdCu5(AsO4)4[As(OH)2O2]·2H2O","Andyrobertsite"
"Angarfite","Angarfite","NaFe3+5(PO4)4(OH)4·4H2O"," "
"Angastonite","Angastonite","CaMgAl2(PO4)2(OH)4·7H2O"," "
"Ángelaite","Angelaite","Cu2AgPbBiS4","Kobellite"
"Angelellite","Angelellite","Fe3+4O3(AsO4)2"," "
"Anglesite","Anglesite","Pb(SO4)","Baryte"
"Anhydrite","Anhydrite","Ca(SO4)"," "
"Anhydrokainite","Anhydrokainite","KMg(SO4)Cl","Chlorothionite"
"Anilite","Anilite","Cu7S4","Digenite"
"Ankerite","Ankerite","Ca(Fe2+,Mg)(CO3)2","Dolomite"
"Ankinovichite","Ankinovichite","NiAl4(V5+O3)2(OH)12·2H2O","Chalcoalumite"
"Annabergite","Annabergite","Ni3(AsO4)2·8H2O","Vivianite"
"Annite","Annite","KFe2+3(AlSi3O10)(OH)2","Clay"
"Anorpiment","Anorpiment","As2S3"," "
"Anorthite","Anorthite","Ca(Al2Si2O8)","Feldspar"
"Anorthominasragrite","Anorthominasragrite","V4+O(SO4)·5H2O","Minasragrite"
